species2	facultative_vs_obligate	immune_subversion	generation_time_h	case_fatality_rate	QS_virulence	infection_route	effect_symptoms_on_transmission	motility	infective_dose
Acinetobacter ADP1	Facultative	0	0.5		0	Skin	No effect	0	
Aeromonas hydrophila	Facultative	0	0.35		1	Ingestion	Helps	1	50500000
Aggregatibacter actinomycetemcomitans	Facultative	1	11	25.5	0	Skin	No effect	0	
Anaplasma phagocytophilum	Facultative	1	21.6	1.5	0	Skin	Hinders		
Arcobacter butzleri	Facultative		0.66	0.4	0	Ingestion	Helps	1	
Bacillus anthracis	Facultative	1	0.5	20	1	Skin	Helps	0	20250
Bacillus cereus	Facultative	0	0.3	0	1	Ingestion	Helps	1	1000000
Bacteroides fragilis	Facultative	1	0.63	19.3	0	Skin	No effect	0	
Bordetella pertussis	Obligate	0	3.8	1	0	Inhalation	Helps	0	200
Brucella abortus	Facultative	1	2	1.025	1	Ingestion	No effect	0	55
Brucella melitensis	Facultative	1	2	3.25	1	Ingestion	No effect	0	55
Burkholderia mallei	Facultative	1	0.75	38.5	1	Inhalation	No effect	0	10
Burkholderia pseudomallei	Facultative	1	1	38.5	1	Inhalation	No effect	1	10
Campylobacter jejuni subsp. jejuni	Facultative	1	1.1	0.4	0	Ingestion	Helps	1	550
Clostridium perfringens	Facultative	1	0.2	0.07	1	Ingestion	Helps	1	100000
Coxiella burnetii	Facultative	1	8	3	0	Inhalation	No effect	0	10
Cronobacter sakazakii	Facultative	1	0.23	60	1	Skin	Hinders	1	1000
Enterococcus faecalis	Facultative	0	0.5	0.01	1	Ingestion	Helps	0	10000000
Escherichia coli EAEC	Obligate	0	0.5	0.025	1	Ingestion	Helps	1	50500000
Escherichia coli EHEC	Obligate	1	0.33	0.254	1	Ingestion	Helps	1	10
Escherichia coli ETEC	Obligate	0	0.33	0.025	1	Ingestion	Helps	1	2.55E+09
Francisella tularensis subsp. holarctica	Facultative	1	3	0	1	Ingestion	Hinders	0	1000
Francisella tularensis subsp. tularensis	Facultative	1	3	14	1	Inhalation	Hinders	0	7.5
Gardnerella vaginalis	Facultative	0	13.5	0	1	Skin	Helps	0	2.00E+10
Haemophilus ducreyi	Obligate	1	1.8	0	0	Skin	Helps	1	30
Helicobacter pylori	Obligate	1	2.4	3	0	Ingestion	Helps	1	10000
Legionella pneumophila	Obligate	1	3.3	17.5	1	Inhalation	No effect	1	140000
Listeria monocytogenes	Obligate	1	1	30	1	Ingestion	No effect	1	1000
Mycobacterium tuberculosis	Obligate	1	19	50	0	Inhalation	Helps	0	10
Mycoplasma pneumoniae	Obligate	0	6	36.3	0	Inhalation	Helps	1	5050000
Neisseria gonorrhoeae	Obligate	1	0.58	0	0	Skin	Hinders	0	1050
Neisseria meningitidis	Obligate	0	0.72	20.3	0	Inhalation	No effect	0	1000
Orientia tsutsugamushi	Facultative	1	9	60	0	Skin	Hinders	0	3
Pseudomonas aeruginosa	Facultative	0	0.5	47	1	Skin	Helps	1	1000
Rickettsia conorii	Obligate	1	4.1	2.1	0	Skin	Hinders	0	10
Rickettsia prowazekii	Obligate	1	10	30	0	Skin	Hinders	0	10
Rickettsia rickettsii	Obligate	1	9	65	0	Skin	Hinders	0	10
Salmonella enterica subsp. enterica serovar Paratyphi	Obligate	1	0.4	4	0	Ingestion	No effect	1	1000
Salmonella enterica subsp. enterica serovar Typhi	Obligate	1	0.4	4	0	Ingestion	No effect	1	100000
Salmonella enterica subsp. enterica serovar Typhimurium	Facultative	1	0.4	4	1	Ingestion	Helps	1	100000
Shigella dysenteriae	Obligate	1	0.67	0.6	0	Ingestion	Helps	0	10
Shigella flexneri	Obligate	1	0.68	0.1	0	Ingestion	Helps	0	100
Shigella sonnei	Obligate	1	0.5	0.9	0	Ingestion	Helps	0	75
Staphylococcus aureus subsp. aureus	Facultative	1	0.4	4	1	Ingestion	No effect	0	100000
Stenotrophomonas maltophilia	Obligate	0	0.6		1	Ingestion	No effect	1	5.01E+08
Streptococcus pyogenes	Obligate	1	0.4	19	1	Inhalation	No effect	0	1000
Treponema pallidum	Obligate	1	33	3.17	0	Skin	Helps	1	57
Vibrio cholerae	Obligate	0	0.2	0.9	1	Ingestion	Helps	1	3.33E+10
Vibrio parahaemolyticus	Facultative	0	0.2	0.01	1	Ingestion	No effect	1	55000000
Vibrio vulnificus	Facultative	1	0.16	39	1	Ingestion	Helps	1	100
Yersinia enterocolitica	Facultative	1	0.55	0.5	1	Ingestion	Helps	1	1000000
Yersinia pestis	Facultative	1	1.25	90	1	Skin	Helps	0	10
Yersinia pseudotuberculosis	Facultative	1	0.5	0.5	1	Ingestion	No effect	0	1000000
