Publication Years	Record Count	% of 1,706,328
2020	120461	7.060
2019	109714	6.430
2018	98742	5.787
2017	92406	5.415
2016	87135	5.107
2015	80953	4.744
2014	70717	4.144
2013	67167	3.936
2012	64226	3.764
2011	60623	3.553
2021	58470	3.427
2010	55457	3.250
2009	51796	3.036
2008	47516	2.785
2007	44281	2.595
2006	40334	2.364
2005	38396	2.250
2004	36059	2.113
2003	33738	1.977
2002	31193	1.828
2001	30317	1.777
2000	29725	1.742
1999	28746	1.685
1998	27672	1.622
1997	26028	1.525
1996	24784	1.452
1995	23465	1.375
1994	21838	1.280
1993	20758	1.217
1992	19496	1.143
1991	19205	1.126
1990	7766	0.455
1983	6265	0.367
1987	5996	0.351
1989	5920	0.347
1988	5904	0.346
1986	5857	0.343
1984	5703	0.334
1985	5690	0.333
1982	5547	0.325
1981	5397	0.316
1980	5292	0.310
1979	5154	0.302
1978	4851	0.284
1977	4456	0.261
1976	3873	0.227
1974	3624	0.212
1975	3617	0.212
1973	3460	0.203
1972	3079	0.180
1971	2728	0.160
1969	2648	0.155
1970	2435	0.143
1968	2430	0.142
1967	2244	0.132
1966	2023	0.119
1965	1937	0.114
1964	1528	0.090
1961	1499	0.088
1963	1473	0.086
1962	1356	0.079
1960	1058	0.062
1953	1031	0.060
1954	997	0.058
1958	974	0.057
1952	959	0.056
1959	951	0.056
1951	920	0.054
1950	858	0.050
1957	854	0.050
1956	844	0.049
1947	817	0.048
1948	812	0.048
1949	777	0.046
1955	718	0.042
1946	673	0.039
1945	545	0.032
1930	397	0.023
1936	388	0.023
1935	385	0.023
1938	385	0.023
1939	384	0.023
1934	382	0.022
1941	377	0.022
1932	374	0.022
1931	365	0.021
1937	358	0.021
1927	355	0.021
1933	351	0.021
1942	345	0.020
1924	341	0.020
1928	341	0.020
1923	338	0.020
1925	335	0.020
1940	333	0.020
1943	323	0.019
1929	314	0.018
1922	291	0.017
1926	291	0.017
1944	275	0.016
1921	251	0.015
1920	236	0.014
1917	197	0.012
1916	196	0.011
1918	189	0.011
1910	183	0.011
1919	183	0.011
1914	181	0.011
1913	178	0.010
1915	175	0.010
1912	156	0.009
1909	140	0.008
1911	130	0.008
1907	129	0.008
1906	123	0.007
1908	122	0.007
1904	115	0.007
1903	107	0.006
1901	99	0.006
1905	92	0.005
1900	83	0.005
1902	76	0.004
1899	1	0.000
