species_id	genome_name	genome_id	is_rep_genome	count_genomes	genus	species	pathogen	gram_profile
Acidaminococcus_intestini_54097	Acidaminococcus intestini RyC-MR95	568816.4	1	5	Acidaminococcus	Acidaminococcus intestini	0	n
Actinomyces_odontolyticus_57475	Actinomyces odontolyticus ATCC 17982	411466.7	1	2	Actinomyces	Actinomyces odontolyticus	0	p
Actinomyces_viscosus_57672	Actinomyces viscosus C505	562973.4	1	2	Actinomyces	Actinomyces viscosus	0	p
Akkermansia_muciniphila_55290	Akkermansia muciniphila ATCC BAA-835	349741.6	1	2	Akkermansia	Akkermansia muciniphila	0	n
Anaerostipes_hadrus_55206	butyrate-producing bacterium SSC/2	245018.3	1	4		butyrate-producing bacterium SSC/2	0	p
Bacteroides_ovatus_58035	Bacteroides ovatus CL02T12C04	997885.3	1	11	Bacteroides	Bacteroides ovatus	0	n
Bacteroides_thetaiotaomicron_56941	Bacteroides sp. 1_1_6	469586.3	1	4	Bacteroides	Bacteroides sp. 1_1_6	0	n
Bacteroides_uniformis_57318	Bacteroides uniformis ATCC 8492	411479.10	1	7	Bacteroides	Bacteroides uniformis	0	n
Bacteroides_vulgatus_57955	Bacteroides vulgatus ATCC 8482	435590.9	1	16	Bacteroides	Bacteroides vulgatus	0	n
Bifidobacterium_longum_57796	Bifidobacterium longum subsp. infantis 157F	565040.3	1	41	Bifidobacterium	Bifidobacterium longum subsp. infantis	0	p
Campylobacter_concisus_59746	Campylobacter concisus UNSW2	1242965.3	1	1	Campylobacter	Campylobacter concisus	0	n
Campylobacter_showae_58485	Campylobacter showae CC57C	1073353.3	1	1	Campylobacter	Campylobacter showae	0	n
Capnocytophaga_gingivalis_61780	Capnocytophaga gingivalis ATCC 33624	553178.3	1	1	Capnocytophaga	Capnocytophaga gingivalis	0	n
Clostridiales_bacterium_56470	Clostridiales bacterium VE202-03	1232439.3	1	5		Clostridiales bacterium VE202-03	0	p
Clostridium_leptum_61499	Clostridium leptum DSM 753	428125.8	1	1	Ruminiclostridium	[Clostridium] leptum	0	p
Coprococcus_comes_61587	Coprococcus comes ATCC 27758	470146.3	1	1	Coprococcus	Coprococcus comes	0	p
Corynebacterium_matruchotii_57066	Corynebacterium matruchotii ATCC 14266	553207.3	1	2	Corynebacterium	Corynebacterium matruchotii	0	OM+
Dorea_formicigenerans_56346	Dorea formicigenerans 4_6_53AFAA	742765.5	1	3	Dorea	Dorea formicigenerans	0	p
Dorea_longicatena_59913	Dorea longicatena AGR2136	1280698.3	1	1	Dorea	Dorea longicatena	0	p
Eubacterium_eligens_61678	Eubacterium eligens ATCC 27750	515620.4	1	1	Eubacterium	[Eubacterium] eligens	0	p
Eubacterium_hallii_61477	Eubacterium hallii DSM 3353	411469.3	1	1	Eubacterium	[Eubacterium] hallii	0	p
Eubacterium_rectale_56927	Eubacterium rectale DSM 17629	657318.4	1	3	Eubacterium	Eubacterium rectale	0	p
Faecalibacterium_prausnitzii_57453	Faecalibacterium prausnitzii M21/2	411485.10	1	2	Faecalibacterium	Faecalibacterium prausnitzii	0	n
Fusobacterium_nucleatum_57734	Fusobacterium nucleatum CC53	1297579.6	1	12	Fusobacterium	Fusobacterium nucleatum	0	n
Fusobacterium_periodonticum_58002	Fusobacterium periodonticum 2_1_31	469599.8	1	5	Fusobacterium	Fusobacterium periodonticum	0	n
Gemella_haemolysans_61762	Gemella haemolysans ATCC 10379	546270.5	1	1	Gemella	Gemella haemolysans	0	p
Gemella_morbillorum_61817	Gemella morbillorum M424	562982.3	1	1	Gemella	Gemella morbillorum	0	p
Gemella_sanguinis_57791	Gemella sanguinis ATCC 700632	1408440.3	1	2	Gemella	Gemella sanguinis	0	p
Granulicatella_adiacens_61980	Granulicatella adiacens ATCC 49175	638301.3	1	1	Granulicatella	Granulicatella adiacens	0	p
Haemophilus_haemolyticus_58348	Haemophilus haemolyticus M19107	1028802.3	1	1	Haemophilus	Haemophilus haemolyticus	0	n
Haemophilus_parainfluenzae_57123	Haemophilus parainfluenzae HK262	1095745.3	1	2	Haemophilus	Haemophilus parainfluenzae	0	n
Lachnospiraceae_bacterium_51870	Lachnospiraceae bacterium 8_1_57FAA	665951.3	1	4		Lachnospiraceae bacterium 8_1_57FAA	0	p
Lachnospiraceae_bacterium_62587	Lachnospiraceae bacterium ICM7	936594.3	1	1	Lachnoanaerobaculum	Lachnoanaerobaculum sp. ICM7	0	p
Lautropia_mirabilis_62440	Lautropia mirabilis ATCC 51599	887898.3	1	1	Lautropia	Lautropia mirabilis	0	n
Leptotrichia_wadei_57378	Leptotrichia wadei F0279	888055.3	1	2	Leptotrichia	Leptotrichia wadei	0	n
Neisseria_flavescens_61757	Neisseria flavescens NRL30031/H210	546264.5	1	1	Neisseria	Neisseria flavescens	0	n
