Legget_species	facultative_vs_obligate	immune_subversion	generation_time_h	case_fatality_rate	QS_virulence	infection_route	effect_symptoms_on_transmission	motility	infective_dose	species_id	genome_id	matching_supfam_id	gram_profile	total_cds	biofilm	antibiotic_degradation	quorum_sensing	siderophores	secretion_system	secretome	is_victor_vf
Aggregatibacter actinomycetemcomitans	Facultative	1	11	25.5	0	Skin	No effect	0	NA	Aggregatibacter_actinomycetemcomitans_genome_754507.3	754507.3	m5b	n	2169	6	4	5	3	2	9	40
Anaplasma phagocytophilum	Facultative	1	21.6	1.5	0	Skin	Hinders	NA	NA	Anaplasma_phagocytophilum_genome_212042.8	212042.8	as	n	1506	0	0	0	0	1	9	0
Arcobacter butzleri	Facultative	NA	0.66	0.4	0	Ingestion	Helps	1	NA	Arcobacter_butzleri_genome_367737.6	367737.6	6k	n	2275	3	11	1	15	3	15	0
Bacillus anthracis	Facultative	1	0.5	20	1	Skin	Helps	0	20250	Bacillus_anthracis_genome_592021.13	592021.13	2N	p	6007	10	9	3	4	1	140	22
Bacillus cereus	Facultative	0	0.3	0	1	Ingestion	Helps	1	1e+06	Bacillus_cereus_genome_405535.8	405535.8	k2	p	5873	8	10	2	4	1	122	12
Bacteroides fragilis	Facultative	1	0.63	19.3	0	Skin	No effect	0	NA	Bacteroides_fragilis_genome_295405.11	295405.11	fa	n	4412	9	3	0	10	7	36	1
Bordetella pertussis	Obligate	0	3.8	1	0	Inhalation	Helps	0	200	Bordetella_pertussis_genome_257313.5	257313.5	be	n	4170	12	7	0	14	9	29	31
Brucella abortus	Facultative	1	2	1.025	1	Ingestion	No effect	0	55	Brucella_abortus_genome_430066.4	430066.4	91	n	3476	0	3	2	4	2	16	224
Brucella melitensis	Facultative	1	2	3.25	1	Ingestion	No effect	0	55	Brucella_melitensis_genome_546272.3	546272.3	1E	n	3486	0	4	2	4	2	21	224
Burkholderia mallei	Facultative	1	0.75	38.5	1	Inhalation	No effect	0	10	Burkholderia_mallei_genome_243160.12	243160.12	bi	n	5724	7	9	2	5	22	77	45
Burkholderia pseudomallei	Facultative	1	1	38.5	1	Inhalation	No effect	1	10	Burkholderia_pseudomallei_genome_1335307.3	1335307.3	HkK	n	7381	15	12	3	7	26	100	47
Campylobacter jejuni subsp. jejuni	Facultative	1	1.1	0.4	0	Ingestion	Helps	1	550	Campylobacter_jejuni_subsp._jejuni_genome_1357994.3	1357994.3	2yk	n	1799	1	2	1	2	3	23	56
Clostridium perfringens	Facultative	1	0.2	0.07	1	Ingestion	Helps	1	1e+05	Clostridium_perfringens_genome_195103.10	195103.1	2f	p	2866	6	4	3	0	4	50	4
Coxiella burnetii	Facultative	1	8	3	0	Inhalation	No effect	0	10	Coxiella_burnetii_genome_360115.5	360115.5	5w	n	2194	3	2	0	1	2	11	1
Cronobacter sakazakii	Facultative	1	0.23	60	1	Skin	Hinders	1	1000	Cronobacter_sakazakii_genome_290339.8	290339.8	hS	n	4069	26	8	1	17	2	48	118
Enterococcus faecalis	Facultative	0	0.5	0.01	1	Ingestion	Helps	0	1e+07	Enterococcus_faecalis_genome_226185.9	226185.9	ef	p	3243	8	2	2	0	1	42	39
Escherichia coli EAEC	Obligate	0	0.5	0.025	1	Ingestion	Helps	1	50500000	Escherichia_coli_EaggEC_genome_585055.56	585055.56	kt	n	4966	52	16	2	22	22	62	217
Escherichia coli EHEC	Obligate	1	0.33	0.254	1	Ingestion	Helps	1	10	Escherichia_coli_EHEC_genome_155864.210	155864.21	e1	n	4635	61	21	4	18	11	58	219
Escherichia coli ETEC	Obligate	0	0.33	0.025	1	Ingestion	Helps	1	2.55e+09	Escherichia_coli_ETEC_genome_331111.12	331111.12	6l	n	5196	63	21	4	16	12	62	240
Francisella tularensis subsp. holarctica	Facultative	1	3	0	1	Ingestion	Hinders	0	1000	Francisella_tularensis_holarctica_genome_351581.3	351581.3	h1y	n	2057	8	4	0	1	2	18	327
