effect	post.mean	l-95% CI	u-95% CI	eff.samp	pMCMC	model_name
species	2.188	1.554	2.866	2215.778	NA	secretome
se_logOR.units	0.009	1.9e-09	0.034	2132	NA	secretome
units	0.014	1.9e-04	0.053	2000	NA	secretome
(Intercept)	1.422	0.567	2.3	2000	5e-04	secretome
species	2.893	1.991	3.837	2000	NA	biofilm
se_logOR.units	0.015	8.0e-10	0.058	2188.915	NA	biofilm
units	0.019	2.3e-04	0.077	2000	NA	biofilm
(Intercept)	2.447	1.484	3.457	2000	5e-04	biofilm
species	4.049	2.576	5.755	2000	NA	siderophores
se_logOR.units	0.033	1.0e-09	0.115	2000	NA	siderophores
units	0.036	1.9e-04	0.16	2000	NA	siderophores
(Intercept)	2.319	1.112	3.576	2000	0.001	siderophores
species	3.026	2.164	4.029	2000	NA	antibiotic degradation
se_logOR.units	0.009	9.7e-11	0.033	2000	NA	antibiotic degradation
units	0.014	2.3e-04	0.053	2000	NA	antibiotic degradation
(Intercept)	2.405	1.346	3.446	2000	5e-04	antibiotic degradation
species	2.551	1.74	3.577	2000	NA	quorum-sensing
se_logOR.units	0.008	9.6e-09	0.028	2130.983	NA	quorum-sensing
units	0.014	1.9e-04	0.053	2000	NA	quorum-sensing
(Intercept)	3.216	2.191	4.29	2000	5e-04	quorum-sensing
species	3.776	2.396	5.256	2000	NA	secretion systems
se_logOR.units	0.019	5.3e-10	0.075	2138.604	NA	secretion systems
units	0.039	2.2e-04	0.157	2000	NA	secretion systems
(Intercept)	2.641	1.3	3.796	2000	5e-04	secretion systems
species	2.38	1.71	3.181	2000	NA	cooperation (any)
se_logOR.units	0.016	1.8e-10	0.063	2000	NA	cooperation (any)
units	0.02	2.0e-04	0.079	2007.088	NA	cooperation (any)
(Intercept)	1.383	0.522	2.253	1828.612	0.001	cooperation (any)
