effect	post.mean	l-95% CI	u-95% CI	eff.samp	pMCMC	model_name
species_id	0.347	 1.0e-06	1.392	2000	NA	Leggett
units	1.54	0.79	2.397	1889.552	NA	Leggett
infection_routeIngestion	0.816	0.102	1.532	2000	0.041	Leggett
infection_routeInhalation	3.122	2.104	4.096	1874.783	5.0e-04	Leggett
infection_routeSkin	2.717	1.7	3.606	2000	0.001	Leggett
generation_time_h	-3.6e-02	-1.0e-01	0.032	2042.654	0.304	Leggett
species_id	0.444	 7.8e-07	1.743	2000	NA	biofilm
units	1.429	0.656	2.22	2000	NA	biofilm
infection_routeIngestion	-4.9e-02	-1.3e+00	1.266	2000	0.971	biofilm
infection_routeInhalation	2.182	0.867	3.772	2000	0.007	biofilm
infection_routeSkin	1.948	0.554	3.195	2000	0.006	biofilm
generation_time_h	-2.2e-02	-8.8e-02	0.05	2132.682	0.531	biofilm
nb_cds	 2.8e-04	-4.0e-05	0.001	2000	0.069	biofilm
focal_trait	-1.5e-02	-4.6e-02	0.017	2000	0.302	biofilm
species_id	0.481	 2.0e-06	1.717	2000	NA	quorum-sensing
units	1.457	0.68	2.305	1991.768	NA	quorum-sensing
infection_routeIngestion	-8.0e-02	-1.5e+00	1.245	2274.547	0.924	quorum-sensing
infection_routeInhalation	2.316	0.872	3.798	2160.214	0.003	quorum-sensing
infection_routeSkin	1.983	0.633	3.419	2175.469	0.012	quorum-sensing
generation_time_h	-1.9e-02	-9.0e-02	0.053	2000	0.583	quorum-sensing
nb_cds	 2.0e-04	-8.2e-05	0.001	2144.501	0.194	quorum-sensing
focal_trait	0.05	-3.0e-01	0.378	2000	0.748	quorum-sensing
species_id	0.397	 5.8e-08	1.504	2000	NA	secretome
units	1.452	0.787	2.289	1781.3	NA	secretome
infection_routeIngestion	0.226	-1.2e+00	1.517	2000	0.712	secretome
infection_routeInhalation	2.592	1.295	4.197	2000	0.002	secretome
infection_routeSkin	2.335	0.965	3.81	2000	0.004	secretome
generation_time_h	-3.3e-02	-1.0e-01	0.042	2000	0.373	secretome
nb_cds	 3.3e-06	-4.4e-04	4.5e-04	2000	0.986	secretome
focal_trait	0.01	-7.8e-03	0.029	2000	0.255	secretome
species_id	0.359	 3.8e-08	1.442	1758.405	NA	antibiotic-resistance
units	1.486	0.729	2.25	2000	NA	antibiotic-resistance
infection_routeIngestion	0.021	-1.3e+00	1.285	2167.536	0.965	antibiotic-resistance
infection_routeInhalation	2.31	0.822	3.659	2244.582	0.004	antibiotic-resistance
infection_routeSkin	1.985	0.729	3.334	1970.415	0.005	antibiotic-resistance
generation_time_h	-2.4e-02	-8.5e-02	0.052	2000	0.463	antibiotic-resistance
nb_cds	 2.9e-04	-1.4e-05	0.001	2198.669	0.067	antibiotic-resistance
focal_trait	-4.6e-02	-1.4e-01	0.058	1848.541	0.352	antibiotic-resistance
species_id	0.452	 3.2e-07	1.643	2000	NA	siderophores
units	1.478	0.722	2.333	2000	NA	siderophores
infection_routeIngestion	-7.5e-02	-1.3e+00	1.265	2000	0.931	siderophores
infection_routeInhalation	2.24	0.695	3.737	1680.437	0.005	siderophores
infection_routeSkin	1.992	0.621	3.302	2000	0.008	siderophores
generation_time_h	-2.3e-02	-9.4e-02	0.051	2140.496	0.518	siderophores
nb_cds	 2.7e-04	-6.4e-05	0.001	2000	0.118	siderophores
focal_trait	-2.0e-02	-9.2e-02	0.06	2000	0.613	siderophores
species_id	0.473	 1.5e-07	1.742	2258.683	NA	secretion-systems
units	1.442	0.695	2.21	2000	NA	secretion-systems
infection_routeIngestion	0.059	-1.3e+00	1.456	2000	0.886	secretion-systems
infection_routeInhalation	2.422	0.929	3.841	2000	0.003	secretion-systems
