effect	post.mean	l-95% CI	u-95% CI	eff.samp	pMCMC	model_name
species_id	0.395	 2.3e-07	1.536	1783.989	NA	biofilm
units	1.429	0.681	2.243	2000	NA	biofilm
infection_routeIngestion	-1.6e-01	-1.4e+00	1.071	2000	0.813	biofilm
infection_routeInhalation	1.976	0.5	3.201	2000	0.009	biofilm
infection_routeSkin	1.729	0.6	2.779	1827.266	0.003	biofilm
nb_cds	 3.1e-04	 9.9e-06	0.001	1653.258	0.039	biofilm
focal_trait	-1.5e-02	-4.6e-02	0.017	1903.9	0.307	biofilm
species_id	0.456	 9.2e-06	1.644	2330.378	NA	quorum-sensing
units	1.455	0.652	2.245	2000	NA	quorum-sensing
infection_routeIngestion	-2.0e-01	-1.5e+00	0.967	2000	0.773	quorum-sensing
infection_routeInhalation	2.145	0.839	3.399	2000	0.001	quorum-sensing
infection_routeSkin	1.755	0.665	2.776	1789.033	0.006	quorum-sensing
nb_cds	 2.2e-04	-7.4e-05	0.001	1987.253	0.137	quorum-sensing
focal_trait	0.062	-2.7e-01	0.407	2000	0.721	quorum-sensing
species_id	0.386	 2.9e-07	1.563	2000	NA	secretome
units	1.441	0.661	2.184	2000	NA	secretome
infection_routeIngestion	-1.5e-02	-1.3e+00	1.168	1793.511	0.986	secretome
infection_routeInhalation	2.224	0.768	3.379	2000	0.003	secretome
infection_routeSkin	1.937	0.94	3.135	2000	0.004	secretome
nb_cds	 8.7e-05	-3.4e-04	0.001	2000	0.685	secretome
focal_trait	0.008	-9.7e-03	0.026	2321.375	0.393	secretome
species_id	0.321	 2.1e-07	1.243	2151.902	NA	antibiotic-resistance
units	1.455	0.756	2.197	1648.841	NA	antibiotic-resistance
infection_routeIngestion	-9.3e-02	-1.3e+00	1.021	2000	0.888	antibiotic-resistance
infection_routeInhalation	2.099	0.879	3.325	2000	0.002	antibiotic-resistance
infection_routeSkin	1.735	0.736	2.864	2071.208	0.002	antibiotic-resistance
nb_cds	 3.1e-04	-1.7e-05	0.001	2000	0.045	antibiotic-resistance
focal_trait	-4.5e-02	-1.4e-01	0.049	2000	0.357	antibiotic-resistance
species_id	0.4	 1.4e-06	1.576	2000	NA	siderophores
units	1.443	0.705	2.193	2170.182	NA	siderophores
infection_routeIngestion	-1.7e-01	-1.5e+00	1.076	2044.075	0.826	siderophores
infection_routeInhalation	2.053	0.664	3.321	2000	0.002	siderophores
infection_routeSkin	1.757	0.59	2.78	2449.526	0.01	siderophores
nb_cds	 2.8e-04	-3.4e-05	0.001	2000	0.085	siderophores
focal_trait	-1.9e-02	-9.0e-02	0.054	2000	0.615	siderophores
species_id	0.421	 2.0e-09	1.502	2000	NA	secretion-systems
units	1.423	0.657	2.169	1723.426	NA	secretion-systems
infection_routeIngestion	-3.2e-02	-1.4e+00	1.122	2000	0.99	secretion-systems
infection_routeInhalation	2.253	0.977	3.543	2000	0.004	secretion-systems
infection_routeSkin	1.862	0.84	2.954	2000	0.004	secretion-systems
nb_cds	 1.7e-04	-1.3e-04	4.8e-04	2000	0.272	secretion-systems
focal_trait	0.016	-2.9e-02	0.054	2000	0.449	secretion-systems
species_id	0.542	 3.5e-08	1.818	1871.871	NA	virulence-factors
units	1.399	0.597	2.212	2000	NA	virulence-factors
infection_routeIngestion	-2.8e-01	-1.6e+00	1.018	2000	0.694	virulence-factors
infection_routeInhalation	2.117	0.894	3.43	2000	0.001	virulence-factors
infection_routeSkin	1.789	0.693	2.838	2000	0.001	virulence-factors
nb_cds	 2.3e-04	-3.4e-05	5.0e-04	2000	0.089	virulence-factors
focal_trait	0.001	-3.6e-03	0.006	2000	0.717	virulence-factors
species_id	0.687	 1.7e-06	2.466	2000	NA	multivariate-model
units	1.431	0.554	2.304	1543.508	NA	multivariate-model
infection_routeIngestion	0.612	-3.5e-01	1.382	1853.893	0.155	multivariate-model
infection_routeInhalation	3.038	1.93	4.318	2000	5.0e-04	multivariate-model
infection_routeSkin	2.731	1.741	3.757	2000	5.0e-04	multivariate-model
z_nb_cds	0.038	-1.0e+00	0.946	2000	0.936	multivariate-model
z_biofilm	-5.7e-01	-1.6e+00	0.437	1934.322	0.236	multivariate-model
z_quorum_sensing	0.218	-3.5e-01	0.802	2000	0.462	multivariate-model
z_antibiotic_degradation	0.009	-7.3e-01	0.765	2000	0.984	multivariate-model
z_secretion_system	0.281	-3.0e-01	0.772	1834.979	0.311	multivariate-model
z_siderophores	0.034	-7.5e-01	0.864	2000	0.941	multivariate-model
z_secretome	0.316	-4.6e-01	1.047	2000	0.392	multivariate-model
z_is_victor_vf	0.384	-2.8e-01	1.063	1495.156	0.256	multivariate-model
