qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|1029818.3.peg.1	BP	0055085	transmembrane transport	2.37313840092	0.528380512857	1
fig|1029818.3.peg.1	CC	0005886	plasma membrane	2.15868830581	0.518034741425	1
fig|1029818.3.peg.1	MF	0035673	oligopeptide transmembrane transporter activity	0.0727831715661	0.343872573536	1
fig|1029818.3.peg.1	CC	0016021	integral component of membrane	0.679046429453	0.424351005153	3
fig|1029818.3.peg.1	BP	0006857	oligopeptide transport	0.0601998860021	0.34032578567	7
fig|1029818.3.peg.1	BP	0051701	biological process involved in interaction with host	0.0323371041917	0.330810619701	8
fig|1029818.3.peg.2	BP	0055085	transmembrane transport	2.32121028151	0.525919730615	1
fig|1029818.3.peg.2	CC	0005886	plasma membrane	2.06938166197	0.513575217186	1
fig|1029818.3.peg.2	MF	0035673	oligopeptide transmembrane transporter activity	0.0742323406256	0.344260629503	1
fig|1029818.3.peg.2	CC	0016021	integral component of membrane	0.664187791601	0.423034685438	3
fig|1029818.3.peg.2	BP	0071766	Actinobacterium-type cell wall biogenesis	0.0844826206081	0.346903678389	6
fig|1029818.3.peg.2	BP	0006857	oligopeptide transport	0.0613985121446	0.340678706029	8
fig|1029818.3.peg.3	CC	0043190	ATP-binding cassette (ABC) transporter complex	6.33012834859	0.670019516558	1
fig|1029818.3.peg.3	BP	0055085	transmembrane transport	2.75862638924	0.545864322629	1
fig|1029818.3.peg.3	MF	1904680	peptide transmembrane transporter activity	0.384699445962	0.39475905733	1
fig|1029818.3.peg.3	BP	0015833	peptide transport	0.235105639529	0.375104130578	7
fig|1029818.3.peg.3	CC	0030288	outer membrane-bounded periplasmic space	0.380376609101	0.394251634629	15
fig|1029818.3.peg.5	MF	0016208	AMP binding	10.8502535923	0.782984779704	1
fig|1029818.3.peg.5	BP	0019427	acetyl-CoA biosynthetic process from acetate	10.6233618136	0.777957606437	1
fig|1029818.3.peg.5	CC	0005618	cell wall	0.0400343430632	0.333752463857	1
fig|1029818.3.peg.5	MF	0003987	acetate-CoA ligase activity	10.6552993242	0.778668460832	2
fig|1029818.3.peg.5	CC	0005886	plasma membrane	0.0117445948068	0.320435684354	3
fig|1029818.3.peg.5	MF	0005524	ATP binding	2.69653016312	0.543134589123	7
fig|1029818.3.peg.5	MF	0046872	metal ion binding	2.25029663302	0.522514356565	16
fig|1029818.3.peg.6	MF	0008233	peptidase activity	4.6070571166	0.616358097074	1
fig|1029818.3.peg.6	BP	0006508	proteolysis	4.20435142376	0.602425560275	1
fig|1029818.3.peg.7	CC	0016021	integral component of membrane	0.789262563677	0.433696334058	1
fig|1029818.3.peg.8	MF	0003735	structural constituent of ribosome	4.34396755215	0.607328553942	1
fig|1029818.3.peg.8	CC	0005840	ribosome	3.65470136381	0.582282807539	1
fig|1029818.3.peg.8	BP	0006412	translation	3.5197973701	0.577111506265	1
fig|1029818.3.peg.8	MF	0016301	kinase activity	0.0434413543059	0.334963440163	3
fig|1029818.3.peg.8	BP	0016310	phosphorylation	0.0352015940779	0.331942551569	26
fig|1029818.3.peg.9	MF	0004252	serine-type endopeptidase activity	6.64406560125	0.678968754819	1
fig|1029818.3.peg.9	BP	0006508	proteolysis	4.01660528442	0.595702147545	1
fig|1029818.3.peg.9	CC	0016021	integral component of membrane	0.75326094637	0.430719961366	1
fig|1029818.3.peg.9	CC	0005886	plasma membrane	0.0227037721635	0.326578403431	4
fig|1029818.3.peg.10	MF	0004523	RNA-DNA hybrid ribonuclease activity	8.51895523154	0.728498860198	1
fig|1029818.3.peg.10	BP	0006401	RNA catabolic process	7.30437941227	0.697126455943	1
fig|1029818.3.peg.10	CC	0005737	cytoplasm	1.85026938305	0.50220773001	1
fig|1029818.3.peg.10	MF	0030145	manganese ion binding	7.89637903979	0.712719209292	2
fig|1029818.3.peg.10	BP	0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	6.97264016311	0.68811159537	2
fig|1029818.3.peg.10	MF	0003723	RNA binding	3.5161306292	0.576969577259	12
fig|1029818.3.peg.12	MF	0003723	RNA binding	3.74421912334	0.585661779511	1
fig|1029818.3.peg.13	MF	0003824	catalytic activity	0.516929983049	0.409095668061	1
fig|1029818.3.peg.14	MF	0097163	sulfur carrier activity	11.4979768295	0.797053841679	1
fig|1029818.3.peg.14	BP	0006777	Mo-molybdopterin cofactor biosynthetic process	8.29064997261	0.722781457372	1
fig|1029818.3.peg.14	CC	0005737	cytoplasm	1.91706418992	0.505741142552	1
fig|1029818.3.peg.14	MF	0016783	sulfurtransferase activity	8.08110154449	0.717464081658	3
fig|1029818.3.peg.14	MF	0016491	oxidoreductase activity	0.0265388015947	0.328354145843	7
fig|1029818.3.peg.14	MF	0004518	nuclease activity	0.0254298594982	0.327854670047	8
fig|1029818.3.peg.14	MF	0003676	nucleic acid binding	0.0112175120604	0.320078532292	10
fig|1029818.3.peg.14	BP	0090305	nucleic acid phosphodiester bond hydrolysis	0.0241057277808	0.327243780141	28
fig|1029818.3.peg.16	BP	0015074	DNA integration	6.3454571918	0.67046157233	1
fig|1029818.3.peg.16	MF	0003677	DNA binding	2.9805813984	0.555378512932	1
fig|1029818.3.peg.16	BP	0006310	DNA recombination	5.13646319074	0.633777891857	2
fig|1029818.3.peg.19	CC	0005886	plasma membrane	2.50701896513	0.534603416944	1
fig|1029818.3.peg.19	CC	0016021	integral component of membrane	0.788618844259	0.433643718879	3
fig|1029818.3.peg.20	MF	0008270	zinc ion binding	4.43694934715	0.610550258401	1
fig|1029818.3.peg.20	MF	0016491	oxidoreductase activity	2.50837975624	0.534665803406	3
fig|1029818.3.peg.21	BP	0071586	CAAX-box protein processing	8.1779244817	0.719929465434	1
fig|1029818.3.peg.21	MF	0004222	metalloendopeptidase activity	6.31518608681	0.669588093634	1
fig|1029818.3.peg.21	CC	0016021	integral component of membrane	0.642090805761	0.42104958591	1
fig|1029818.3.peg.22	MF	0016832	aldehyde-lyase activity	8.47526708966	0.727410769986	1
fig|1029818.3.peg.22	BP	0005975	carbohydrate metabolic process	3.81572977392	0.588332126976	1
fig|1029818.3.peg.23	MF	0016491	oxidoreductase activity	2.30602713214	0.525195039101	1
fig|1029818.3.peg.23	CC	0005886	plasma membrane	0.0156152327118	0.322844326272	1
fig|1029818.3.peg.24	MF	0050380	undecaprenyl-diphosphatase activity	10.8031201249	0.781944815286	1
fig|1029818.3.peg.24	BP	0046677	response to antibiotic	8.28682335201	0.722684961695	1
fig|1029818.3.peg.24	CC	0005886	plasma membrane	2.43039379614	0.531062739027	1
fig|1029818.3.peg.24	BP	0008360	regulation of cell shape	6.47523568153	0.67418295344	2
fig|1029818.3.peg.24	CC	0016021	integral component of membrane	0.764515296163	0.4316578929	3
fig|1029818.3.peg.24	BP	0009252	peptidoglycan biosynthetic process	6.34912100868	0.670567151014	5
fig|1029818.3.peg.24	BP	0071555	cell wall organization	6.28939715967	0.668842296216	8
fig|1029818.3.peg.24	BP	0016311	dephosphorylation	6.07809290792	0.662673010018	16
fig|1029818.3.peg.26	MF	0004803	transposase activity	8.27062459169	0.722276231473	1
fig|1029818.3.peg.26	BP	0006313	transposition, DNA-mediated	7.71891320525	0.708108175255	1
fig|1029818.3.peg.26	MF	0003677	DNA binding	3.14608663512	0.562244307589	3
fig|1029818.3.peg.27	MF	0004788	thiamine diphosphokinase activity	9.70231433076	0.756976774916	1
fig|1029818.3.peg.27	BP	0009229	thiamine diphosphate biosynthetic process	7.04559124963	0.69011209392	1
fig|1029818.3.peg.27	CC	0016021	integral component of membrane	0.604930990871	0.417632653727	1
fig|1029818.3.peg.27	MF	0016301	kinase activity	3.34903599636	0.570421395211	3
fig|1029818.3.peg.27	MF	0005524	ATP binding	2.28300056933	0.524091413513	5
fig|1029818.3.peg.27	BP	0016310	phosphorylation	2.71380594781	0.543897155815	9
fig|1029818.3.peg.28	BP	0006310	DNA recombination	5.22881072092	0.636722929301	1
fig|1029818.3.peg.28	MF	0005524	ATP binding	2.79314857542	0.54736862826	1
fig|1029818.3.peg.28	BP	0006281	DNA repair	5.22653085264	0.636650537019	2
fig|1029818.3.peg.29	MF	0102500	beta-maltose 4-alpha-glucanotransferase activity	11.4762580488	0.796588612892	1
fig|1029818.3.peg.29	BP	0005977	glycogen metabolic process	8.6911024985	0.732759413657	1
fig|1029818.3.peg.29	CC	0005829	cytosol	0.0333125419181	0.331201502859	1
fig|1029818.3.peg.29	MF	0004134	4-alpha-glucanotransferase activity	11.1947773233	0.79051883259	2
fig|1029818.3.peg.31	CC	0016021	integral component of membrane	0.789356347542	0.433703997804	1
fig|1029818.3.peg.31	MF	0016787	hydrolase activity	0.546092591304	0.412000009069	1
fig|1029818.3.peg.31	MF	0005524	ATP binding	0.273187583859	0.38059219168	2
fig|1029818.3.peg.31	CC	0005618	cell wall	0.267831015929	0.379844474328	4
fig|1029818.3.peg.31	CC	0005886	plasma membrane	0.234750134034	0.375050881059	5
fig|1029818.3.peg.32	MF	0003677	DNA binding	3.07689955782	0.559396675388	1
fig|1029818.3.peg.32	CC	0016021	integral component of membrane	0.711314893798	0.42716093401	1
fig|1029818.3.peg.32	MF	0005524	ATP binding	2.87724277669	0.550994588959	2
fig|1029818.3.peg.33	MF	0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	6.35165133635	0.670640048629	1
fig|1029818.3.peg.33	BP	0006707	cholesterol catabolic process	0.0890815598049	0.34803716752	1
fig|1029818.3.peg.33	MF	0004497	monooxygenase activity	6.18144231725	0.665703595041	2
fig|1029818.3.peg.33	MF	0005506	iron ion binding	5.91500279537	0.657837707608	3
fig|1029818.3.peg.33	MF	0020037	heme binding	4.87152758821	0.625178721608	4
