qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|115711.10.peg.1|CP0001	MF	0004655	porphobilinogen synthase activity	3.4458373822804513	0.574234278644	1
fig|115711.10.peg.1|CP0001	BP	0006779	porphyrin-containing compound biosynthetic process	2.2139220025903863	0.520746768403	1
fig|115711.10.peg.1|CP0001	CC	0005829	cytosol	0.0230625777273172	0.326750606539	1
fig|115711.10.peg.1|CP0001	BP	0006778	porphyrin-containing compound metabolic process	2.192470015551299	0.519697518676	2
fig|115711.10.peg.1|CP0001	MF	0016836	hydro-lyase activity	1.9561931950931726	0.507782494026	2
fig|115711.10.peg.1|CP0001	CC	0044444	cytoplasmic part	0.008028696988212158	0.317710355097	2
fig|115711.10.peg.1|CP0001	BP	0033014	tetrapyrrole biosynthetic process	2.0072810264174454	0.510417248113	3
fig|115711.10.peg.1|CP0001	MF	0016835	carbon-oxygen lyase activity	1.864779684036517	0.502980671448	3
fig|115711.10.peg.1|CP0001	CC	0005737	cytoplasm	0.00538154600385376	0.315351729891	3
fig|115711.10.peg.1|CP0001	BP	0033013	tetrapyrrole metabolic process	1.9942794969007769	0.509749931491	4
fig|115711.10.peg.1|CP0001	MF	0016829	lyase activity	1.3872211478444063	0.475717072098	4
fig|115711.10.peg.1|CP0001	CC	0044424	intracellular part	0.004509686288042032	0.314450789527	4
fig|115711.10.peg.1|CP0001	BP	0051188	cofactor biosynthetic process	1.4028708405288413	0.476679016295	5
fig|115711.10.peg.1|CP0001	MF	0046872	metal ion binding	0.7817281541895938	0.433079149179	5
fig|115711.10.peg.1|CP0001	CC	0005622	intracellular	0.0045096792780634845	0.314450781948	5
fig|115711.10.peg.1|CP0001	BP	0051186	cofactor metabolic process	1.3363830286746707	0.472554153505	6
fig|115711.10.peg.1|CP0001	MF	0043169	cation binding	0.7770857388928419	0.432697381678	6
fig|115711.10.peg.1|CP0001	CC	0044464	cell part	0.003069681320699644	0.312744763146	6
fig|115711.10.peg.1|CP0001	BP	0019438	aromatic compound biosynthetic process	0.9912541321423339	0.449263655592	7
fig|115711.10.peg.1|CP0001	MF	0043167	ion binding	0.4855871494407305	0.405881289254	7
fig|115711.10.peg.1|CP0001	CC	0005623	cell	0.0029488905838117117	0.312584895569	7
fig|115711.10.peg.1|CP0001	BP	0018130	heterocycle biosynthetic process	0.9730015797852508	0.447926503227	8
fig|115711.10.peg.1|CP0001	MF	0005488	binding	0.25173959641740623	0.377552151518	8
fig|115711.10.peg.1|CP0001	BP	1901362	organic cyclic compound biosynthetic process	0.9542738212847006	0.446541436629	9
