Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1016998.12","Salmonella enterica subsp. enterica serovar Paratyphi B str. SPB7",,1016998,"Complete","SGSC4150; SPB7","Paratyphi B",,,"MLST.Salmonella_enterica.307",,"ATCC:BAA-1250",,"2014-01-31T00:00:00Z",,"PRJNA27803","SAMN02603951","GCF_000018705.1",,"CP000886","NC_010102.1","Washington University Genome Sequencing Center",,,,,1,,1,4858887,52.11,5418,5601,,"stool sample of an infected woman","isolated from a stool sample of an infected woman in Penang, Malaysia, May 16, 2002",,"Malaysia","Penang Malaysia May",,,,,,"Human, Homo sapiens",,,,,,,,,"Negative","Bacilli","No",,"Mesophilic","37",,"Facultative","HostAssociated","Typhoid-like disease","Salmonella enterica subsp. enterica serovar Paratyphi B strain SPB7. This strain (SGSC 4150; ATCC BAA-1250) was isolated from a stool sample of an infected woman in Penang, Malaysia, May 16, 2002. This strain is susceptible to antibiotics, and was classified as serovar Paratyphi B because it was unable to metabolize D-tartrate.",,99.6,99.1,100,,,"Good","2016-01-17T15:28:08.928Z","2016-01-17T15:28:08.928Z"
"1169660.3","Salmonella enterica subsp. enterica serovar Typhi str. UJ308A","Salmonella enterica subsp. enterica serovar Typhi str. UJ308A",1169660,"WGS","UJ308A","serovar Typhi",,,"MLST.Salmonella_enterica.2",,,,"2012-05-14T00:00:00Z","22933755","PRJNA157357","SAMN02415288","GCA_000262635.1",,"AJTD00000000","-","University of Hyderabad","WGS","Illumina GAIIx","95.0x","Velvet v. 1.1.05",,,416,4615920,51.8,4778,,,,,"1998","Malaysia","Malaysia: Kelantan",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","Genome sequencing of Salmonella enterica subsp. enterica serovar Typhi str. UJ308A",,97,95.6,97.9,,,"Good","2014-12-08T22:12:52.510Z","2015-03-16T03:17:09.594Z"
"1169661.3","Salmonella enterica subsp. enterica serovar Typhi str. UJ816A","Salmonella enterica subsp. enterica serovar Typhi str. UJ816A",1169661,"WGS","UJ816A","serovar Typhi",,,"MLST.Salmonella_enterica.2",,,,"2012-05-14T00:00:00Z","22933755","PRJNA157359","SAMN02415289","GCA_000262615.1",,"AJTE00000000","-","University of Hyderabad","WGS","Illumina GAIIx","100.0x","Velvet v. 1.1.05",,,334,4627917,51.8,4783,,,,,"1998","Malaysia","Malaysia: Kelantan",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","Genome sequencing of Salmonella enterica subsp. enterica serovar Typhi str. UJ816A",,97.2,95.8,98.1,,,"Good","2014-12-08T22:12:52.520Z","2015-03-16T03:17:09.594Z"
"1176487.3","Salmonella enterica subsp. enterica serovar Typhi str. ST0208","Salmonella enterica subsp. enterica serovar Typhi str. ST0208",1176487,"WGS","serovar Typhi str. ST0208","serovar Typhi",,,"MLST.Salmonella_enterica.2",,,,"2012-06-13T00:00:00Z","22933756","PRJNA160181","SAMN00989039","GCA_000267565.1",,"AJXA00000000","-","University of Malaya","WGS","Illumina GAIIx","165.0x","Velvet v. 1.1.05",,,222,4690773,52,4828,,,"patient stool",,"2008","Malaysia","Malaysia: Kuala Lumpur",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","whole genome sequencing of salmonella enterica subsp. enterica serovar Typhi str. ST0208 associated with large Typhoid outbreak in Kelantan, Malaysia",,98.4,97.2,97.9,,,"Good","2014-12-08T22:12:52.448Z","2015-03-16T03:17:09.594Z"
"1179780.3","Salmonella enterica subsp. enterica serovar Enteritidis str. 2010-1237","Salmonella enterica subsp. enterica serovar Enteritidis str. 2010-1237",1179780,"WGS","2010-1237","serovar Enteritidis",,,"MLST.Salmonella_enterica.11",,,,"2012-05-08T00:00:00Z",,"PRJNA162505","SAMN02415216","GCA_000261985.1",,"AJVD00000000","-","Centers for Disease Control & Prevention","WGS","454","26.0x","Newbler v. 2.5",,,44,4666245,52.1,4630,,,"human stool",,"2010","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","Whole genome sequence of Salmonella enterica subspecies enterica serovar Enteritidis 2010-1237.",,99,98.4,99.7,,,"Good","2014-12-08T22:12:48.895Z","2015-03-16T03:17:09.594Z"
"1218146.3","Salmonella enterica subsp. enterica serovar Typhimurium str. STm4","Salmonella enterica subsp. enterica serovar Typhimurium str. STm4",1218146,"WGS","STm4","serovar Typhimurium",,,"MLST.Salmonella_enterica.19",,,,"2012-11-13T00:00:00Z",,"PRJNA171796","SAMN02225275","GCA_000312885.2",,"AMEC00000000","-","University of Melbourne","WGS","Illumina HiSeq","350 x","Velvet v. 1.0.13",,,266,4903391,52.16,4988,4834,,"eggs",,,"Australia","Tasmania",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","A variant of S. Typhimurium phage type 135, STm135@, is one of the most common forms of S. Typhimurium responsible for foodborne gastroenteritis in Australia and has been associated with multiple outbreaks. To facilitate studies of STm135@ and future outbreak investigations relating to this pathogen, the genomes of 12 STm135@ isolates linked to egg-associated outbreaks in Tasmania were sequenced.",,99.3,98.4,99.5,,,"Good","2014-12-08T22:12:52.853Z","2015-03-16T03:17:09.594Z"
"1218148.3","Salmonella enterica subsp. enterica serovar Typhimurium str. STm8","Salmonella enterica subsp. enterica serovar Typhimurium str. STm8",1218148,"WGS","STm8","serovar Typhimurium",,,"MLST.Salmonella_enterica.19",,,,"2012-11-13T00:00:00Z",,"PRJNA171798","SAMN02225278","GCA_000312845.2",,"AMDZ00000000","-","University of Melbourne","WGS","Illumina HiSeq","300 x","Velvet v. 1.0.13",,,231,4896971,52.15,5004,4832,,"eggs",,,"Australia","Tasmania",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","A variant of S. Typhimurium phage type 135, STm135@, is one of the most common forms of S. Typhimurium responsible for foodborne gastroenteritis in Australia and has been associated with multiple outbreaks. To facilitate studies of STm135@ and future outbreak investigations relating to this pathogen, the genomes of 12 STm135@ isolates linked to egg-associated outbreaks in Tasmania were sequenced.",,99.4,98.4,100,0.2,,"Good","2014-12-08T22:12:52.891Z","2015-03-16T03:17:09.594Z"
"1218149.3","Salmonella enterica subsp. enterica serovar Typhimurium str. STm9","Salmonella enterica subsp. enterica serovar Typhimurium str. STm9",1218149,"WGS","STm9","serovar Typhimurium",,,"MLST.Salmonella_enterica.19",,,,"2012-11-13T00:00:00Z",,"PRJNA171799","SAMN02225279","GCA_000319795.2","SRR926598","AMEA00000000","-","University of Melbourne","WGS","Illumina HiSeq","350 x","Velvet v. 1.0.13",,,223,4890559,52.16,4968,4788,,"eggs",,,"Australia","Tasmania",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","A variant of S. Typhimurium phage type 135, STm135@, is one of the most common forms of S. Typhimurium responsible for foodborne gastroenteritis in Australia and has been associated with multiple outbreaks. To facilitate studies of STm135@ and future outbreak investigations relating to this pathogen, the genomes of 12 STm135@ isolates linked to egg-associated outbreaks in Tasmania were sequenced.",,99.2,98.3,99.8,,,"Good","2014-12-08T22:12:52.901Z","2015-03-16T03:17:09.594Z"
"1218151.3","Salmonella enterica subsp. enterica serovar Typhimurium str. STm11","Salmonella enterica subsp. enterica serovar Typhimurium str. STm11",1218151,"WGS","STm11","serovar Typhimurium",,,"MLST.Salmonella_enterica.19",,,,"2012-11-13T00:00:00Z",,"PRJNA171801","SAMN02225281","GCA_000312765.2","SRR926600","AMEF00000000","-","University of Melbourne","WGS","Illumina HiSeq","400 x","Velvet v. 1.0.13",,,284,4895647,52.15,4985,4859,,"eggs",,,"Australia","Tasmania",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","A variant of S. Typhimurium phage type 135, STm135@, is one of the most common forms of S. Typhimurium responsible for foodborne gastroenteritis in Australia and has been associated with multiple outbreaks. To facilitate studies of STm135@ and future outbreak investigations relating to this pathogen, the genomes of 12 STm135@ isolates linked to egg-associated outbreaks in Tasmania were sequenced.",,99.3,98.4,99.8,0.2,,"Good","2014-12-08T22:12:52.812Z","2015-03-16T03:17:09.594Z"
"1218152.3","Salmonella enterica subsp. enterica serovar Typhimurium str. STm12","Salmonella enterica subsp. enterica serovar Typhimurium str. STm12",1218152,"WGS","STm12","serovar Typhimurium",,,"MLST.Salmonella_enterica.19",,,,"2012-11-13T00:00:00Z",,"PRJNA171802","SAMN02225282","GCA_000312785.2","SRR926601","AMEG00000000","-","University of Melbourne","WGS","Illumina HiSeq","350 x","Velvet v. 1.0.13",,,269,4895968,52.16,4978,4836,,"eggs",,,"Australia","Tasmania",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","A variant of S. Typhimurium phage type 135, STm135@, is one of the most common forms of S. Typhimurium responsible for foodborne gastroenteritis in Australia and has been associated with multiple outbreaks. To facilitate studies of STm135@ and future outbreak investigations relating to this pathogen, the genomes of 12 STm135@ isolates linked to egg-associated outbreaks in Tasmania were sequenced.",,99.6,98.9,99.8,,,"Good","2014-12-08T22:12:52.822Z","2015-03-16T03:17:09.594Z"
