qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|665951.3.peg.1|HMPREF1026_00001	MF	0003677	DNA binding	3.09416121325	0.560110110656	1
fig|665951.3.peg.1|HMPREF1026_00001	CC	0016021	integral component of membrane	0.781066180762	0.43302478144	1
fig|665951.3.peg.3|HMPREF1026_00003	MF	0005524	ATP binding	2.6500373131	0.541070139133	1
fig|665951.3.peg.4|HMPREF1026_00004	MF	0005524	ATP binding	2.9032659163	0.552105884013	1
fig|665951.3.peg.8|HMPREF1026_00008	CC	0043190	ATP-binding cassette (ABC) transporter complex	6.16934326311	0.665350122404	1
fig|665951.3.peg.8|HMPREF1026_00008	BP	0055085	transmembrane transport	2.68855735503	0.542781839413	1
fig|665951.3.peg.9|HMPREF1026_00009	MF	0016887	ATPase activity	3.9550994023	0.593465508506	1
fig|665951.3.peg.9|HMPREF1026_00009	MF	0005524	ATP binding	2.81191738094	0.548182579703	6
fig|665951.3.peg.10|HMPREF1026_00010	BP	0006355	regulation of transcription, DNA-templated	3.49134882998	0.576008398389	1
fig|665951.3.peg.10|HMPREF1026_00010	MF	0003677	DNA binding	3.14091321899	0.562032467894	1
fig|665951.3.peg.11|HMPREF1026_00011	MF	0003677	DNA binding	3.14543643876	0.562217693093	1
fig|665951.3.peg.12|HMPREF1026_00012	BP	0042274	ribosomal small subunit biogenesis	8.41216421516	0.725834176522	1
fig|665951.3.peg.12|HMPREF1026_00012	MF	0003924	GTPase activity	6.69864973689	0.680503007371	1
fig|665951.3.peg.12|HMPREF1026_00012	CC	0005737	cytoplasm	1.86498242995	0.502991450068	1
fig|665951.3.peg.12|HMPREF1026_00012	MF	0005525	GTP binding	5.94406584376	0.658704206114	2
fig|665951.3.peg.12|HMPREF1026_00012	MF	0019843	rRNA binding	5.94285786914	0.658668233277	5
fig|665951.3.peg.12|HMPREF1026_00012	MF	0046872	metal ion binding	2.41385851946	0.530291391059	20
fig|665951.3.peg.13|HMPREF1026_00013	MF	0008080	N-acetyltransferase activity	6.65982463136	0.679412355142	1
fig|665951.3.peg.14|HMPREF1026_00014	MF	0008270	zinc ion binding	4.48456034847	0.612186853718	1
fig|665951.3.peg.14|HMPREF1026_00014	BP	0009972	cytidine deamination	0.751421044991	0.430565960245	1
fig|665951.3.peg.14|HMPREF1026_00014	MF	0016787	hydrolase activity	1.93170471561	0.506507353155	5
fig|665951.3.peg.14|HMPREF1026_00014	MF	0000166	nucleotide binding	0.0926556507548	0.348897995329	14
fig|665951.3.peg.14|HMPREF1026_00014	BP	0008033	tRNA processing	0.225549759084	0.373658499061	31
fig|665951.3.peg.16|HMPREF1026_00016	MF	0000150	recombinase activity	9.30972652103	0.7477319815	1
fig|665951.3.peg.16|HMPREF1026_00016	BP	0015074	DNA integration	6.74890458244	0.681910054569	1
fig|665951.3.peg.16|HMPREF1026_00016	BP	0006310	DNA recombination	5.46304212884	0.644078160352	2
fig|665951.3.peg.16|HMPREF1026_00016	MF	0003677	DNA binding	3.1459360826	0.562238145266	3
fig|665951.3.peg.17|HMPREF1026_00017	CC	0016021	integral component of membrane	0.71645003252	0.427602175301	1
fig|665951.3.peg.17|HMPREF1026_00017	MF	0004674	protein serine/threonine kinase activity	0.664915326859	0.423099478178	1
fig|665951.3.peg.17|HMPREF1026_00017	BP	0006468	protein phosphorylation	0.483333015762	0.405646170332	1
fig|665951.3.peg.17|HMPREF1026_00017	MF	0005524	ATP binding	0.320212512843	0.386864793049	7
fig|665951.3.peg.17|HMPREF1026_00017	BP	0030261	chromosome condensation	0.244655438815	0.37651977724	9
fig|665951.3.peg.17|HMPREF1026_00017	MF	0003677	DNA binding	0.129005335025	0.356851938013	23
fig|665951.3.peg.17|HMPREF1026_00017	MF	0016887	ATPase activity	0.0754260016867	0.344577429839	26
fig|665951.3.peg.19|HMPREF1026_00019	MF	0003677	DNA binding	3.14167800054	0.562063794953	1
fig|665951.3.peg.20|HMPREF1026_00020	MF	0003677	DNA binding	3.13271547645	0.561696431295	1
fig|665951.3.peg.22|HMPREF1026_00023	CC	0016021	integral component of membrane	0.788135763382	0.433604219577	1
fig|665951.3.peg.23|HMPREF1026_00024	CC	0016021	integral component of membrane	0.788769746179	0.433656054955	1
fig|665951.3.peg.31|HMPREF1026_00031	MF	0017056	structural constituent of nuclear pore	11.6252915449	0.799772203473	1
fig|665951.3.peg.31|HMPREF1026_00031	BP	0006913	nucleocytoplasmic transport	9.47830814623	0.751725222755	1
fig|665951.3.peg.32|HMPREF1026_00032	MF	0000287	magnesium ion binding	5.5684977984	0.647338091612	1
fig|665951.3.peg.32|HMPREF1026_00032	BP	0006310	DNA recombination	5.46536157939	0.644150197809	1
fig|665951.3.peg.32|HMPREF1026_00032	BP	0006281	DNA repair	5.4629785701	0.644076186131	2
fig|665951.3.peg.32|HMPREF1026_00032	MF	0008821	crossover junction endodeoxyribonuclease activity	1.02168407199	0.451465820807	5
fig|665951.3.peg.32|HMPREF1026_00032	BP	0090305	nucleic acid phosphodiester bond hydrolysis	0.215872410591	0.372162928097	23
fig|665951.3.peg.35|HMPREF1026_00035	MF	0003886	DNA (cytosine-5-)-methyltransferase activity	10.8961730452	0.783995787754	1
fig|665951.3.peg.35|HMPREF1026_00035	BP	0090116	C-5 methylation of cytosine	10.5928347223	0.777277145198	1
fig|665951.3.peg.35|HMPREF1026_00035	BP	0009307	DNA restriction-modification system	9.07912492693	0.742210633013	3
fig|665951.3.peg.35|HMPREF1026_00035	MF	0004519	endonuclease activity	0.0448477275638	0.335449413558	9
fig|665951.3.peg.35|HMPREF1026_00035	BP	0090305	nucleic acid phosphodiester bond hydrolysis	0.0384302484048	0.333164477236	37
fig|665951.3.peg.39|HMPREF1026_00039	MF	0009007	site-specific DNA-methyltransferase (adenine-specific) activity	9.23713256579	0.74600129772	1
fig|665951.3.peg.39|HMPREF1026_00039	BP	0032775	DNA methylation on adenine	8.94741189416	0.739025503351	1
fig|665951.3.peg.39|HMPREF1026_00039	MF	0003676	nucleic acid binding	0.14808764183	0.36057609217	9
fig|665951.3.peg.39|HMPREF1026_00039	MF	0004519	endonuclease activity	0.121049466245	0.355218221849	10
fig|665951.3.peg.39|HMPREF1026_00039	BP	0090305	nucleic acid phosphodiester bond hydrolysis	0.103727910192	0.3514642992	24
fig|665951.3.peg.40|HMPREF1026_00040	BP	0006323	DNA packaging	9.03968125115	0.741259230123	1
fig|665951.3.peg.42|HMPREF1026_00042	CC	0046798	viral portal complex	17.6844899123	0.866085005432	1
fig|665951.3.peg.43|HMPREF1026_00043	MF	0106275	NADP+-protein-arginine ADP-ribosyltransferase activity	14.4014949591	0.847245243887	1
fig|665951.3.peg.43|HMPREF1026_00043	MF	0106274	NAD+-protein-arginine ADP-ribosyltransferase activity	14.4014949591	0.847245243887	2
fig|665951.3.peg.46|HMPREF1026_00046	BP	0019069	viral capsid assembly	11.4521953623	0.796072661949	1
fig|665951.3.peg.55|HMPREF1026_00055	CC	0016021	integral component of membrane	0.789317575514	0.433700829522	1
fig|665951.3.peg.421|HMPREF1026_00061	MF	0016787	hydrolase activity	2.17479748431	0.518829265524	1
fig|665951.3.peg.424	CC	0016021	integral component of membrane	0.789214669683	0.433692420124	1
fig|665951.3.peg.426|HMPREF1026_00065	CC	0016021	integral component of membrane	0.784821281968	0.433332882579	1
fig|665951.3.peg.427|HMPREF1026_00066	MF	0008745	N-acetylmuramoyl-L-alanine amidase activity	9.79011181043	0.759018521418	1
fig|665951.3.peg.427|HMPREF1026_00066	BP	0009253	peptidoglycan catabolic process	9.03247077029	0.741085085159	1
fig|665951.3.peg.428|HMPREF1026_00067	BP	0042724	thiamine-containing compound biosynthetic process	3.41464481061	0.57301155981	1
fig|665951.3.peg.428|HMPREF1026_00067	CC	0016021	integral component of membrane	0.463397759738	0.403542468122	1
fig|665951.3.peg.428|HMPREF1026_00067	BP	0006772	thiamine metabolic process	3.37452454555	0.571430643112	3
fig|665951.3.peg.429|HMPREF1026_00068	CC	0016021	integral component of membrane	0.787351796305	0.433540092423	1
fig|665951.3.peg.430|HMPREF1026_00069	MF	0003824	catalytic activity	0.573345689863	0.414644850326	1
fig|665951.3.peg.431|HMPREF1026_00070	MF	0043565	sequence-specific DNA binding	6.25034766723	0.667710096116	1
fig|665951.3.peg.431|HMPREF1026_00070	BP	0006355	regulation of transcription, DNA-templated	3.49922058222	0.57631407825	1
fig|665951.3.peg.431|HMPREF1026_00070	MF	0003700	DNA-binding transcription factor activity	4.68680101175	0.619043781874	2
fig|665951.3.peg.433|HMPREF1026_00072	BP	0006268	DNA unwinding involved in DNA replication	9.81547201308	0.759606571804	1
fig|665951.3.peg.433|HMPREF1026_00072	MF	0003678	DNA helicase activity	7.5319224046	0.703191933837	1
fig|665951.3.peg.433|HMPREF1026_00072	CC	0005737	cytoplasm	1.84715062547	0.502041203307	1
fig|665951.3.peg.433|HMPREF1026_00072	MF	0003677	DNA binding	3.13328813077	0.561719919447	9
fig|665951.3.peg.433|HMPREF1026_00072	MF	0005524	ATP binding	2.90653866903	0.552245290847	10
fig|665951.3.peg.434|HMPREF1026_00073	MF	0008833	deoxyribonuclease IV (phage-T4-induced) activity	12.7134848274	0.822424742652	1
fig|665951.3.peg.434|HMPREF1026_00073	BP	0006281	DNA repair	5.44282374162	0.643449569236	1
fig|665951.3.peg.434|HMPREF1026_00073	BP	0090305	nucleic acid phosphodiester bond hydrolysis	4.86375829578	0.624923063973	4
fig|665951.3.peg.434|HMPREF1026_00073	MF	0008270	zinc ion binding	5.07085298798	0.631669411994	8
fig|665951.3.peg.434|HMPREF1026_00073	MF	0003677	DNA binding	3.10999262959	0.560762685703	12
fig|665951.3.peg.435|HMPREF1026_00074	MF	0004814	arginine-tRNA ligase activity	10.6197233876	0.777876555811	1
fig|665951.3.peg.435|HMPREF1026_00074	BP	0006420	arginyl-tRNA aminoacylation	10.3172436853	0.77108917366	1
fig|665951.3.peg.435|HMPREF1026_00074	CC	0005737	cytoplasm	1.94972411009	0.507446421429	1
fig|665951.3.peg.435|HMPREF1026_00074	MF	0005524	ATP binding	2.91365684206	0.552548227243	7
fig|665951.3.peg.436|HMPREF1026_00075	MF	0004813	alanine-tRNA ligase activity	10.7093548647	0.779869187749	1
fig|665951.3.peg.436|HMPREF1026_00075	BP	0006419	alanyl-tRNA aminoacylation	10.4183893806	0.773369734512	1
fig|665951.3.peg.436|HMPREF1026_00075	MF	0000049	tRNA binding	6.93668522588	0.687121772503	2
fig|665951.3.peg.436|HMPREF1026_00075	MF	0005524	ATP binding	2.90425335373	0.55214795337	9
fig|665951.3.peg.436|HMPREF1026_00075	MF	0016787	hydrolase activity	0.0304462678931	0.330035743207	27
fig|665951.3.peg.437|HMPREF1026_00076	MF	0016787	hydrolase activity	2.17651201059	0.518913654513	1
