qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|563033.4.peg.1|HMPREF0737_00001	BP	0006269	DNA replication, synthesis of RNA primer	8.99527346537	0.74018560284	1
fig|563033.4.peg.1|HMPREF0737_00001	CC	1990077	primosome complex	8.94878527991	0.739058835535	1
fig|563033.4.peg.1|HMPREF0737_00001	MF	0003678	DNA helicase activity	7.45172496146	0.701064750491	1
fig|563033.4.peg.1|HMPREF0737_00001	BP	0032508	DNA duplex unwinding	7.08461461423	0.691177959651	3
fig|563033.4.peg.1|HMPREF0737_00001	MF	0003677	DNA binding	3.11463559023	0.560953754576	9
fig|563033.4.peg.1|HMPREF0737_00001	MF	0005524	ATP binding	2.88923597356	0.55150736942	10
fig|563033.4.peg.1|HMPREF0737_00001	MF	0004519	endonuclease activity	0.153369574234	0.361563845002	29
fig|563033.4.peg.1|HMPREF0737_00001	BP	0016539	intein-mediated protein splicing	0.31893898139	0.386701239638	38
fig|563033.4.peg.1|HMPREF0737_00001	BP	0090305	nucleic acid phosphodiester bond hydrolysis	0.131423176953	0.357338389951	42
fig|563033.4.peg.2|HMPREF0737_00002	MF	0008194	UDP-glycosyltransferase activity	6.52512516789	0.675603592487	1
fig|563033.4.peg.2|HMPREF0737_00002	CC	0016021	integral component of membrane	0.0520132396874	0.337814909223	1
fig|563033.4.peg.2|HMPREF0737_00002	MF	0016758	transferase activity, transferring hexosyl groups	0.354948226309	0.39120657578	5
fig|563033.4.peg.3|HMPREF0737_00003	MF	0008168	methyltransferase activity	4.86296648521	0.62489699706	1
fig|563033.4.peg.3|HMPREF0737_00003	BP	0032259	methylation	4.62964356073	0.617121126649	1
fig|563033.4.peg.3|HMPREF0737_00003	BP	0006355	regulation of transcription, DNA-templated	0.0183643068767	0.324376773528	3
fig|563033.4.peg.4|HMPREF0737_00004	CC	0016021	integral component of membrane	0.789194116166	0.433690740439	1
fig|563033.4.peg.5|HMPREF0737_00005	MF	0019843	rRNA binding	6.06826490112	0.662383479687	1
fig|563033.4.peg.5|HMPREF0737_00005	CC	0005840	ribosome	3.88465117427	0.590882207856	1
fig|563033.4.peg.5|HMPREF0737_00005	BP	0006412	translation	3.7412591689	0.585550701812	1
fig|563033.4.peg.5|HMPREF0737_00005	MF	0003735	structural constituent of ribosome	4.5363659799	0.613957797653	2
fig|563033.4.peg.6|HMPREF0737_00006	MF	0019843	rRNA binding	6.06937742031	0.662416265953	1
fig|563033.4.peg.6|HMPREF0737_00006	CC	0005840	ribosome	3.88536336285	0.590908440116	1
fig|563033.4.peg.6|HMPREF0737_00006	BP	0006412	translation	3.74194506886	0.585576445372	1
fig|563033.4.peg.6|HMPREF0737_00006	MF	0003735	structural constituent of ribosome	4.57174550276	0.615161419994	2
fig|563033.4.peg.7|HMPREF0737_00007	MF	0003697	single-stranded DNA binding	8.60178530237	0.730554181148	1
fig|563033.4.peg.7|HMPREF0737_00007	BP	0006260	DNA replication	5.76222635546	0.653247340746	1
fig|563033.4.peg.8|HMPREF0737_00008	MF	0019843	rRNA binding	5.93462256987	0.658422892991	1
fig|563033.4.peg.8|HMPREF0737_00008	CC	0005840	ribosome	3.79909890398	0.587713346252	1
fig|563033.4.peg.8|HMPREF0737_00008	BP	0006412	translation	3.6588648428	0.582440875341	1
fig|563033.4.peg.8|HMPREF0737_00008	MF	0003735	structural constituent of ribosome	4.42587736474	0.610168410013	2
fig|563033.4.peg.9|HMPREF0737_00009	MF	0016779	nucleotidyltransferase activity	4.5295028909	0.61372377033	1
fig|563033.4.peg.9|HMPREF0737_00009	BP	0006396	RNA processing	4.07888671561	0.597949606616	1
fig|563033.4.peg.9|HMPREF0737_00009	MF	0003723	RNA binding	3.19981433601	0.564434121052	7
fig|563033.4.peg.9|HMPREF0737_00009	MF	0140101	catalytic activity, acting on a tRNA	1.63996713005	0.490644864413	15
fig|563033.4.peg.10|HMPREF0737_00010	MF	0016787	hydrolase activity	2.17727035638	0.518950969693	1
fig|563033.4.peg.11|HMPREF0737_00011	CC	0005886	plasma membrane	2.5094026236	0.534712686366	1
fig|563033.4.peg.11|HMPREF0737_00011	CC	0016021	integral component of membrane	0.789368658288	0.433705003769	3
fig|563033.4.peg.13|HMPREF0737_00012	MF	0004674	protein serine/threonine kinase activity	7.21575746278	0.69473859196	1
fig|563033.4.peg.13|HMPREF0737_00012	BP	0006468	protein phosphorylation	5.24519991435	0.637242868819	1
fig|563033.4.peg.13|HMPREF0737_00012	CC	0016021	integral component of membrane	0.775224432214	0.432543997565	1
fig|563033.4.peg.14|HMPREF0737_00013	MF	0004791	thioredoxin-disulfide reductase activity	11.0569838863	0.787519669809	1
fig|563033.4.peg.14|HMPREF0737_00013	BP	0019430	removal of superoxide radicals	9.42450386917	0.750454632117	1
fig|563033.4.peg.14|HMPREF0737_00013	CC	0005737	cytoplasm	1.87301644301	0.50341809326	1
fig|563033.4.peg.14|HMPREF0737_00013	MF	0015035	protein disulfide oxidoreductase activity	0.0715389209841	0.343536296588	9
fig|563033.4.peg.14|HMPREF0737_00013	BP	0006662	glycerol ether metabolic process	0.0808439552578	0.345984819758	30
fig|563033.4.peg.14|HMPREF0737_00013	BP	0045454	cell redox homeostasis	0.0670979951514	0.34231156359	32
fig|563033.4.peg.15|HMPREF0737_00014	BP	0006662	glycerol ether metabolic process	10.0125919688	0.764151713438	1
fig|563033.4.peg.15|HMPREF0737_00014	MF	0015035	protein disulfide oxidoreductase activity	8.86015563459	0.736902516941	1
fig|563033.4.peg.15|HMPREF0737_00014	BP	0045454	cell redox homeostasis	8.31014322878	0.723272672422	3
fig|563033.4.peg.15|HMPREF0737_00014	MF	0016853	isomerase activity	0.0528101242473	0.338067618463	6
fig|563033.4.peg.16|HMPREF0737_00015	MF	0003677	DNA binding	3.14804462073	0.562324437235	1
fig|563033.4.peg.18|HMPREF0737_00017	MF	0070043	rRNA (guanine-N7-)-methyltransferase activity	11.344508749	0.793756982094	1
fig|563033.4.peg.18|HMPREF0737_00017	BP	0070476	rRNA (guanine-N7)-methylation	10.9246655831	0.784622036871	1
fig|563033.4.peg.18|HMPREF0737_00017	CC	0005737	cytoplasm	1.95181025751	0.507554858782	1
fig|563033.4.peg.18|HMPREF0737_00017	BP	0051301	cell division	0.0430962591258	0.334842995123	36
fig|563033.4.peg.19|HMPREF0737_00018	MF	0003676	nucleic acid binding	2.28968695847	0.524412452385	1
fig|563033.4.peg.20|HMPREF0737_00019	MF	0032977	membrane insertase activity	10.8462139064	0.782895735694	1
fig|563033.4.peg.20|HMPREF0737_00019	BP	0090150	establishment of protein localization to membrane	8.13481377498	0.718833558421	1
fig|563033.4.peg.20|HMPREF0737_00019	CC	0016021	integral component of membrane	0.773846865218	0.432430358229	1
fig|563033.4.peg.20|HMPREF0737_00019	BP	0015031	protein transport	5.36914145494	0.641148843155	6
fig|563033.4.peg.21|HMPREF0737_00020	CC	0005886	plasma membrane	2.39831232124	0.529563768983	1
fig|563033.4.peg.21|HMPREF0737_00020	CC	0016021	integral component of membrane	0.0190273703054	0.324728849424	5
fig|563033.4.peg.22|HMPREF0737_00021	MF	0004526	ribonuclease P activity	10.3903320064	0.772738230601	1
fig|563033.4.peg.22|HMPREF0737_00021	BP	0001682	tRNA 5'-leader removal	9.20642078346	0.74526706372	1
fig|563033.4.peg.22|HMPREF0737_00021	BP	0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	7.35716417354	0.698541829365	5
fig|563033.4.peg.22|HMPREF0737_00021	MF	0000049	tRNA binding	6.90637119434	0.686285246236	7
fig|563033.4.peg.23|HMPREF0737_00022	MF	0003735	structural constituent of ribosome	4.4369480923	0.610550215151	1
fig|563033.4.peg.23|HMPREF0737_00022	CC	0005840	ribosome	3.79179424886	0.587441135706	1
fig|563033.4.peg.23|HMPREF0737_00022	BP	0006412	translation	3.65182982043	0.582173736014	1
fig|563033.4.peg.24|HMPREF0737_00023	MF	0003688	DNA replication origin binding	10.5382769761	0.776058584327	1
fig|563033.4.peg.24|HMPREF0737_00023	BP	0006275	regulation of DNA replication	9.60100023958	0.754609182048	1
fig|563033.4.peg.24|HMPREF0737_00023	CC	0005737	cytoplasm	1.85916502222	0.50268194496	1
fig|563033.4.peg.24|HMPREF0737_00023	BP	0006270	DNA replication initiation	9.2874800001	0.747202330323	2
fig|563033.4.peg.24|HMPREF0737_00023	MF	0005524	ATP binding	2.76396352516	0.546097501146	6
fig|563033.4.peg.25|HMPREF0737_00024	CC	0009360	DNA polymerase III complex	8.73936580476	0.733946314878	1
fig|563033.4.peg.25|HMPREF0737_00024	MF	0008408	3'-5' exonuclease activity	7.8893860271	0.7125384989	1
fig|563033.4.peg.25|HMPREF0737_00024	BP	0071897	DNA biosynthetic process	6.13335607533	0.664296706701	1
fig|563033.4.peg.25|HMPREF0737_00024	MF	0003887	DNA-directed DNA polymerase activity	7.51223450484	0.702670778519	2
fig|563033.4.peg.25|HMPREF0737_00024	BP	0006260	DNA replication	5.71693446681	0.651874823455	2
fig|563033.4.peg.25|HMPREF0737_00024	BP	0090305	nucleic acid phosphodiester bond hydrolysis	4.67685626123	0.618710107528	3
fig|563033.4.peg.25|HMPREF0737_00024	CC	0005737	cytoplasm	1.90117030179	0.50490601769	8
fig|563033.4.peg.25|HMPREF0737_00024	MF	0003677	DNA binding	3.03549499955	0.55767719758	10
fig|563033.4.peg.25|HMPREF0737_00024	BP	0006520	cellular amino acid metabolic process	0.0151195984664	0.32255404994	29
fig|563033.4.peg.26|HMPREF0737_00025	MF	0003697	single-stranded DNA binding	8.65650163719	0.731906472653	1
fig|563033.4.peg.26|HMPREF0737_00025	BP	0009432	SOS response	7.9393262205	0.713827281271	1
fig|563033.4.peg.26|HMPREF0737_00025	CC	0005737	cytoplasm	1.95286313309	0.507609564953	1
fig|563033.4.peg.26|HMPREF0737_00025	MF	0005524	ATP binding	2.89238485376	0.551641826281	3
fig|563033.4.peg.26|HMPREF0737_00025	BP	0006260	DNA replication	5.87237794741	0.656563011924	5
fig|563033.4.peg.26|HMPREF0737_00025	BP	0006281	DNA repair	5.41222146538	0.64249591715	7
fig|563033.4.peg.28|HMPREF0737_00027	MF	0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	9.11307440714	0.743027859312	1
fig|563033.4.peg.28|HMPREF0737_00027	BP	0006265	DNA topological change	8.11776317519	0.718399318023	1
fig|563033.4.peg.28|HMPREF0737_00027	CC	0005694	chromosome	6.36545413973	0.671037445869	1
fig|563033.4.peg.28|HMPREF0737_00027	BP	0006261	DNA-dependent DNA replication	7.40642667401	0.699858183295	2
fig|563033.4.peg.28|HMPREF0737_00027	CC	0005737	cytoplasm	1.95125232002	0.507525863028	6
fig|563033.4.peg.28|HMPREF0737_00027	MF	0003677	DNA binding	3.0797161396	0.55951322289	11
fig|563033.4.peg.28|HMPREF0737_00027	MF	0005524	ATP binding	2.88999907912	0.551539960673	12
fig|563033.4.peg.28|HMPREF0737_00027	MF	0046872	metal ion binding	2.42365290332	0.530748603417	20
fig|563033.4.peg.29|HMPREF0737_00028	MF	0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	8.98926381251	0.740040106732	1
fig|563033.4.peg.29|HMPREF0737_00028	BP	0006265	DNA topological change	8.0074749189	0.715579439756	1
fig|563033.4.peg.29|HMPREF0737_00028	CC	0005694	chromosome	6.16875532116	0.665332936913	1
fig|563033.4.peg.29|HMPREF0737_00028	BP	0006261	DNA-dependent DNA replication	7.27171921476	0.696248141451	2
fig|563033.4.peg.29|HMPREF0737_00028	CC	0005737	cytoplasm	1.91576310856	0.50567290924	6
fig|563033.4.peg.29|HMPREF0737_00028	MF	0003677	DNA binding	3.07313148786	0.55924067275	11
fig|563033.4.peg.29|HMPREF0737_00028	MF	0005524	ATP binding	2.85073543565	0.549857437618	12
fig|563033.4.peg.30|HMPREF0737_00029	CC	0016021	integral component of membrane	0.789346516962	0.433703194499	1
fig|563033.4.peg.31|HMPREF0737_00030	MF	0005315	inorganic phosphate transmembrane transporter activity	9.27009782751	0.746788049263	1
fig|563033.4.peg.31|HMPREF0737_00030	BP	0006817	phosphate ion transport	8.16228619467	0.719532262889	1
fig|563033.4.peg.31|HMPREF0737_00030	CC	0016021	integral component of membrane	0.766172733941	0.431795438142	1
fig|563033.4.peg.31|HMPREF0737_00030	BP	0055085	transmembrane transport	2.6776283002	0.542297442239	5
fig|563033.4.peg.35|HMPREF0737_00034	CC	0016021	integral component of membrane	0.789293336214	0.433698848751	1
fig|563033.4.peg.36|HMPREF0737_00035	MF	0003755	peptidyl-prolyl cis-trans isomerase activity	8.0362667653	0.716317460348	1
fig|563033.4.peg.36|HMPREF0737_00035	BP	0000413	protein peptidyl-prolyl isomerization	7.7366676818	0.708571853689	1
fig|563033.4.peg.36|HMPREF0737_00035	BP	0006457	protein folding	6.49293590933	0.674687604514	3
fig|563033.4.peg.37|HMPREF0737_00036	MF	0004252	serine-type endopeptidase activity	6.92971398715	0.68692956084	1
fig|563033.4.peg.37|HMPREF0737_00036	BP	0006508	proteolysis	4.20906619651	0.602592448685	1
fig|563033.4.peg.37|HMPREF0737_00036	CC	0016021	integral component of membrane	0.785645902571	0.43340044285	1
fig|563033.4.peg.37|HMPREF0737_00036	MF	0008270	zinc ion binding	0.0207890219652	0.325635514841	9
fig|563033.4.peg.38|HMPREF0737_00037	MF	0004252	serine-type endopeptidase activity	6.37648959008	0.671354858262	1
fig|563033.4.peg.38|HMPREF0737_00037	BP	0006508	proteolysis	3.90423539161	0.591602685472	1
fig|563033.4.peg.38|HMPREF0737_00037	CC	0016021	integral component of membrane	0.722924918478	0.428156287702	1
fig|563033.4.peg.38|HMPREF0737_00037	MF	0008270	zinc ion binding	0.0196301070195	0.325043606649	9
fig|563033.4.peg.39|HMPREF0737_00038	MF	0004764	shikimate 3-dehydrogenase (NADP+) activity	10.6181684985	0.777841914419	1
fig|563033.4.peg.40|HMPREF0737_00039	MF	0015035	protein disulfide oxidoreductase activity	9.0553753123	0.741638027556	1
fig|563033.4.peg.40|HMPREF0737_00039	CC	0016021	integral component of membrane	0.013422021769	0.321521920872	1
fig|563033.4.peg.42|HMPREF0737_00041	MF	0004335	galactokinase activity	11.6040014221	0.799318667402	1
fig|563033.4.peg.42|HMPREF0737_00041	BP	0006012	galactose metabolic process	9.32659346321	0.748133132556	1
fig|563033.4.peg.42|HMPREF0737_00041	CC	0005737	cytoplasm	1.8655677328	0.503022563349	1
fig|563033.4.peg.42|HMPREF0737_00041	BP	0046835	carbohydrate phosphorylation	8.364613984	0.724642247469	2
fig|563033.4.peg.42|HMPREF0737_00041	MF	0005524	ATP binding	2.78838114441	0.547161442714	6
fig|563033.4.peg.43|HMPREF0737_00042	MF	0003677	DNA binding	2.93925362951	0.553634533243	1
fig|563033.4.peg.43|HMPREF0737_00042	BP	0045892	negative regulation of transcription, DNA-templated	1.43615920813	0.478707476941	1
fig|563033.4.peg.43|HMPREF0737_00042	MF	0046872	metal ion binding	0.299797412844	0.384202458119	6
fig|563033.4.peg.43|HMPREF0737_00042	BP	0046677	response to antibiotic	1.12973161526	0.459031386419	12
fig|563033.4.peg.46|HMPREF0737_00044	MF	0015299	solute:proton antiporter activity	8.97678031843	0.739737720807	1
fig|563033.4.peg.46|HMPREF0737_00044	BP	0006814	sodium ion transport	7.91919061482	0.713308140521	1
fig|563033.4.peg.46|HMPREF0737_00044	CC	0016021	integral component of membrane	0.769117961277	0.432039486187	1
fig|563033.4.peg.46|HMPREF0737_00044	BP	1902600	proton transmembrane transport	4.87403414767	0.62526115937	2
fig|563033.4.peg.46|HMPREF0737_00044	CC	0005886	plasma membrane	0.0385166670075	0.333196463486	4
fig|563033.4.peg.48|HMPREF0737_00046	CC	0016021	integral component of membrane	0.789244679927	0.433694872598	1
fig|563033.4.peg.49|HMPREF0737_00047	CC	0016021	integral component of membrane	0.78642437564	0.433464189776	1
fig|563033.4.peg.50|HMPREF0737_00048	MF	0016787	hydrolase activity	2.17272587998	0.518727256761	1
fig|563033.4.peg.51|HMPREF0737_00049	BP	0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	7.88222914956	0.712353471038	1
fig|563033.4.peg.51|HMPREF0737_00049	CC	0005886	plasma membrane	2.48418063195	0.533553839012	1
fig|563033.4.peg.51|HMPREF0737_00049	MF	0103111	D-glucosamine PTS permease activity	0.205515090102	0.370524637221	1
fig|563033.4.peg.51|HMPREF0737_00049	MF	0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	0.14354732683	0.359712853348	2
fig|563033.4.peg.51|HMPREF0737_00049	CC	0016021	integral component of membrane	0.781434718346	0.433055052196	3
fig|563033.4.peg.51|HMPREF0737_00049	BP	0034219	carbohydrate transmembrane transport	0.128891674321	0.356828958606	9
fig|563033.4.peg.52|HMPREF0737_00050	BP	0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	7.89048071559	0.712566792649	1
fig|563033.4.peg.52|HMPREF0737_00050	CC	0005886	plasma membrane	2.48678121361	0.533673596289	1
fig|563033.4.peg.52|HMPREF0737_00050	MF	0103111	D-glucosamine PTS permease activity	0.176786676131	0.365750803142	1
fig|563033.4.peg.52|HMPREF0737_00050	MF	0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	0.12348122352	0.355723127841	2
fig|563033.4.peg.52|HMPREF0737_00050	CC	0016021	integral component of membrane	0.782252768678	0.433122219309	3
fig|563033.4.peg.52|HMPREF0737_00050	BP	0034219	carbohydrate transmembrane transport	0.110874246133	0.353048383284	9
fig|563033.4.peg.53|HMPREF0737_00051	MF	0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	8.93691667242	0.738770698944	1
fig|563033.4.peg.53|HMPREF0737_00051	BP	0034219	carbohydrate transmembrane transport	8.02449044933	0.716015758418	1
fig|563033.4.peg.53|HMPREF0737_00051	CC	0005886	plasma membrane	2.46132819588	0.532498772619	1
fig|563033.4.peg.53|HMPREF0737_00051	BP	0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	7.9622199719	0.714416734045	2
fig|563033.4.peg.53|HMPREF0737_00051	CC	0005737	cytoplasm	1.96526175335	0.508252676613	3
fig|563033.4.peg.53|HMPREF0737_00051	CC	0016021	integral component of membrane	0.789364912271	0.433704697666	5
fig|563033.4.peg.53|HMPREF0737_00051	MF	0016301	kinase activity	4.25199220311	0.604107617969	7
fig|563033.4.peg.53|HMPREF0737_00051	BP	0016310	phosphorylation	3.44549349227	0.574220828726	8
fig|563033.4.peg.53|HMPREF0737_00051	MF	0103111	D-glucosamine PTS permease activity	0.0304253261154	0.330027028399	14
fig|563033.4.peg.54|HMPREF0737_00052	MF	0003723	RNA binding	3.69245891021	0.583713008482	1
