qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|887898.3.peg.1|HMPREF0551_0001	BP	0006355	regulation of transcription, DNA-templated	3.493445037	0.576089832995	1
fig|887898.3.peg.1|HMPREF0551_0001	MF	0003677	DNA binding	3.14279902436	0.562109707553	1
fig|887898.3.peg.1|HMPREF0551_0001	BP	0000160	phosphorelay signal transduction system	1.26748754505	0.468170152051	19
fig|887898.3.peg.2|HMPREF0551_0003	MF	0016787	hydrolase activity	2.17703732395	0.518939503786	1
fig|887898.3.peg.3|HMPREF0551_0005	MF	0016874	ligase activity	4.07691401724	0.597878684938	1
fig|887898.3.peg.3|HMPREF0551_0005	BP	0001676	long-chain fatty acid metabolic process	3.32772857187	0.569574752647	1
fig|887898.3.peg.3|HMPREF0551_0005	CC	0016021	integral component of membrane	0.0701244812385	0.343150451791	1
fig|887898.3.peg.3|HMPREF0551_0005	MF	0016887	ATPase activity	1.27251602439	0.468494097094	7
fig|887898.3.peg.3|HMPREF0551_0005	MF	0046872	metal ion binding	0.190765559311	0.368118592838	14
fig|887898.3.peg.4|HMPREF0551_0006	CC	0016021	integral component of membrane	0.788277996572	0.433615850588	1
fig|887898.3.peg.5|HMPREF0551_0007	MF	0015288	porin activity	8.7117053616	0.733266485632	1
fig|887898.3.peg.5|HMPREF0551_0007	CC	0046930	pore complex	8.29952546602	0.723005184502	1
fig|887898.3.peg.5|HMPREF0551_0007	BP	0006811	ion transport	2.78203905566	0.54688555013	1
fig|887898.3.peg.5|HMPREF0551_0007	CC	0009279	cell outer membrane	5.73386978922	0.652388662629	2
fig|887898.3.peg.5|HMPREF0551_0007	BP	0055085	transmembrane transport	2.54099436735	0.536156012855	2
fig|887898.3.peg.6|HMPREF0551_0008	MF	0015288	porin activity	8.35037370153	0.72428463123	1
fig|887898.3.peg.6|HMPREF0551_0008	CC	0046930	pore complex	8.06132022682	0.716958580014	1
fig|887898.3.peg.6|HMPREF0551_0008	BP	0006811	ion transport	2.67185990049	0.542041376832	1
fig|887898.3.peg.6|HMPREF0551_0008	CC	0009279	cell outer membrane	5.49869910144	0.645183910198	2
fig|887898.3.peg.6|HMPREF0551_0008	BP	0055085	transmembrane transport	2.43560263578	0.531305180422	2
fig|887898.3.peg.7|HMPREF0551_0009	MF	0015288	porin activity	9.45705276299	0.751223707863	1
fig|887898.3.peg.7|HMPREF0551_0009	CC	0046930	pore complex	9.16060243263	0.744169393145	1
fig|887898.3.peg.7|HMPREF0551_0009	BP	0006811	ion transport	3.0288434371	0.557399876015	1
fig|887898.3.peg.7|HMPREF0551_0009	CC	0009279	cell outer membrane	6.26177615364	0.668041818565	2
fig|887898.3.peg.7|HMPREF0551_0009	BP	0055085	transmembrane transport	2.75839422995	0.545854174515	2
fig|887898.3.peg.9|HMPREF0551_0011	MF	0003735	structural constituent of ribosome	4.5135204075	0.613178088836	1
fig|887898.3.peg.9|HMPREF0551_0011	CC	0005840	ribosome	3.87407096028	0.59049222001	1
fig|887898.3.peg.9|HMPREF0551_0011	BP	0006412	translation	3.73106949657	0.585167979347	1
fig|887898.3.peg.10|HMPREF0551_0012	MF	0003735	structural constituent of ribosome	4.31462868943	0.606304856135	1
fig|887898.3.peg.10|HMPREF0551_0012	CC	0005840	ribosome	3.90461061889	0.591616471926	1
fig|887898.3.peg.10|HMPREF0551_0012	BP	0006412	translation	3.76048186146	0.586271286719	1
fig|887898.3.peg.12|HMPREF0551_0014	BP	0016226	iron-sulfur cluster assembly	8.39874673563	0.725498186043	1
