Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1090927.4","Escherichia coli O104:H4 str. E92/11","Escherichia coli O104:H4 str. E92/11",1090927,"WGS","E92/11",,,,"MLST.Escherichia_coli_1.678,MLST.Escherichia_coli_2.290",,,,"2013-04-01T00:00:00Z","23675451","PRJNA73631","SAMN02472043","GCA_000353545.1",,"AHAU01000167.1","AHAU01000167.1","Uppsala University","WGS","454","45.0x","Newbler v. 2.5.3",,,167,5330547,49.9,5391,5020,,"stool sample from a female patient suffering from HUS",,"2011","Sweden","Sweden",,,,,,"Human, Homo sapiens","female",,,,,,,,,,,,,,,,,"Hemolytic uremic syndrome (HUS)","Sequencing Escherichia coli O104:H4 str. E92/11.",,99.9,99,100,,,"Good","2014-12-08T22:11:31.754Z","2015-03-16T03:17:09.594Z"
"1115997.3","Escherichia coli Envira 8/11","Escherichia coli Envira 8/11",1115997,"WGS","Envira 8/11","O167:H5",,,"MLST.Escherichia_coli_1.443,MLST.Escherichia_coli_2.5",,,,"2013-04-06T00:00:00Z",,"PRJNA77229","SAMN00829025","GCA_000355215.1","SRR446356,SRR446357","AQFC00000000","-","IGS","WGS","Illumina and 454","54.15x","Celera Assembler v. 7.0",,,63,5466456,50.6,5592,5548,,"stool","from outbreak of  in rainforest village of Envira where  ¿¿¿¿¿¿¿¿ 11 adults were hospitalized with severe cholera-like disease, and one adult died ","1998","Brazil","Brazil: Envira",,,,,,"Human, Homo sapiens",,,"Hospitalized patient with severe cholera-like disease",,,,,,"Negative","Bacilli",,,,,,"facultative anarobic",,"Severe cholera-like disease","Comparative genome analysis of enterotoxigenic E. coli strains isolates from infections of different clinical severity.",,99.8,99,100,0.5,,"Good","2014-12-08T22:11:25.050Z","2015-03-16T03:17:09.594Z"
"1115998.3","Escherichia coli Envira 10/1","Escherichia coli Envira 10/1",1115998,"WGS","Envira 10/1","O167:H5",,,"MLST.Escherichia_coli_1.443,MLST.Escherichia_coli_2.5",,,,"2013-04-06T00:00:00Z",,"PRJNA77231","SAMN00829717","GCA_000355195.1","SRR447490,SRR447491","AQFD00000000","-","IGS","WGS","Illumina and 454","57.17x","Celera Assembler v. 7.0",,,52,5405710,50.6,5508,5489,,"stool","from outbreak of  in rainforest village of Envira where  ¿¿¿¿¿¿¿¿ 11 adults were hospitalized with severe cholera-like disease, and one adult died ","1998","Brazil","Brazil: Envira",,,,,,"Human, Homo sapiens",,,"Hospitalized patient with severe cholera-like disease",,,,,,"Negative","Bacilli",,,,,,"facultative anarobic",,"Severe cholera-like disease","Comparative genome analysis of enterotoxigenic E. coli strains isolates from infections of different clinical severity.",,99.8,99,100,0.5,,"Good","2014-12-08T22:11:25.039Z","2015-03-16T03:17:09.594Z"
"1116001.3","Escherichia coli ThroopD","Escherichia coli ThroopD",1116001,"WGS","ThroopD","063:NM",,,"MLST.Escherichia_coli_1.5392",,,,"2013-04-06T00:00:00Z",,"PRJNA77237","SAMN00829549","GCA_000355115.1","SRR447115,SRR447116","AQEJ00000000","-","IGS","WGS","Illumina and 454","56.49x","Celera Assembler v. 7.0",,,43,5424634,50.7,5515,5507,,"stool","36 year old female with severe cholera-like disease, hypovolemic shock, diarrhea in excess of 50 liters over 3 days; isolate obtained from 'rice-water' stool ","1973","United States","USA:Dallas",,,,,,"Human, Homo sapiens","Female","36","Hospitalized patient with severe cholera-like disease",,,,,,"Negative","Bacilli",,,,,,"facultative anarobic",,"Cholera-like disease;Hypovolemic shock;Diarrhea","Comparative genome analysis of enterotoxigenic E. coli strains isolates from infections of different clinical severity.",,99.8,98.9,100,0.7,,"Good","2014-12-08T22:11:35.047Z","2015-03-16T03:17:09.594Z"
"1116002.3","Escherichia coli C-34666","Escherichia coli C-34666",1116002,"WGS","C-34666",,,,"MLST.Escherichia_coli_1.2851,MLST.Escherichia_coli_2.471",,,,"2013-04-06T00:00:00Z",,"PRJNA77239","SAMN00829298","GCA_000354355.1","SRR446834","AQCX00000000","-","IGS","WGS","Illumina","160x","Celera Assembler v. 7.0",,,199,5373077,50.37,5552,5639,,"stool","severe cholera-like disease, hospitalized patient","2010","Bangladesh","Bangladesh: The International Centre for Diarrhoeal Disease Research",,,,,,"Human, Homo sapiens",,,"Hospitalized patient with severe cholera-like disease",,,,,,"Negative","Bacilli",,,,,,"facultative anarobic",,"Severe cholera-like disease","Comparative genome analysis of enterotoxigenic E. coli strains isolates from infections of different clinical severity.",,99.3,98.2,100,0.7,,"Good","2014-12-08T22:11:22.706Z","2015-03-16T03:17:09.594Z"
"1116004.3","Escherichia coli 2729250","Escherichia coli 2729250",1116004,"WGS","2729250",,,,"MLST.Escherichia_coli_1.443,MLST.Escherichia_coli_2.5",,,,"2013-04-08T00:00:00Z",,"PRJNA77243","SAMN00829239","GCA_000356065.1","SRR446724","AQEC00000000","-","IGS","WGS","Illumina","220x","Celera Assembler v. 7.0",,,148,5088051,50.5,5135,5172,,"stool","severe cholera-like disease, hospitalized patient","2007","Bangladesh","Bangladesh: The International Centre for Diarrhoeal Disease Research",,,,,,"Human, Homo sapiens",,,"Hospitalized patient with severe cholera-like disease",,,,,,"Negative","Bacilli",,,,,,"facultative anarobic",,"Severe cholera-like disease","Comparative genome analysis of enterotoxigenic E. coli strains isolates from infections of different clinical severity.",,99.9,98.7,100,0.8,,"Good","2014-12-08T22:11:19.556Z","2015-03-16T03:17:09.594Z"
"1116005.3","Escherichia coli 2730350","Escherichia coli 2730350",1116005,"WGS","2730350",,,,,,,,"2013-04-08T00:00:00Z",,"PRJNA77245","SAMN00829262","GCA_000356325.1","SRR446753","APXD00000000","-","IGS","WGS","Illumina","220x","Celera Assembler v. 7.0",,,271,4814637,50.7,4705,4856,,"stool","severe cholera-like disease, hospitalized patient","2007","Bangladesh","Bangladesh: The International Centre for Diarrhoeal Disease Research",,,,,,"Human, Homo sapiens",,,"Hospitalized patient with severe cholera-like disease",,,,,,"Negative","Bacilli",,,,,,"facultative anarobic",,"Severe cholera-like disease","Comparative genome analysis of enterotoxigenic E. coli strains isolates from infections of different clinical severity.",,99.7,99,100,,,"Good","2014-12-08T22:11:19.566Z","2015-03-16T03:17:09.594Z"
"1116006.3","Escherichia coli 2730450","Escherichia coli 2730450",1116006,"WGS","2730450",,,,"MLST.Escherichia_coli_1.2353,MLST.Escherichia_coli_2.215",,,,"2013-04-08T00:00:00Z",,"PRJNA77247","SAMN00829260","GCA_000356205.1","SRR446751","APXE00000000","-","IGS","WGS","Illumina","220x","Celera Assembler v. 7.0",,,222,5027348,50.4,5165,5298,,,"severe cholera-like disease, hospitalized patient","2007","Bangladesh","Bangladesh: The International Centre for Diarrhoeal Disease Research",,,,,,"Human, Homo sapiens",,,"Hospitalized patient with severe cholera-like disease",,,,,,"Negative","Bacilli",,,,,,"facultative anarobic",,"Severe cholera-like disease","Comparative genome analysis of enterotoxigenic E. coli strains isolates from infections of different clinical severity.",,99.7,98.2,99.3,,,"Good","2014-12-08T22:11:19.595Z","2015-03-16T03:17:09.594Z"
"1116007.3","Escherichia coli 2731150","Escherichia coli 2731150",1116007,"WGS","2731150",,,,"MLST.Escherichia_coli_1.3931,MLST.Escherichia_coli_2.155",,,,"2013-04-06T00:00:00Z",,"PRJNA77249","SAMN00829263","GCA_000354895.1","SRR446754","AQEB00000000","-","IGS","WGS","Illumina","220x","Celera Assembler v. 7.0",,,199,5148982,50.5,5366,5358,,"stool","severe cholera-like disease, hospitalized patient","2007","Bangladesh","Bangladesh: The International Centre for Diarrhoeal Disease Research",,,,,,"Human, Homo sapiens",,,"Hospitalized patient with severe cholera-like disease",,,,,,"Negative","Bacilli",,,,,,"facultative anarobic",,"Severe cholera-like disease","Comparative genome analysis of enterotoxigenic E. coli strains isolates from infections of different clinical severity.",,99.9,98.8,100,0.7,,"Good","2014-12-08T22:11:19.604Z","2015-03-16T03:17:09.594Z"
"1116008.3","Escherichia coli 2735000","Escherichia coli 2735000",1116008,"WGS","2735000",,,,"MLST.Escherichia_coli_1.5305",,,,"2013-04-08T00:00:00Z",,"PRJNA77251","SAMN00829252","GCA_000356085.1","SRR446743","AQGH00000000","-","IGS","WGS","Illumina","200x","Celera Assembler v. 7.0",,,104,4998414,50.6,4935,4989,,"stool","severe cholera-like disease, hospitalized patient","2007","Bangladesh","Bangladesh: The International Centre for Diarrhoeal Disease Research",,,,,,"Human, Homo sapiens",,,"Hospitalized patient with severe cholera-like disease",,,,,,"Negative","Bacilli",,,,,,"facultative anarobic",,"Severe cholera-like disease","Comparative genome analysis of enterotoxigenic E. coli strains isolates from infections of different clinical severity.",,99.9,98.7,100,,,"Good","2014-12-08T22:11:19.625Z","2015-03-16T03:17:09.594Z"
