Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1000952.3","Vibrio cholerae HC-17A2","Vibrio cholerae HC-17A2",1000952,"WGS","HC-17A2",,,,"MLST.Vibrio_cholerae.69",,,,"2012-10-15T00:00:00Z",,"PRJNA64673","SAMN00752543","GCA_000305675.1",,"AJSI00000000","-","Institute for Genome Sciences","WGS","Illumina","120x","Velvet v. 1.1.04",,,136,4027162,47.49,3666,3715,,"feces",,"2010","Haiti","Haiti",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Cholera","-",,99.7,99.4,100,,,"Good","2014-12-08T22:13:44.856Z","2015-03-16T03:17:09.594Z"
"1000953.4","Vibrio cholerae HC-72A2","Vibrio cholerae HC-72A2",1000953,"WGS","HC-72A2",,,,"MLST.Vibrio_cholerae.69",,,,"2012-12-10T00:00:00Z",,"PRJNA64675","SAMN00262576","GCA_000327205.3","SRR191719","AGUY00000000","-","Institute for Genome Sciences","WGS","Illumina","170x","Velvet v. 1.1.04",,,125,4026713,47.49,3670,3698,,"feces",,"2010","Haiti","Haiti",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Cholera","-",,99.8,99.5,99.2,,,"Good","2014-12-08T22:13:45.336Z","2015-03-16T03:17:09.594Z"
"1051362.3","Vibrio cholerae HC-41B1","Vibrio cholerae HC-41B1",1051362,"WGS","HC-41B1",,,,"MLST.Vibrio_cholerae.736",,,,"2012-10-10T00:00:00Z",,"PRJNA68605","SAMN02435824","GCA_000304955.1",,"AJRP00000000","-","Institute for Genome Sciences","WGS","Illumina","198.03x","Velvet v. 1.1.04",,,143,3887871,47.7,3510,3583,,"feces",,"2010","Haiti","Haiti",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Cholera","-",,99.9,99.6,100,,,"Good","2014-12-08T22:13:45.006Z","2015-03-16T03:17:09.594Z"
"1055325.3","Vibrio cholerae O1 str. Amazonia","Vibrio cholerae O1 str. Amazonia",1055325,"WGS","Amazonia",,,,"MLST.Vibrio_cholerae.48",,,,"2011-07-25T00:00:00Z","21952545","PRJNA68553","SAMN02470783","GCA_000223095.2",,"AFSV00000000","-","Laboratory of Molecular Genetics of Microrganims, Oswaldo Cruz Institute","assembly","454 GS FLX","20x","Newbler v. 2.3",,,63,3925563,47.65,3620,,,"patient with cholera-like diarrhea",,"1991","Brazil",,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,"-",,,,"Cholera-like Diarrhea","-",,99.8,98.4,99.6,1.5,,"Good","2014-12-08T22:13:45.781Z","2015-03-16T03:17:09.594Z"
"1236549.3","Vibrio cholerae 4260B","Vibrio cholerae 4260B",1236549,"WGS","4260B",,,,"MLST.Vibrio_cholerae.69",,,,"2013-01-03T00:00:00Z",,"PRJNA176181","SAMN02470062","GCA_000330905.1",,"AMVL00000000","-","International Vaccine Institute","WGS","454","900.0x","CLC NGS Cell v. 5.5.1",,,40,4039222,47.57,3701,3688,,"feces","stool sample from a patient with cholera","1993","Bangladesh","Bangladesh",,,,,,"Human, Homo sapiens",,,,,,,,,"Negative","Vibrios",,,,,,,,"Cholera","Genome sequence of Vibrio cholerae 4260B.",,99.7,99.4,100,,,"Good","2014-12-08T22:13:44.497Z","2015-03-16T03:17:09.594Z"
"417398.15","Vibrio cholerae MZO-2","Vibrio cholerae MZO-2",417398,"WGS","MZO-2",,,,"MLST.Vibrio_cholerae.28",,,,"2007-01-03T00:00:00Z",,"PRJNA18495","SAMN02435870","GCA_000153985.1",,"AAWF00000000","NZ_AAWF00000000","TIGR","assembly",,,,,,74,3828728,47.6,3434,3393,,"patients with diarrhea","isolated from patients with diarrhea in Bangladesh in 2001","2001","Bangladesh","Bangladesh",,,,,,"Human, Homo sapiens",,,,,,,,,"-","Curved","Yes",,"Mesophilic","-",,"Facultative","Multiple","Cholera","Vibrio cholerae MZO-2. Vibrio cholerae MZO-2 was isolated from patients with diarrhea in Bangladesh in 2001. This strain is an O14 serotype and does not have genes for the cholera toxin or the toxin-coregulated pilus, two important virulence factors in Vibrio cholerae. This strain will be used for comparative analysis with other Vibrio cholerae strains.",,97.4,95.1,97.9,0.4,,"Good","2014-12-08T22:13:45.585Z","2015-03-16T03:17:09.594Z"
"666.1989","Vibrio cholerae strain YN2011004",,666,"Complete","YN2011004","Ogawa",,,"MLST.Vibrio_cholerae.69",,,,"2015-06-19T00:00:00Z",,"PRJNA278095","SAMN03402961","GCF_001029975.1",,"LBBP01000000",,"Yunnan Provincial Centre for Disease Control and Prevention",,"Illumina HiSeq","450.0x","Velvet v. 1.2",63,1,64,4057079,47.43,3811,3725,,"Myanmar","isolate from Myanmar","2011-11-21","China","China: Yunnan province, Dehong",,,,,,"Human, Homo sapiens",,,"cholera",,,,,,"Negative","Vibrios","Yes",,,,,,,"Cholera","Vibrio cholerae is an important pathogen for human infection, and this strain was an imported isolate from Myanmar.","collected_by:Yunnan Provincial Centre for Disease Control and Prevention",99.7,99.4,100,,,"Good","2016-01-17T16:07:41.792Z","2016-01-17T16:07:41.792Z"
"666.1990","Vibrio cholerae strain YN97083",,666,"Complete","YN97083","Inaba",,,"MLST.Vibrio_cholerae.69",,,,"2015-06-19T00:00:00Z",,"PRJNA278341","SAMN03402964","GCF_001030015.1",,"LBBQ01000000",,"Yunnan Provincial Centre for Disease Control and Prevention",,"Illumina HiSeq","430.0x","Velvet v. 1.2",64,,64,4074242,47.5,3836,3704,,"1997","isolated from 1997 in Yunnan","25-Mar-1997","China","China: Yunnan province",,,,,,"Human, Homo sapiens",,,"cholera",,,,,,"Negative","Vibrios","Yes",,,,,,,"Cholera","This strain was isolated from 1997 in Yunnan.","collected_by:Yunnan Provincial Centre for Disease Control and Prevention",99.7,99.4,100,,,"Good","2016-01-17T16:07:42.104Z","2016-01-17T16:07:42.104Z"
"666.1991","Vibrio cholerae strain YN89004",,666,"Complete","YN89004","Ogawa",,,"MLST.Vibrio_cholerae.69",,,,"2015-06-19T00:00:00Z",,"PRJNA278342","SAMN03402963","GCF_001030035.1",,"LBBR01000000",,"Yunnan Provincial Centre for Disease Control and Prevention",,"Illumina HiSeq","580.0x","Velvet v. 1.2",58,1,59,3950281,47.46,3679,3497,,,,"07-Oct-1989","China","China: Yunnan province",,,,,,"Human, Homo sapiens",,,"cholera",,,,,,"Negative","Vibrios","Yes",,,,,,,"Cholera","This strain was isolated from 1989","collected_by:Yunnan Provincial Centre for Disease Control and Prevention",99.9,99.7,100,0.4,,"Good","2016-01-17T16:07:42.422Z","2016-01-17T16:07:42.422Z"
"666.1993","Vibrio cholerae strain YN98296",,666,"Complete","YN98296","O139",,,"MLST.Vibrio_cholerae.69",,,"Yes","2015-07-21T00:00:00Z",,"PRJNA278343","SAMN03402962","GCF_001184775.1",,"LBBS01000000",,"Yunnan Provincial Centre for Disease Control and Prevention",,"Illumina HiSeq","460.0x","Velvet v. 1.2",52,1,53,4004435,47.49,3759,3637,,,,"15-Apr-1998","China","China: Yunnan province",,,,,,"Human, Homo sapiens",,,"cholera",,,,,,"Negative","Vibrios","Yes",,,,,,,"Cholera","This is an O139 serotype strain isolated from Yunnan","collected_by:Yunnan Provincial Centre for Disease Control and Prevention",99.6,99.3,99.6,,,"Good","2016-01-17T16:40:58.804Z","2016-01-17T16:40:58.804Z"
