Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1041522.3","Mycobacterium colombiense CECT 3035","Mycobacterium colombiense CECT 3035",1041522,"WGS","CECT 3035",,,,,,,"Yes","2011-07-29T00:00:00Z","21952541","PRJNA67689","SAMN00622208","GCA_000222105.4","SRR231104","AFVW00000000","-",,"assembly",,,,,,27,5576382,68.08,5267,5230,,,,,"Colombia","Colombia",,,,,,"Human, Homo sapiens",,,"HIV positive",,,,,,,,,,,"-",,,,"Pulmonary tuberculosis","Mycobacterium colombiense CECT 3035 is the type strain and is part of the Mycobacterium avium Complex. Since its description in 2006, it has been associated with opportunistic disease in immunosuppressed HIV-infected patients and causing lymphadenopathy in immunocompetent children.",,98.9,98.1,100,,,"Good","2014-12-08T22:12:07.364Z","2015-03-16T03:17:09.594Z"
"1279011.3","Mycobacterium tuberculosis PR05","Mycobacterium tuberculosis PR05",1279011,"WGS","PR05",,,,,,,,"2013-04-19T00:00:00Z",,"PRJNA185398","SAMN02471435","GCA_000372545.2",,"AOMG00000000","-","Universiti Teknologi MARA","WGS","Illumina GAIIx","205.0x","CLCBio Genomic Workbench v. 5.5.1",,,225,4319751,65.4,4379,,,"cerebrospinal fluid sample from tuberculosis patient",,"2012","Malaysia","Malaysia: Selangor",,,,,,"Human, Homo sapiens",,,,,,,,,"Positive","Bacilli","No","No","Mesophilic","37C","Mesophilic","Aerobic","HostAssociated","Tuberculosis","Whole genome sequence of a Malaysian Mycobacterium tuberculosis isolate.",,99.3,98.6,98.9,,,"Good","2014-12-08T22:12:14.866Z","2015-03-16T03:17:09.594Z"
"1429886.3","Mycobacterium tuberculosis MTB-489","Mycobacterium tuberculosis MTB-489",1429886,"WGS","MTB-489",,,,,," ",,"2013-12-27T00:00:00Z",,"PRJNA229941","SAMN02597331","GCA_000512065.1",,"AZAZ00000000","-","Center for Life Sciences, Nazarbayev University","WGS","454","23.0x","Newbler v. 2.3",,,177,4259567,65.3,4266,,,"sputum sample from patient with tuberculosis","isolated in Kazakhstan","2013","Kazakhstan","Kazakhstan: Almaty",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Tuberculosis","Create the prerequisites for a personalized approach to the diagnosis and treatment of TB by identifying and comparing the whole genome sequences of M.tuberculosis strains, isolated in Kazakhstan.",,99.4,99.2,98.9,,,"Good","2014-12-08T22:12:14.180Z","2015-03-16T03:17:09.594Z"
"1429887.3","Mycobacterium tuberculosis MTB-476","Mycobacterium tuberculosis MTB-476",1429887,"WGS","MTB-476",,,,,," ",,"2013-12-27T00:00:00Z",,"PRJNA229943","SAMN02597332","GCA_000512045.1",,"AZBA00000000","-","Center for Life Sciences, Nazarbayev University","WGS","454","21.0x","Newbler v. 2.3",,,237,4297193,65.2,4289,,,"sputum sample from patient with tuberculosis","isolated in Kazakhstan","2013","Kazakhstan","Kazakhstan: Almaty",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Tuberculosis","Create the prerequisites for a personalized approach to the diagnosis and treatment of TB by identifying and comparing the whole genome sequences of M.tuberculosis strains, isolated in Kazakhstan.",,99.5,99,100,,,"Good","2014-12-08T22:12:14.170Z","2015-03-16T03:17:09.594Z"
"1432058.3","Mycobacterium tuberculosis HM","Mycobacterium tuberculosis HM",1432058,"WGS","HM",,,,,," ",,"2013-12-18T00:00:00Z",,"PRJNA230410","SAMN02597365","GCA_000510935.1",,"AZHK00000000","-","Institut Pasteur Montevideo","WGS","Illumina GAIIx","84.0x","Velvet v. 05-Dec-2013",,,195,4320561,65.5,4445,,,"patient with tuberculosis","isolated from a clonal outbreak with rapid progression into a low-risk population","2008","Uruguay","Uruguay",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,"Aerobic","HostAssociated","Tuberculosis","This strain was isolated from a clonal outbreak with rapid progression into a low-risk population.",,99.5,98.6,98.9,2.1,,"Good","2014-12-08T22:12:10.367Z","2015-03-16T03:17:09.594Z"
"1441925.3","Mycobacterium tuberculosis INS_MDR","Mycobacterium tuberculosis INS_MDR",1441925,"WGS","INS_MDR",,,,,," ",,"2014-01-28T00:00:00Z","24578270","PRJNA232701","SAMN02641514","GCA_000524175.1",,"JAQI00000000","-","Instituto Nacional de Salud","WGS","Illumina HiSeq","1200.0x","BWA v. 0.5.9-r16",,,22,4391145,65.6,4352,4044,,,"isolated in Tuberculosis patients in Lima - Peru The Mycobacterium tuberculosis INS_MDR genome was sequenced in Illumina",,"Peru","Peru: Lima",,,,,,"Human, Homo sapiens",,,"Tuberculosis",,,,,,"Positive","Bacilli","Nonmotile","Nonsporulating",,,,"Aerobic",,"Tuberculosis","'Mycobacterium tuberculosis INS_MDR strain is an aerobic, chemoorganotroph, rod-shaped, nonmotile, nonsporulating human pathogen. It was isolated in Tuberculosis patients in Lima - Peru The Mycobacterium tuberculosis INS_MDR genome was sequenced in Illumina.'",,99.6,99.4,100,,,"Good","2014-12-08T22:12:10.387Z","2015-03-16T03:17:09.594Z"
"1441926.3","Mycobacterium tuberculosis INS_SEN","Mycobacterium tuberculosis INS_SEN",1441926,"WGS","INS_SEN",,,,,," ",,"2014-01-28T00:00:00Z","24578269","PRJNA232702","SAMN02641515","GCA_000526115.1",,"JAQH00000000","-","Instituto Nacional de Salud","WGS","Illumina HiSeq","1200.0x","BWA v. 0.5.9-r16",,,18,4379293,65.6,4343,4041,,,"isolated in Tuberculosis patients in Lima - Peru The Mycobacterium tuberculosis INS_SEN genome was sequenced in Illumina",,"Peru","Peru: Lima",,,,,,"Human, Homo sapiens",,,"Tuberculosis",,,,,,"Positive","Bacilli","Nonmotile","Nonsporulating",,,,"Aerobic",,"Tuberculosis","'Mycobacterium tuberculosis INS_SEN strain is an aerobic, chemoorganotroph, rod-shaped, nonmotile, nonsporulating human pathogen. It was isolated in Tuberculosis patients in Lima - Peru The Mycobacterium tuberculosis INS_SEN genome was sequenced in Illumina.'",,99.6,99.4,100,,,"Good","2014-12-08T22:12:10.397Z","2015-03-16T03:17:09.594Z"
"1441927.3","Mycobacterium tuberculosis INS_XDR","Mycobacterium tuberculosis INS_XDR",1441927,"WGS","INS_XDR",,,,,," ",,"2014-01-28T00:00:00Z",,"PRJNA232703","SAMN02641516","GCA_000524155.1",,"JANH00000000","-","Instituto Nacional de Salud","WGS","Illumina HiSeq","1200.0x","BWA v. 0.5.9-r16",,,20,4391020,65.6,4354,4042,,,"isolated in Tuberculosis patients in Lima - Peru The Mycobacterium tuberculosis INS_XDR genome was sequenced in Illumina",,"Peru","Peru: Lima",,,,,,"Human, Homo sapiens",,,"Tuberculosis",,,,,,"Positive","Bacilli","Nonmotile","Nonsporulating",,,,"Aerobic",,"Tuberculosis","'Mycobacterium tuberculosis INS_XDR strain is an aerobic, chemoorganotroph, rod-shaped, nonmotile, nonsporulating human pathogen. It was isolated in Tuberculosis patients in Lima - Peru The Mycobacterium tuberculosis INS_XDR genome was sequenced in Illumina.'",,99.6,99.4,100,,,"Good","2014-12-08T22:12:10.406Z","2015-03-16T03:17:09.594Z"
"164513.4","Mycobacterium tuberculosis 210","Mycobacterium tuberculosis 210",164513,"WGS","210",,,,,,,,"2009-10-20T00:00:00Z",,"PRJNA273","SAMN00010968","GCA_000176315.1","SRR039399,SRR039400,SRR039401","ADAB00000000","NZ_ADAB00000000","TIGR","assembly","Sanger","6.7x",,,,130,4395332,65.4,4522,4137,,"outbreak","isolated during a tuberculosis outbreak in Texas, USA",,"United States","Texas USA",,,,,,"Human, Homo sapiens",,,,,,,,,"+","Rod","No","No","Mesophilic","37","Non-halophilic","Aerobic","Host-associated","Tuberculosis","Mycobacterium tuberculosis strain 210. This strain was originally isolated during a tuberculosis outbreak in Texas, USA. It was subsequently found that this strain is one of the most wide-spread and virulent Mycobacterium tuberculosis strains.;many frameshifted proteins",,98.7,97.6,100,2.1,,"Good","2014-12-08T22:12:08.266Z","2015-03-16T03:17:09.594Z"
"1773.210","Mycobacterium tuberculosis strain MtURU-002",,1773,"WGS","MtURU-002",,,,,,,,"2014-06-19T00:00:00Z","25035326","PRJNA247375","SAMN02777055","GCA_000710415.1",,"JNGE00000000","-","Institut Pasteur Montevideo",,"Illumina GAIIx","80.0x","Velvet v. MAY-2014",,,169,4323870,65.4,4413,,,"patient with bilateral pulmonary tuberculosis and was resistant to isoniazid","isolated in Uruguay from a patient with bilateral pulmonary tuberculosis and was resistant to isoniazid","2011","Uruguay","Uruguay",,,,,,"Human, Homo sapiens",,,"bilateral pulmonary tuberculosis",,,,,,,,,,,,,,"HostAssociated","Tuberculosis","This strain was isolated in Uruguay from a patient with bilateral pulmonary tuberculosis and was resistant to isoniazid.;many frameshifted proteins",,99.6,98.2,100,4.5,,"Good","2014-12-08T23:13:46.302Z","2015-03-16T03:17:09.594Z"
