qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|941638.3.peg.1|Rsl_1	MF	0043531	ADP binding	9.391067730442172	0.749663208146	1
fig|941638.3.peg.1|Rsl_1	BP	0006470	protein dephosphorylation	7.723161481775115	0.708219172341	1
fig|941638.3.peg.1|Rsl_1	MF	0016776	phosphotransferase activity, phosphate group as acceptor	7.707385703725109	0.707806835823	2
fig|941638.3.peg.1|Rsl_1	BP	0016311	dephosphorylation	6.462464679612212	0.673818411	2
fig|941638.3.peg.1|Rsl_1	MF	0004674	protein serine/threonine kinase activity	7.595239902210505	0.70486339996	3
fig|941638.3.peg.1|Rsl_1	BP	0006468	protein phosphorylation	5.165819392063375	0.634716934226	3
fig|941638.3.peg.1|Rsl_1	MF	0004672	protein kinase activity	5.392034937221176	0.641865372277	4
fig|941638.3.peg.1|Rsl_1	BP	0006464	cellular protein modification process	4.195142419594276	0.602099319834	4
fig|941638.3.peg.1|Rsl_1	MF	0016773	phosphotransferase activity, alcohol group as acceptor	4.765566186536815	0.621674166981	5
fig|941638.3.peg.1|Rsl_1	BP	0036211	protein modification process	4.195141725772846	0.602099295241	5
fig|941638.3.peg.1|Rsl_1	MF	0016301	kinase activity	4.280416000916214	0.60510669394	6
fig|941638.3.peg.1|Rsl_1	BP	0043412	macromolecule modification	3.7065116068442236	0.584243435744	6
fig|941638.3.peg.1|Rsl_1	MF	0140096	catalytic activity, acting on a protein	3.6731990996511907	0.582984393285	7
fig|941638.3.peg.1|Rsl_1	BP	0016310	phosphorylation	3.4833915216539832	0.57569904573	7
fig|941638.3.peg.1|Rsl_1	MF	0016772	transferase activity, transferring phosphorus-containing groups	3.611417944787788	0.580634175097	8
fig|941638.3.peg.1|Rsl_1	BP	0006796	phosphate-containing compound metabolic process	2.7953244234196424	0.54746312865	8
fig|941638.3.peg.1|Rsl_1	MF	0005524	ATP binding	2.9383923652689488	0.553598058997	9
fig|941638.3.peg.1|Rsl_1	BP	0044267	cellular protein metabolic process	2.7784314950827937	0.546728474251	9
fig|941638.3.peg.1|Rsl_1	MF	0032559	adenyl ribonucleotide binding	2.924781935604349	0.553020950666	10
fig|941638.3.peg.1|Rsl_1	BP	0006793	phosphorus metabolic process	2.7685339730250424	0.546297004316	10
fig|941638.3.peg.1|Rsl_1	MF	0030554	adenyl nucleotide binding	2.9201021074182085	0.552822206855	11
fig|941638.3.peg.1|Rsl_1	BP	0019538	protein metabolic process	2.384442290123162	0.528912604865	11
fig|941638.3.peg.1|Rsl_1	MF	0035639	purine ribonucleoside triphosphate binding	2.7857857934022667	0.547048578114	12
fig|941638.3.peg.1|Rsl_1	BP	0044260	cellular macromolecule metabolic process	1.9991229735333462	0.509998781331	12
fig|941638.3.peg.1|Rsl_1	MF	0032555	purine ribonucleotide binding	2.7666696394621444	0.546215644784	13
fig|941638.3.peg.1|Rsl_1	BP	1901564	organonitrogen compound metabolic process	1.6768347904440273	0.492723336212	13
fig|941638.3.peg.1|Rsl_1	MF	0017076	purine nucleotide binding	2.7621967968708225	0.546020338049	14
fig|941638.3.peg.1|Rsl_1	BP	0043170	macromolecule metabolic process	1.5904605959644929	0.487816750635	14
fig|941638.3.peg.1|Rsl_1	MF	0008144	drug binding	2.747679294690698	0.54538533914	15
fig|941638.3.peg.1|Rsl_1	BP	0006807	nitrogen compound metabolic process	1.1831187666864555	0.462635873958	15
fig|941638.3.peg.1|Rsl_1	MF	0032553	ribonucleotide binding	2.7183144555257863	0.544095765206	16
fig|941638.3.peg.1|Rsl_1	BP	0044238	primary metabolic process	1.0710121275281301	0.454967067334	16
fig|941638.3.peg.1|Rsl_1	MF	0097367	carbohydrate derivative binding	2.672494816948672	0.542069574979	17
fig|941638.3.peg.1|Rsl_1	BP	0071704	organic substance metabolic process	0.9334301651072607	0.444983803442	17
fig|941638.3.peg.1|Rsl_1	MF	0000166	nucleotide binding	2.427151991960693	0.530911720591	18
fig|941638.3.peg.1|Rsl_1	BP	0044237	cellular metabolic process	0.9331362597605808	0.444961716409	18
fig|941638.3.peg.1|Rsl_1	MF	1901265	nucleoside phosphate binding	2.4271519053417734	0.530911716554	19
fig|941638.3.peg.1|Rsl_1	BP	0009987	cellular process	0.675181144027858	0.424009978907	19
fig|941638.3.peg.1|Rsl_1	MF	0043168	anion binding	2.4004433065404753	0.529663646507	20
fig|941638.3.peg.1|Rsl_1	BP	0008152	metabolic process	0.5082359416193157	0.408214050672	20
fig|941638.3.peg.1|Rsl_1	MF	0016740	transferase activity	2.2957305517810247	0.524702225108	21
fig|941638.3.peg.1|Rsl_1	MF	0036094	small molecule binding	2.2607142300083547	0.523017952857	22
fig|941638.3.peg.1|Rsl_1	MF	0043167	ion binding	1.6560249615135985	0.491552991693	23
fig|941638.3.peg.1|Rsl_1	MF	1901363	heterocyclic compound binding	1.236196733350163	0.466139726143	24
fig|941638.3.peg.1|Rsl_1	MF	0097159	organic cyclic compound binding	1.2358753469789248	0.466118739232	25
fig|941638.3.peg.1|Rsl_1	MF	0005488	binding	0.858521597922698	0.439237151709	26
fig|941638.3.peg.1|Rsl_1	MF	0003824	catalytic activity	0.6235224681619272	0.419354913271	27
fig|941638.3.peg.2|Rsl_2	BP	0006662	glycerol ether metabolic process	10.232445779029478	0.769168581991	1
fig|941638.3.peg.2|Rsl_2	MF	0015035	protein disulfide oxidoreductase activity	8.667294272392786	0.732172703031	1
fig|941638.3.peg.2|Rsl_2	CC	0005623	cell	0.8933308622728915	0.441937495979	1
fig|941638.3.peg.2|Rsl_2	BP	0018904	ether metabolic process	10.21425440193111	0.768755529141	2
fig|941638.3.peg.2|Rsl_2	MF	0015036	disulfide oxidoreductase activity	8.245176040666896	0.721633299549	2
fig|941638.3.peg.2|Rsl_2	CC	0009507	chloroplast	0.047469928965045836	0.336335587732	2
fig|941638.3.peg.2|Rsl_2	MF	0016667	oxidoreductase activity, acting on a sulfur group of donors	7.44498160192186	0.700885366858	3
