qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|1451267.3.peg.1	MF	0015667	site-specific DNA-methyltransferase (cytosine-N4-specific) activity	4.830305628658011	0.62381992539	1
fig|1451267.3.peg.1	BP	0090124	N-4 methylation of cytosine	4.741994898642999	0.620889291609	1
fig|1451267.3.peg.1	BP	0032776	DNA methylation on cytosine	4.167769694580569	0.601127487223	2
fig|1451267.3.peg.1	MF	0009008	DNA-methyltransferase activity	3.777341950859833	0.586901792063	2
fig|1451267.3.peg.1	BP	0006306	DNA methylation	3.302271824720521	0.568559676668	3
fig|1451267.3.peg.1	MF	0008170	N-methyltransferase activity	2.970898091045315	0.554970979719	3
fig|1451267.3.peg.1	BP	0006305	DNA alkylation	3.302271824720521	0.568559676668	4
fig|1451267.3.peg.1	MF	0008757	S-adenosylmethionine-dependent methyltransferase activity	2.5464061728358147	0.536402359069	4
fig|1451267.3.peg.1	BP	0044728	DNA methylation or demethylation	3.2840276333881957	0.567829789184	5
fig|1451267.3.peg.1	MF	0008168	methyltransferase activity	1.9459818908092885	0.507251756455	5
fig|1451267.3.peg.1	BP	0006304	DNA modification	2.9935961156226383	0.555925211015	6
fig|1451267.3.peg.1	MF	0140097	catalytic activity, acting on DNA	1.9116328595971412	0.505456150701	6
fig|1451267.3.peg.1	BP	0043414	macromolecule methylation	2.3546576153213508	0.527507855988	7
fig|1451267.3.peg.1	MF	0016741	transferase activity, transferring one-carbon groups	1.8867557349785273	0.504145598173	7
fig|1451267.3.peg.1	BP	0032259	methylation	1.855431499535939	0.502483054183	8
fig|1451267.3.peg.1	MF	0003677	DNA binding	1.1647137766331377	0.461402607321	8
fig|1451267.3.peg.1	BP	0006259	DNA metabolic process	1.5541455366935932	0.485714122421	9
fig|1451267.3.peg.1	MF	0004519	endonuclease activity	1.1505490360160584	0.4604468181	9
fig|1451267.3.peg.1	BP	0043412	macromolecule modification	1.402766868880949	0.476672643194	10
fig|1451267.3.peg.1	MF	0004518	nuclease activity	1.0277247932158184	0.451899058843	10
fig|1451267.3.peg.1	BP	0090304	nucleic acid metabolic process	1.0793628490124862	0.455551748814	11
fig|1451267.3.peg.1	MF	0016740	transferase activity	0.8635314835208285	0.43962912513	11
fig|1451267.3.peg.1	BP	0090305	nucleic acid phosphodiester bond hydrolysis	0.992516163494374	0.449355653106	12
fig|1451267.3.peg.1	MF	0016788	hydrolase activity, acting on ester bonds	0.85517590762029	0.438974747691	12
fig|1451267.3.peg.1	BP	0006139	nucleobase-containing compound metabolic process	0.9214633983096793	0.444081669114	13
fig|1451267.3.peg.1	MF	0003676	nucleic acid binding	0.8047011972311922	0.434951861903	13
fig|1451267.3.peg.1	BP	0046483	heterocycle metabolic process	0.8499928720590576	0.438567224224	14
fig|1451267.3.peg.1	MF	1901363	heterocyclic compound binding	0.4671504125100769	0.403941880438	14
fig|1451267.3.peg.1	BP	0006725	cellular aromatic compound metabolic process	0.8471253046576342	0.438341223741	15
fig|1451267.3.peg.1	MF	0097159	organic cyclic compound binding	0.4670364418861299	0.403929773686	15
fig|1451267.3.peg.1	BP	1901360	organic cyclic compound metabolic process	0.8366091540194072	0.437509127166	16
fig|1451267.3.peg.1	MF	0016787	hydrolase activity	0.4254672687701528	0.399410841228	16
fig|1451267.3.peg.1	BP	0044260	cellular macromolecule metabolic process	0.7438588196587285	0.429931007539	17
fig|1451267.3.peg.1	MF	0005488	binding	0.32774812210244864	0.387825969277	17
fig|1451267.3.peg.1	BP	0034641	cellular nitrogen compound metabolic process	0.6809686230219649	0.42452023501	18
fig|1451267.3.peg.1	MF	0003824	catalytic activity	0.23648212008528488	0.375309928459	18
fig|1451267.3.peg.1	BP	0043170	macromolecule metabolic process	0.5972394647423588	0.416912403614	19
fig|1451267.3.peg.1	BP	0006807	nitrogen compound metabolic process	0.45166537210144264	0.402283190697	20
fig|1451267.3.peg.1	BP	0044238	primary metabolic process	0.4038537918469996	0.396973862213	21
fig|1451267.3.peg.1	BP	0044237	cellular metabolic process	0.35098617533135656	0.390722413207	22
fig|1451267.3.peg.1	BP	0071704	organic substance metabolic process	0.3506589407027346	0.390682303256	23
fig|1451267.3.peg.1	BP	0009987	cellular process	0.25475570731349656	0.377987275618	24
fig|1451267.3.peg.1	BP	0008152	metabolic process	0.1899962516506335	0.367990588348	25
fig|1451267.3.peg.2	BP	0006306	DNA methylation	3.8106780208091955	0.588144310474	1
fig|1451267.3.peg.2	MF	0008170	N-methyltransferase activity	3.4282871485204005	0.573547010554	1
fig|1451267.3.peg.2	BP	0006305	DNA alkylation	3.8106780208091955	0.588144310474	2
fig|1451267.3.peg.2	MF	0008168	methyltransferase activity	2.2911136169756467	0.52448089096	2
fig|1451267.3.peg.2	BP	0044728	DNA methylation or demethylation	3.7896250177229294	0.587360248061	3
