qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|243276.5.peg.1|TP0001	MF	0003688	DNA replication origin binding	11.166473002309768	0.789904283747	1
fig|243276.5.peg.1|TP0001	BP	0006275	regulation of DNA replication	10.277137427302977	0.77018179284	1
fig|243276.5.peg.1|TP0001	CC	0005737	cytoplasm	2.0060570883280215	0.510354520581	1
fig|243276.5.peg.1|TP0001	BP	0006270	DNA replication initiation	9.957512787513823	0.762886250775	2
fig|243276.5.peg.1|TP0001	MF	1990837	sequence-specific double-stranded DNA binding	9.118988604975343	0.743170069125	2
fig|243276.5.peg.1|TP0001	CC	0005622	intracellular anatomical structure	1.333273971887888	0.472358785873	2
fig|243276.5.peg.1|TP0001	MF	0003690	double-stranded DNA binding	8.126207341362571	0.718614428869	3
fig|243276.5.peg.1|TP0001	BP	0006261	DNA-dependent DNA replication	7.619280556739119	0.705496203511	3
fig|243276.5.peg.1|TP0001	CC	0110165	cellular anatomical entity	0.022408755645728896	0.326435792869	3
fig|243276.5.peg.1|TP0001	MF	0043565	sequence-specific DNA binding	6.284643302577393	0.668704651253	4
fig|243276.5.peg.1|TP0001	BP	0006260	DNA replication	6.066628383559448	0.662335245573	4
fig|243276.5.peg.1|TP0001	BP	0006259	DNA metabolic process	4.147268859214696	0.600397540148	5
fig|243276.5.peg.1|TP0001	MF	0003677	DNA binding	3.17933039411712	0.563601428873	5
fig|243276.5.peg.1|TP0001	BP	2000112	regulation of cellular macromolecule biosynthetic process	3.552465388004015	0.578372742293	6
fig|243276.5.peg.1|TP0001	MF	0005524	ATP binding	2.9656214418551423	0.554748626238	6
fig|243276.5.peg.1|TP0001	BP	0010556	regulation of macromolecule biosynthetic process	3.51625043795487	0.576974215881	7
fig|243276.5.peg.1|TP0001	MF	0032559	adenyl ribonucleotide binding	2.9544584835312264	0.554277575889	7
fig|243276.5.peg.1|TP0001	BP	0031326	regulation of cellular biosynthetic process	3.5125376543751887	0.576830431721	8
fig|243276.5.peg.1|TP0001	MF	0030554	adenyl nucleotide binding	2.949865105681051	0.554083487861	8
fig|243276.5.peg.1|TP0001	BP	0009889	regulation of biosynthetic process	3.5108809443632203	0.576766248155	9
fig|243276.5.peg.1|TP0001	MF	0035639	purine ribonucleoside triphosphate binding	2.8089853192950645	0.548055603688	9
fig|243276.5.peg.1|TP0001	BP	0031323	regulation of cellular metabolic process	3.399629072999411	0.572420966178	10
fig|243276.5.peg.1|TP0001	MF	0032555	purine ribonucleotide binding	2.792323638950323	0.547332790391	10
fig|243276.5.peg.1|TP0001	BP	0060255	regulation of macromolecule metabolic process	3.370171664901927	0.571258556452	11
fig|243276.5.peg.1|TP0001	MF	0017076	purine nucleotide binding	2.7871694349496567	0.547108755378	11
fig|243276.5.peg.1|TP0001	BP	0019222	regulation of metabolic process	3.335740110072378	0.569893405216	12
fig|243276.5.peg.1|TP0001	MF	0032553	ribonucleotide binding	2.7443979998763717	0.545241582283	12
fig|243276.5.peg.1|TP0001	BP	0090304	nucleic acid metabolic process	2.8808952204337417	0.551150865627	13
fig|243276.5.peg.1|TP0001	MF	0097367	carbohydrate derivative binding	2.698686787912984	0.543229917405	13
fig|243276.5.peg.1|TP0001	BP	0034645	cellular macromolecule biosynthetic process	2.849374798610541	0.549798924629	14
fig|243276.5.peg.1|TP0001	MF	0043168	anion binding	2.448896873790714	0.531922777789	14
fig|243276.5.peg.1|TP0001	BP	0009059	macromolecule biosynthetic process	2.8154277811815325	0.548334514238	15
fig|243276.5.peg.1|TP0001	MF	0000166	nucleotide binding	2.4466150147354893	0.531816891094	15
fig|243276.5.peg.1|TP0001	BP	0050794	regulation of cellular process	2.809904832788201	0.548095431317	16
fig|243276.5.peg.1|TP0001	MF	1901265	nucleoside phosphate binding	2.446614946174768	0.531816887912	16
fig|243276.5.peg.1|TP0001	BP	0050789	regulation of biological process	2.6808751168868494	0.542441450581	17
fig|243276.5.peg.1|TP0001	MF	0036094	small molecule binding	2.287840743981194	0.524323855533	17
fig|243276.5.peg.1|TP0001	BP	0065007	biological regulation	2.5988538939582666	0.538776356347	18
fig|243276.5.peg.1|TP0001	MF	0003676	nucleic acid binding	2.235671583369846	0.521805397029	18
fig|243276.5.peg.1|TP0001	BP	0006139	nucleobase-containing compound metabolic process	2.4194504075741636	0.530552539771	19
fig|243276.5.peg.1|TP0001	MF	0043167	ion binding	1.6183095108426422	0.489412977751	19
fig|243276.5.peg.1|TP0001	BP	0046483	heterocycle metabolic process	2.2134860128618583	0.52072549421	20
fig|243276.5.peg.1|TP0001	MF	1901363	heterocyclic compound binding	1.2976661056010985	0.470104795611	20
fig|243276.5.peg.1|TP0001	BP	0006725	cellular aromatic compound metabolic process	2.2127033197514243	0.520687297308	21
fig|243276.5.peg.1|TP0001	MF	0097159	organic cyclic compound binding	1.297306151944887	0.47008185358	21
fig|243276.5.peg.1|TP0001	BP	1901360	organic cyclic compound metabolic process	2.1713097463600968	0.518657496328	22
fig|243276.5.peg.1|TP0001	MF	0005488	binding	0.9007555691355418	0.442506624276	22
fig|243276.5.peg.1|TP0001	BP	0044260	cellular macromolecule metabolic process	2.0020996665836512	0.510151569365	23
fig|243276.5.peg.1|TP0001	MF	0005515	protein binding	0.1251292038768025	0.356062476678	23
fig|243276.5.peg.1|TP0001	BP	0044249	cellular biosynthetic process	1.9699082882159853	0.508493167787	24
fig|243276.5.peg.1|TP0001	BP	1901576	organic substance biosynthetic process	1.9340330808041806	0.506628939986	25
fig|243276.5.peg.1|TP0001	BP	0009058	biosynthetic process	1.8766135337042724	0.503608818798	26
fig|243276.5.peg.1|TP0001	BP	0034641	cellular nitrogen compound metabolic process	1.794737522331399	0.49922126612	27
fig|243276.5.peg.1|TP0001	BP	0043170	macromolecule metabolic process	1.6046043679710633	0.488629165915	28
fig|243276.5.peg.1|TP0001	BP	0006807	nitrogen compound metabolic process	1.1885822300344604	0.463000115916	29
fig|243276.5.peg.1|TP0001	BP	0044238	primary metabolic process	1.0790922695491598	0.455532839536	30
fig|243276.5.peg.1|TP0001	BP	0044237	cellular metabolic process	0.9325166423476913	0.444915140663	31
fig|243276.5.peg.1|TP0001	BP	0071704	organic substance metabolic process	0.9305206994454913	0.444765003221	32
