qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|888807.3.peg.3|HMPREF9378_0003	BP	0006282	regulation of DNA repair	11.0584271263	0.787551179393	1
fig|888807.3.peg.3|HMPREF9378_0003	CC	0005737	cytoplasm	1.97172035962	0.508586878466	1
fig|888807.3.peg.4|HMPREF9378_0004	MF	0008910	kanamycin kinase activity	15.527243101	0.853926623979	1
fig|888807.3.peg.4|HMPREF9378_0004	BP	0046677	response to antibiotic	8.55320418666	0.729349909921	1
fig|888807.3.peg.4|HMPREF9378_0004	BP	0016310	phosphorylation	3.4442966863	0.574174015091	3
fig|888807.3.peg.4|HMPREF9378_0004	MF	0005524	ATP binding	2.91925824066	0.552786352422	6
fig|888807.3.peg.4|HMPREF9378_0004	MF	0046872	metal ion binding	2.47660347412	0.533204551615	14
fig|888807.3.peg.5|HMPREF9378_0005	MF	0008173	RNA methyltransferase activity	6.14365109595	0.664598377048	1
fig|888807.3.peg.5|HMPREF9378_0005	BP	0001510	RNA methylation	5.76406608919	0.653302977499	1
fig|888807.3.peg.5|HMPREF9378_0005	BP	0006396	RNA processing	4.06328270218	0.597388147593	5
fig|888807.3.peg.6|HMPREF9378_0006	MF	0015267	channel activity	5.38161111074	0.641539312302	1
fig|888807.3.peg.6|HMPREF9378_0006	BP	0055085	transmembrane transport	2.30112801561	0.524960695537	1
fig|888807.3.peg.6|HMPREF9378_0006	CC	0016021	integral component of membrane	0.658441480745	0.422521679144	1
fig|888807.3.peg.6|HMPREF9378_0006	CC	0005886	plasma membrane	0.0323812529024	0.330828437577	4
fig|888807.3.peg.6|HMPREF9378_0006	BP	0006071	glycerol metabolic process	0.120567937023	0.35511764214	6
fig|888807.3.peg.7|HMPREF9378_0007	MF	0004369	glycerol-3-phosphate oxidase activity	16.2976021692	0.858359995831	1
fig|888807.3.peg.7|HMPREF9378_0007	CC	0009331	glycerol-3-phosphate dehydrogenase complex	9.6920153561	0.756736666027	1
fig|888807.3.peg.7|HMPREF9378_0007	BP	0006072	glycerol-3-phosphate metabolic process	9.48439684256	0.751868780225	1
fig|888807.3.peg.7|HMPREF9378_0007	MF	0004368	glycerol-3-phosphate dehydrogenase (quinone) activity	11.2008876744	0.790651399704	3
fig|888807.3.peg.7|HMPREF9378_0007	BP	0006071	glycerol metabolic process	9.28919154369	0.747243101724	3
fig|888807.3.peg.7|HMPREF9378_0007	CC	0016021	integral component of membrane	0.766315647074	0.431807291057	7
fig|888807.3.peg.7|HMPREF9378_0007	CC	0005886	plasma membrane	0.0145424641155	0.322209978659	11
fig|888807.3.peg.7|HMPREF9378_0007	BP	0006650	glycerophospholipid metabolic process	0.0449671014902	0.335490310154	20
fig|888807.3.peg.8|HMPREF9378_0008	MF	0004370	glycerol kinase activity	11.6229801547	0.79972298484	1
fig|888807.3.peg.8|HMPREF9378_0008	BP	0019563	glycerol catabolic process	10.7216431413	0.780141722205	1
fig|888807.3.peg.8|HMPREF9378_0008	CC	0005829	cytosol	0.033865359183	0.331420492553	1
fig|888807.3.peg.8|HMPREF9378_0008	BP	0006072	glycerol-3-phosphate metabolic process	9.53996653397	0.753176862318	3
fig|888807.3.peg.8|HMPREF9378_0008	MF	0005524	ATP binding	2.9203303295	0.552831902725	5
fig|888807.3.peg.8|HMPREF9378_0008	BP	0016310	phosphorylation	3.44556159393	0.574223492311	23
fig|888807.3.peg.8|HMPREF9378_0008	MF	0046872	metal ion binding	0.0123904771401	0.320862577924	23
fig|888807.3.peg.13|HMPREF9378_0013	MF	0004523	RNA-DNA hybrid ribonuclease activity	3.85029921504	0.589614043814	1
fig|888807.3.peg.13|HMPREF9378_0013	BP	0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	3.1514135498	0.56246225078	1
fig|888807.3.peg.13|HMPREF9378_0013	CC	0005737	cytoplasm	0.836263433666	0.43748168331	1
fig|888807.3.peg.13|HMPREF9378_0013	MF	0003676	nucleic acid binding	2.28824064669	0.52434304925	7
fig|888807.3.peg.13|HMPREF9378_0013	MF	0046872	metal ion binding	1.05077889706	0.453540900017	13
fig|888807.3.peg.14|HMPREF9378_0014	MF	0004832	valine-tRNA ligase activity	11.1028416161	0.788519856874	1
fig|888807.3.peg.14|HMPREF9378_0014	BP	0006438	valyl-tRNA aminoacylation	10.8290653591	0.782517557367	1
fig|888807.3.peg.14|HMPREF9378_0014	CC	0005737	cytoplasm	1.97173506851	0.508587638956	1
fig|888807.3.peg.14|HMPREF9378_0014	MF	0002161	aminoacyl-tRNA editing activity	8.59751384006	0.730448432987	2
fig|888807.3.peg.14|HMPREF9378_0014	BP	0106074	aminoacyl-tRNA metabolism involved in translational fidelity	8.29549884732	0.722903699192	2
fig|888807.3.peg.14|HMPREF9378_0014	CC	0016021	integral component of membrane	0.00398588943663	0.313867042404	4
fig|888807.3.peg.14|HMPREF9378_0014	MF	0005524	ATP binding	2.92033607024	0.552832146612	10
fig|888807.3.peg.15|HMPREF9378_0015	MF	0003886	DNA (cytosine-5-)-methyltransferase activity	10.2600352973	0.769794328685	1
fig|888807.3.peg.15|HMPREF9378_0015	BP	0090116	C-5 methylation of cytosine	9.97440639925	0.763274758455	1
fig|888807.3.peg.15|HMPREF9378_0015	BP	0009307	DNA restriction-modification system	8.54906964424	0.72924726153	3
fig|888807.3.peg.16|HMPREF9378_0016	MF	0003886	DNA (cytosine-5-)-methyltransferase activity	11.0032968262	0.786346080767	1
fig|888807.3.peg.16|HMPREF9378_0016	BP	0090116	C-5 methylation of cytosine	10.6969762867	0.779594492421	1
fig|888807.3.peg.16|HMPREF9378_0016	BP	0009307	DNA restriction-modification system	9.16838472359	0.744356026756	3
fig|888807.3.peg.18|HMPREF9378_0019	MF	0004616	phosphogluconate dehydrogenase (decarboxylating) activity	11.3441330993	0.793748884978	1
fig|888807.3.peg.18|HMPREF9378_0019	BP	0019521	D-gluconate metabolic process	10.5677886718	0.776718126007	1
fig|888807.3.peg.18|HMPREF9378_0019	MF	0050661	NADP binding	7.0996057673	0.691586640214	2
fig|888807.3.peg.18|HMPREF9378_0019	BP	0006098	pentose-phosphate shunt	8.69768840565	0.732921569475	3
fig|888807.3.peg.19|HMPREF9378_0020	BP	0000160	phosphorelay signal transduction system	4.30978353233	0.606135463414	1
fig|888807.3.peg.19|HMPREF9378_0020	MF	0003677	DNA binding	2.7499069494	0.545482886042	1
fig|888807.3.peg.19|HMPREF9378_0020	BP	0006355	regulation of transcription, DNA-templated	2.98031129847	0.555367154446	6
fig|888807.3.peg.20|HMPREF9378_0021	MF	0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	9.08989728417	0.742470108662	1
fig|888807.3.peg.20|HMPREF9378_0021	BP	0034219	carbohydrate transmembrane transport	8.16185230498	0.719521236944	1
fig|888807.3.peg.20|HMPREF9378_0021	CC	0005886	plasma membrane	2.50942803345	0.534713850901	1
fig|888807.3.peg.20|HMPREF9378_0021	BP	0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	7.96233838214	0.714419780587	2
fig|888807.3.peg.20|HMPREF9378_0021	CC	0016021	integral component of membrane	0.78937665132	0.43370565691	3
fig|888807.3.peg.20|HMPREF9378_0021	MF	0016301	kinase activity	4.22279297301	0.60307780273	7
fig|888807.3.peg.20|HMPREF9378_0021	BP	0016310	phosphorylation	3.42183264049	0.573293809372	8
fig|888807.3.peg.21|HMPREF9378_0022	MF	0008853	exodeoxyribonuclease III activity	11.138529945	0.789296814239	1
fig|888807.3.peg.21|HMPREF9378_0022	BP	0006259	DNA metabolic process	4.00340040917	0.595223408631	1
fig|888807.3.peg.22|HMPREF9378_0023	BP	0045892	negative regulation of transcription, DNA-templated	7.82416888927	0.710849314488	1
