Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1194086.3","Yersinia enterocolitica subsp. enterocolitica WA-314","Yersinia enterocolitica subsp. enterocolitica WA-314",1194086,"WGS","WA-314","serovar 1B",,,,," ",,"2012-09-17T00:00:00Z","22963272","PRJNA167372","SAMN02403951","GCA_000297175.1",,"AKKR00000000","-","Max von Pettenkofer-Institut","WGS","Illumina GA","133.0x","SOAPdenovo v. Nov-2010",,,129,4524664,47.2,4265,4131,,"blood",,"1972",,,,,,,,"Human, Homo sapiens",,,,,,,,,"Negative","Bacilli",,,,,,,,"Yersiniosis","Highly virulent Yersinia enterocolitica WA-314 strain displays in vivo and in vitro differences with another high virulence strain. The genome sequence has been used for comparative analysis.  Highly virulent strain, bioserotype 1B/O:8",,99.5,99.3,99.7,0.3,,"Good","2014-12-08T22:13:50.980Z","2015-03-16T03:17:09.594Z"
"1243181.3","Yersinia enterocolitica IP 10393","Yersinia enterocolitica IP 10393",1243181,"WGS","IP10393","serovar 4",,,,,,,"2012-12-17T00:00:00Z","23469338","PRJNA177695","SAMEA3138430","GCA_000330605.1",,"CAOV00000000","-","Institut Pasteur","WGS",,,,,,12,4463212,46.96,4271,4181,,"stool sample","isolated from stool sample in France","1982","France","France",,,,,,"Human, Homo sapiens",,,,"feces",,,,,"Negative","Bacilli",,,,,,,,"Yersiniosis","genome of Yersinia enterocolitica belonging to bioserotype 4/O:3 isolated from stool sample in France.",,99.3,97.3,100,,,"Good","2014-12-08T22:13:50.933Z","2015-03-16T03:17:09.594Z"
"214092.21","Yersinia pestis CO92","Yersinia pestis CO92",214092,"Complete","CO92",,,,"MLST.Yersinia_spp.79",,,,"2001-10-05T00:00:00Z","11586360,12834539,11274119","PRJNA34","SAMEA1705942","GCA_000009065.1",,"AL590842,AL117189,AL109969,AL117211","NC_003143,NC_003131,NC_003132,NC_003134","Wellcome Trust Sanger Institute","complete",,,,1,3,4,4829855,47.6,4666,4066,,"patient who died of pneumonic plague after acquiring the disease from an infected cat","isolated in the USA from a patient who died of pneumonic plague after acquiring the disease from an infected cat",,"United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,"-","Rod",,,"Mesophilic","28-30",,"Facultative","Multiple","Bubonic plague","Yersinia pestis strain CO92. This strain is a recent Orientalis subtype isolated in the USA from a patient who died of pneumonic plague after acquiring the disease from an infected cat. This strain is 50 Kbp larger than the Yersinia pestis KIM10+ genome due to numerous insertions.",,99.6,98.5,100,,,"Good","2014-12-08T22:13:51.215Z","2015-03-16T03:17:09.594Z"
"273123.10","Yersinia pseudotuberculosis IP 32953","Yersinia pseudotuberculosis IP 32953",273123,"Complete","IP 32953","serovar I",,,"MLST.Yersinia_pseudotuberculosis.42",,,,"2004-09-11T00:00:00Z","15358858","PRJNA12950",,"GCA_000047365.1",,"BX936398,BX936400,BX936399","NC_006155,NC_006154,NC_006153","Lawrence Livermore National Laboratory|Institut Pasteur","complete",,,,1,2,3,4840898,47.6,4745,4038,,"human patient","isolated from a human patient",,,,,,,,,"Human, Homo sapiens",,,,,,,,,"-","Rod","Yes",,"Mesophilic","28-30",,"Facultative","Multiple","Gastroenteritis","Yersinia pseudotuberculosis strain IP 32953. This strain is a fully virulent serotype I strain isolated from a human patient.",,100,99.7,100,,,"Good","2014-12-08T22:13:52.208Z","2015-03-16T03:17:09.594Z"
"349747.9","Yersinia pseudotuberculosis IP 31758","Yersinia pseudotuberculosis IP 31758",349747,"Complete","IP31758","serovar 1b",,,"MLST.Yersinia_pseudotuberculosis.2",,,,"2007-07-23T00:00:00Z","17784789","PRJNA16070","SAMN02604043","GCA_000016945.1",,"CP000720,CP000719,CP000718","NC_009708,NC_009705,NC_009704","TIGR","complete",,,,1,2,3,4935125,47.2,4749,4324,,"the stools of a patient presenting with scarlet-like fever","isolated in 1966 from the stools of a patient presenting with scarlet-like fever in the Primorski region of the former USSR","1966","Russia","Primorski region of the former USSR",,,,,,"Human, Homo sapiens",,,,,,,,,"-","Rod","Yes",,"Mesophilic","-",,"Facultative","Multiple","Gastroenteritis","Yersinia pseudotuberculosis strain IP 31758. This strain is serotype 1b and was isolated in 1966 from the stools of a patient presenting with scarlet-like fever in the Primorski region of the former USSR. The strain was sent to the Institut Pasteur by Dr Timofeeva (Antiplague Institute, Irkoutsk).Two libraries were constructed: a small insert library (4-5 kb) and a large insert library (10-12 kb) from which 11,818 and 49,665 reads were sequenced respectively. ",,99.9,98.9,100,,,"Good","2014-12-08T22:13:52.198Z","2015-03-16T03:17:09.594Z"
"373665.6","Yersinia pestis biovar Orientalis str. IP275","Yersinia pestis biovar Orientalis str. IP275",373665,"WGS","IP275",,"biovar Orientalis",,"MLST.Yersinia_spp.79",,,,"2006-03-01T00:00:00Z",,"PRJNA16376","SAMN02404398","GCA_000168235.2",,"AAOS00000000","NZ_AAOS00000000","TIGR","assembly",,,,,1,102,5322065,48.1,5513,4758,,"human case of bubonic plague","isolated in Madagascar in 1995 from a human case of bubonic plague","1995","Madagascar","Madagascar",,,,,,"Human, Homo sapiens",,,,,,,,,"-","Rod",,,"Mesophilic","28-30",,"Facultative","Multiple","Bubonic plague","Yersinia pestis biovar Orientalis IP275. This strain (IP275; 17/95) was isolated in Madagascar in 1995 from a human case of bubonic plague. The patient was originally treated for malaria, but the right inguinal bubo with high-grade fever (temperature, 41oC), delirium, and prostration led to the diagnosis of plague. This strain contains a conjugative plasmid harboring resistance to eight antibiotics.Sequencing (8X coverage) was obtained from two libraries- a medium insert library (4-6 kb; 45,619 reads), and a small insert library (3-4 kb; 13,895 reads).",,99.5,97.9,99.5,,,"Good","2014-12-08T22:13:52.085Z","2015-03-16T03:17:09.594Z"
"404217.5","Yersinia pestis biovar Orientalis str. MG05-1020","Yersinia pestis biovar Orientalis str. MG05-1020",404217,"WGS","MG05-1020",,"biovar Orientalis",,"MLST.Yersinia_spp.79",,,,"2007-03-26T00:00:00Z",,"PRJNA17689","SAMN02404403","GCA_000169635.1",,"AAYS00000000","NZ_AAYS00000000","TIGR","assembly",,,,,,80,4977609,47.6,5144,4396,,"pus collected from a blister on the abdomen of an 8 year old male patient (infection is presumed to have occurred at the site of the flea bite)","isolated from pus collected from a blister on the abdomen of an 8 year old male patient (infection is presumed to have occurred at the site of the flea bite)",,,,,,,,,"Human, Homo sapiens","male","8",,,,,,,"-","Rod",,,"Mesophilic","-",,"Facultative","Multiple","Bubonic plague","Yersinia pestis biovar Orientalis str. MG05-1020.  Yersinia pestis biovar Orientalis str. MG05-1020 was isolated from pus collected from a blister on the abdomen of an 8 year old male patient (infection is presumed to have occurred at the site of the flea bite). The culture was confirmed at Chapa Hospital in Antananarivo, Madagascar. The isolate is positive for anti-F1 direct fluorescent antibody and was lysed by Y. pestis-specific bacteriophage. MG05-1020 is sensitive to chloramphenicol, trimethoprim/sulfamethoxazole, ciprofloxacin, gentamicin, streptomycin, and doxycycline. Virulence studies showed that 3.36 x 103 cfu killed mice within four days. This organism is being sequenced for comparative genome analysis of Yersinia pestis strains isolated from different parts of the world.",,99.9,98.7,100,,,"Good","2014-12-08T22:13:52.105Z","2015-03-16T03:17:09.594Z"
"404218.5","Yersinia pestis biovar Antiqua str. UG05-0454","Yersinia pestis biovar Antiqua str. UG05-0454",404218,"WGS","UG05-0454",,"biovar Antiqua",,"MLST.Yersinia_spp.79",,,,"2007-03-26T00:00:00Z",,"PRJNA17691","SAMN02404404","GCA_000169615.1",,"AAYR00000000","NZ_AAYR00000000","TIGR","assembly",,,,,,98,4838246,47.7,5052,4188,,"bubo aspirate from a 10 year old female patient","isolated from a bubo aspirate from a 10 year old female patient",,,,,,,,,"Human, Homo sapiens","female","10",,,,,,,"-","Rod",,,"Mesophilic","-",,"Facultative","Multiple","Bubonic plague","Yersinia pestis biovar Antiqua str. UG05-045. Yersinia pestis biovar Antiqua str. UG05-045 was isolated from a bubo aspirate from a 10 year old female patient. The culture was confirmed at the CDC central laboratory in Arua, Uganda. The isolate is positive for anti-F1 direct fluorescent antibody and was lysed by Y. pestis-specific bacteriophage. UG05-0454 is sensitive to chloramphenicol, trimethoprim/sulfamethoxazole, ciprofloxacin, gentamicin, streptomycin, and doxycycline. Virulence studies showed that 3.21 x 103 cfu killed mice within four days. This organism is being sequenced for comparative genome analysis of Yersinia pestis strains isolated from different parts of the world.",,99.9,98.2,100,3,,"Good","2014-12-08T22:13:51.943Z","2015-03-16T03:17:09.594Z"
"527012.3","Yersinia kristensenii ATCC 33638","Yersinia kristensenii ATCC 33638",527012,"WGS","ATCC 33638",,,,,,"ATCC 33638","Yes","2009-06-01T00:00:00Z",,"PRJNA29757","SAMN00005357","GCA_000173715.1","SRR031601","ACCA00000000","NZ_ACCA00000000","Naval Medical Research Center","assembly",,"30.7X",,,,153,5042394,47.4,4723,4542,,"human urine","isolated from human urine",,,,,,,,,"Human, Homo sapiens",,,,,,,,,"-","Rod","Yes",,"Mesophilic","-",,"Facultative","Multiple","Gastroenteritis","Yersinia  kristensenii ATCC 33638.  Yersinia  kristensenii ATCC 33638 was isolated from human urine. This is the type strain and will be used for comparative analysis with other Yersinia  kristensenii strains.",,99.4,92.8,100,6.6,,"Good","2014-12-08T22:13:51.109Z","2015-03-16T03:17:09.594Z"
"547048.4","Yersinia pestis biovar Medievalis str. Harbin 35","Yersinia pestis biovar Medievalis str. Harbin 35",547048,"Complete","Harbin 35","Medievalis",,,"MLST.Yersinia_spp.79",,,,"2011-01-25T00:00:00Z",,"PRJNA30505","SAMN02603222","GCA_000186725.1",,"CP001608.1,CP001611.1,CP001609.1,CP001610.1","NC_017265.1,NC_017263.1,NC_017266.1,NC_017264.1","Los Alamos National Lab","complete","Sanger",,,1,3,4,4709501,48,4996,,,"human isolate from China",,,"China","China",,,,,,"Human, Homo sapiens",,,,,,,,,,"Rod-shaped","Motile","Nonsporulating","Mesophile",,,"Facultative","Host","Bubonic plague;Pneumonic plague","Animal Pathogen, Human Pathogen, Medical, Biothreat",,99.9,97.9,100,0.3,,"Good","2014-12-08T22:13:51.962Z","2015-03-16T03:17:09.594Z"
