qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|445986.17.peg.4|BafACA1_P04	CC	0016021	integral component of membrane	0.8068022070272194	0.435121789601	1
fig|445986.17.peg.4|BafACA1_P04	CC	0031224	intrinsic component of membrane	0.8049406232023397	0.434971237641	2
fig|445986.17.peg.4|BafACA1_P04	CC	0044425	membrane part	0.7795985013823177	0.432904159014	3
fig|445986.17.peg.4|BafACA1_P04	CC	0016020	membrane	0.6768874492700794	0.424160642759	4
fig|445986.17.peg.7|BafACA1_P07	MF	0016491	oxidoreductase activity	2.772573919040459	0.546473213649	1
fig|445986.17.peg.7|BafACA1_P07	BP	0055114	oxidation-reduction process	2.465701820323583	0.532701074791	1
fig|445986.17.peg.7|BafACA1_P07	MF	0003824	catalytic activity	0.6214538134514916	0.419164560486	2
fig|445986.17.peg.7|BafACA1_P07	BP	0008152	metabolic process	0.5094240831977771	0.40833497635	2
fig|445986.17.peg.16|BafACA1_P16	CC	0016021	integral component of membrane	0.8068876814350197	0.435128698005	1
fig|445986.17.peg.16|BafACA1_P16	CC	0031224	intrinsic component of membrane	0.8050259003898379	0.43497813807	2
fig|445986.17.peg.16|BafACA1_P16	CC	0044425	membrane part	0.7796810937694568	0.43291094995	3
fig|445986.17.peg.16|BafACA1_P16	CC	0016020	membrane	0.6769591602214995	0.424166970554	4
fig|445986.17.peg.23|BafACA1_P23	CC	0016021	integral component of membrane	0.8090254954496967	0.435301366308	1
fig|445986.17.peg.23|BafACA1_P23	MF	0016874	ligase activity	0.5156010319339606	0.408961388732	1
fig|445986.17.peg.23|BafACA1_P23	CC	0031224	intrinsic component of membrane	0.8071587816961564	0.435150607054	2
fig|445986.17.peg.23|BafACA1_P23	MF	0003824	catalytic activity	0.06585949749940144	0.341962828934	2
fig|445986.17.peg.23|BafACA1_P23	CC	0044425	membrane part	0.7817468251067786	0.433080682284	3
fig|445986.17.peg.23|BafACA1_P23	CC	0016020	membrane	0.6787527342385321	0.424325127152	4
fig|445986.17.peg.24|BafACA1_P24	MF	0016874	ligase activity	4.880010159598821	0.625457617829	1
fig|445986.17.peg.24|BafACA1_P24	MF	0003824	catalytic activity	0.62334052299631	0.419338183778	2
fig|445986.17.peg.27|BafACA1_P27	CC	0016021	integral component of membrane	0.8079704070736319	0.435216176818	1
fig|445986.17.peg.27|BafACA1_P27	CC	0031224	intrinsic component of membrane	0.806106127789702	0.435065515902	2
fig|445986.17.peg.27|BafACA1_P27	CC	0044425	membrane part	0.7807273121336586	0.432996941315	3
fig|445986.17.peg.27|BafACA1_P27	CC	0016020	membrane	0.6778675407259108	0.424247097312	4
fig|445986.17.peg.28|BafACA1_P28	CC	0016021	integral component of membrane	0.8092264547934904	0.435317585782	1
fig|445986.17.peg.28|BafACA1_P28	CC	0031224	intrinsic component of membrane	0.8073592773542281	0.435166807805	2
fig|445986.17.peg.28|BafACA1_P28	CC	0044425	membrane part	0.7819410085161641	0.433096625969	3
fig|445986.17.peg.28|BafACA1_P28	CC	0016020	membrane	0.6789213342453773	0.424339983479	4
fig|445986.17.peg.30|BafACA1_P30	CC	0009279	cell outer membrane	6.529672957290364	0.675732823542	1
fig|445986.17.peg.30|BafACA1_P30	CC	0044462	external encapsulating structure part	6.527657413497499	0.675675554929	2
fig|445986.17.peg.30|BafACA1_P30	CC	0030312	external encapsulating structure	6.273426123398685	0.668379658349	3
fig|445986.17.peg.30|BafACA1_P30	CC	0030313	cell envelope	6.172840292823987	0.665452323357	4
fig|445986.17.peg.30|BafACA1_P30	CC	0019867	outer membrane	6.071879182421936	0.662489982641	5
fig|445986.17.peg.30|BafACA1_P30	CC	0031975	envelope	4.270689265330349	0.6047651806	6
fig|445986.17.peg.30|BafACA1_P30	CC	0071944	cell periphery	2.931055511306306	0.553287128764	7
fig|445986.17.peg.30|BafACA1_P30	CC	0044464	cell part	0.9289182687819976	0.444644349716	8
fig|445986.17.peg.30|BafACA1_P30	CC	0005623	cell	0.8923657050229471	0.44186334005	9
fig|445986.17.peg.30|BafACA1_P30	CC	0016020	membrane	0.6781817914054847	0.424274804351	10
fig|445986.17.peg.31|BafACA1_P31	MF	0003677	DNA binding	3.0760364484978076	0.559360950059	1
fig|445986.17.peg.31|BafACA1_P31	MF	0003676	nucleic acid binding	2.1453820142029696	0.517376220628	2
fig|445986.17.peg.31|BafACA1_P31	MF	1901363	heterocyclic compound binding	1.2360455559383066	0.466129854419	3
fig|445986.17.peg.31|BafACA1_P31	MF	0097159	organic cyclic compound binding	1.2357242088701654	0.466108868792	4
fig|445986.17.peg.31|BafACA1_P31	MF	0005488	binding	0.8584166072932171	0.439228925024	5
fig|445986.17.peg.34|BafACA1_P34	MF	0000166	nucleotide binding	2.4201695666087484	0.530586103556	1
fig|445986.17.peg.34|BafACA1_P34	MF	1901265	nucleoside phosphate binding	2.420169480239013	0.530586099525	2
fig|445986.17.peg.34|BafACA1_P34	MF	0036094	small molecule binding	2.2542106124329417	0.522703698387	3
fig|445986.17.peg.34|BafACA1_P34	MF	1901363	heterocyclic compound binding	1.2326404453881703	0.465907344174	4
fig|445986.17.peg.34|BafACA1_P34	MF	0097159	organic cyclic compound binding	1.232319983580517	0.465886387473	5
fig|445986.17.peg.34|BafACA1_P34	MF	0005488	binding	0.8560518049347092	0.439043494243	6
fig|445986.17.peg.36|BafACA1_P36	CC	0016021	integral component of membrane	0.8092233806853126	0.435317337685	1
fig|445986.17.peg.36|BafACA1_P36	CC	0031224	intrinsic component of membrane	0.8073562103391272	0.435166559995	2
fig|445986.17.peg.36|BafACA1_P36	CC	0044425	membrane part	0.7819380380605709	0.433096382091	3
fig|445986.17.peg.36|BafACA1_P36	CC	0016020	membrane	0.678918755143306	0.424339756233	4
fig|445986.17.peg.38|BafACA1_P38	CC	0016021	integral component of membrane	0.807297938435148	0.435161851619	1
fig|445986.17.peg.38|BafACA1_P38	CC	0031224	intrinsic component of membrane	0.8054352107790264	0.435011253414	2
fig|445986.17.peg.38|BafACA1_P38	CC	0044425	membrane part	0.7800775177500756	0.432943539837	3
