qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|445984.3.peg.2|BBUBOL26_F02	MF	0003886	DNA (cytosine-5-)-methyltransferase activity	11.880498795062644	0.805176803974	1
fig|445984.3.peg.2|BBUBOL26_F02	BP	0090116	C-5 methylation of cytosine	11.660699845850264	0.800525575458	1
fig|445984.3.peg.2|BBUBOL26_F02	BP	0032776	DNA methylation on cytosine	11.057754615226342	0.787536497029	2
fig|445984.3.peg.2|BBUBOL26_F02	MF	0009008	DNA-methyltransferase activity	10.016653721672524	0.764244895609	2
fig|445984.3.peg.2|BBUBOL26_F02	BP	0006306	DNA methylation	8.759925474784115	0.734450926912	3
fig|445984.3.peg.2|BBUBOL26_F02	MF	0008757	S-adenosylmethionine-dependent methyltransferase activity	6.780575210290028	0.682794086679	3
fig|445984.3.peg.2|BBUBOL26_F02	BP	0006305	DNA alkylation	8.759925474784115	0.734450926912	4
fig|445984.3.peg.2|BBUBOL26_F02	MF	0008168	methyltransferase activity	5.179788576345027	0.635162841703	4
fig|445984.3.peg.2|BBUBOL26_F02	BP	0044728	DNA methylation or demethylation	8.707542456751137	0.733164077744	5
fig|445984.3.peg.2|BBUBOL26_F02	MF	0140097	catalytic activity, acting on DNA	5.129044306336391	0.633540153072	5
fig|445984.3.peg.2|BBUBOL26_F02	BP	0006304	DNA modification	7.940347534735969	0.713853595473	6
fig|445984.3.peg.2|BBUBOL26_F02	MF	0016741	transferase activity, transferring one-carbon groups	5.022818856179053	0.630117102897	6
fig|445984.3.peg.2|BBUBOL26_F02	BP	0043414	macromolecule methylation	6.282722867846139	0.668649031503	7
fig|445984.3.peg.2|BBUBOL26_F02	MF	0016740	transferase activity	2.2940864954714026	0.524623435194	7
fig|445984.3.peg.2|BBUBOL26_F02	BP	0032259	methylation	4.956222406323971	0.62795258737	8
fig|445984.3.peg.2|BBUBOL26_F02	MF	0003824	catalytic activity	0.6230759409999407	0.419313851637	8
fig|445984.3.peg.2|BBUBOL26_F02	BP	0006259	DNA metabolic process	4.14628919464381	0.600362613366	9
fig|445984.3.peg.2|BBUBOL26_F02	BP	0043412	macromolecule modification	3.7248740057988803	0.584935022185	10
fig|445984.3.peg.2|BBUBOL26_F02	BP	0090304	nucleic acid metabolic process	2.8646508073749875	0.550455056017	11
fig|445984.3.peg.2|BBUBOL26_F02	BP	0006139	nucleobase-containing compound metabolic process	2.4066451492158	0.529954069767	12
fig|445984.3.peg.2|BBUBOL26_F02	BP	0006725	cellular aromatic compound metabolic process	2.1749879262047727	0.518838640716	13
fig|445984.3.peg.2|BBUBOL26_F02	BP	0046483	heterocycle metabolic process	2.168159511938317	0.518502230383	14
fig|445984.3.peg.2|BBUBOL26_F02	BP	1901360	organic cyclic compound metabolic process	2.1282715842632474	0.516526426448	15
fig|445984.3.peg.2|BBUBOL26_F02	BP	0044260	cellular macromolecule metabolic process	2.0090268123697483	0.510506687564	16
fig|445984.3.peg.2|BBUBOL26_F02	BP	0034641	cellular nitrogen compound metabolic process	1.7559700060094676	0.497108902797	17
fig|445984.3.peg.2|BBUBOL26_F02	BP	0043170	macromolecule metabolic process	1.5983398838455383	0.488269778844	18
fig|445984.3.peg.2|BBUBOL26_F02	BP	0006807	nitrogen compound metabolic process	1.188980045729673	0.463026605039	19
fig|445984.3.peg.2|BBUBOL26_F02	BP	0044238	primary metabolic process	1.0763180199836218	0.455338825898	20
fig|445984.3.peg.2|BBUBOL26_F02	BP	0071704	organic substance metabolic process	0.9380544638835981	0.445330863555	21
fig|445984.3.peg.2|BBUBOL26_F02	BP	0044237	cellular metabolic process	0.9377591025028349	0.445308721879	22
fig|445984.3.peg.2|BBUBOL26_F02	BP	0009987	cellular process	0.6785260534328112	0.42430515008	23
fig|445984.3.peg.2|BBUBOL26_F02	BP	0008152	metabolic process	0.510753789157113	0.408470142946	24
fig|445984.3.peg.4|BBUBOL26_F04	CC	0016021	integral component of membrane	0.8087769328845477	0.435281301981	1
fig|445984.3.peg.4|BBUBOL26_F04	CC	0031224	intrinsic component of membrane	0.8069107926545385	0.435130565888	2
fig|445984.3.peg.4|BBUBOL26_F04	CC	0044425	membrane part	0.781506643558436	0.433060959121	3
fig|445984.3.peg.4|BBUBOL26_F04	CC	0016020	membrane	0.6785441962855588	0.424306749107	4
fig|445984.3.peg.17|BBUBOL26_F18	BP	0006323	DNA packaging	9.402966049859229	0.74994499924	1
fig|445984.3.peg.17|BBUBOL26_F18	BP	0071103	DNA conformation change	6.717002780067743	0.681017470086	2
fig|445984.3.peg.17|BBUBOL26_F18	BP	0051276	chromosome organization	6.148343900888745	0.664735804325	3
fig|445984.3.peg.17|BBUBOL26_F18	BP	0006996	organelle organization	5.297881677095534	0.638908694252	4
fig|445984.3.peg.17|BBUBOL26_F18	BP	0016043	cellular component organization	4.101886603788991	0.598775227354	5
fig|445984.3.peg.17|BBUBOL26_F18	BP	0071840	cellular component organization or biogenesis	3.8255970656788065	0.588698619644	6
fig|445984.3.peg.17|BBUBOL26_F18	BP	0009987	cellular process	0.6789906433374717	0.424346090171	7
fig|445984.3.peg.19|BBUBOL26_F20	CC	0016021	integral component of membrane	0.808014905630921	0.435219770824	1
fig|445984.3.peg.19|BBUBOL26_F20	CC	0031224	intrinsic component of membrane	0.8061505236727622	0.43506910576	2
fig|445984.3.peg.19|BBUBOL26_F20	CC	0044425	membrane part	0.7807703102914153	0.433000474211	3
fig|445984.3.peg.19|BBUBOL26_F20	CC	0016020	membrane	0.6779048739343196	0.424250389265	4
fig|445984.3.peg.20|BBUBOL26_F21	CC	0016021	integral component of membrane	0.8080983678537923	0.435226511535	1
fig|445984.3.peg.20|BBUBOL26_F21	CC	0031224	intrinsic component of membrane	0.8062337933181681	0.435075838689	2
fig|445984.3.peg.20|BBUBOL26_F21	CC	0044425	membrane part	0.7808509583403495	0.433007100305	3
fig|445984.3.peg.20|BBUBOL26_F21	CC	0016020	membrane	0.6779748967114732	0.42425656346	4
fig|445984.3.peg.24|BBUBOL26_F25	CC	0016021	integral component of membrane	0.8085181269372893	0.435260407517	1
fig|445984.3.peg.24|BBUBOL26_F25	CC	0031224	intrinsic component of membrane	0.8066525838659903	0.435109695544	2
fig|445984.3.peg.24|BBUBOL26_F25	CC	0044425	membrane part	0.7812565640136926	0.433040419936	3
fig|445984.3.peg.24|BBUBOL26_F25	CC	0016020	membrane	0.6783270643838737	0.424287610694	4
fig|445984.3.peg.25|BBUBOL26_F26	CC	0016021	integral component of membrane	0.8078885337227645	0.43520956391	1
fig|445984.3.peg.25|BBUBOL26_F26	CC	0031224	intrinsic component of membrane	0.806024443350199	0.435058910628	2
fig|445984.3.peg.25|BBUBOL26_F26	CC	0044425	membrane part	0.7806481993832429	0.43299044085	3
fig|445984.3.peg.25|BBUBOL26_F26	CC	0016020	membrane	0.6777988509737645	0.424241040179	4
fig|445984.3.peg.29|BBUBOL26_F29	CC	0016021	integral component of membrane	0.8051333495876997	0.434986832085	1
fig|445984.3.peg.29|BBUBOL26_F29	CC	0031224	intrinsic component of membrane	0.8032756164191375	0.434836435912	2
fig|445984.3.peg.29|BBUBOL26_F29	CC	0044425	membrane part	0.777985914372096	0.432771496252	3
fig|445984.3.peg.29|BBUBOL26_F29	CC	0016020	membrane	0.6754873184256259	0.424037027589	4
fig|445984.3.peg.30|BBUBOL26_F30	CC	0016021	integral component of membrane	0.80919899717956	0.43531536979	1
fig|445984.3.peg.30|BBUBOL26_F30	CC	0031224	intrinsic component of membrane	0.8073318830949212	0.435164594372	2
fig|445984.3.peg.30|BBUBOL26_F30	CC	0044425	membrane part	0.7819144767163189	0.433094447657	3
fig|445984.3.peg.30|BBUBOL26_F30	CC	0016020	membrane	0.6788982979744121	0.424337953728	4
fig|445984.3.peg.31|BBUBOL26_F31	CC	0016021	integral component of membrane	0.8092080392781734	0.435316099545	1
fig|445984.3.peg.31|BBUBOL26_F31	CC	0031224	intrinsic component of membrane	0.80734090433015	0.435165323284	2
fig|445984.3.peg.31|BBUBOL26_F31	CC	0044425	membrane part	0.7819232139340245	0.433095165004	3
fig|445984.3.peg.31|BBUBOL26_F31	CC	0016020	membrane	0.6789058840754579	0.424338622151	4
fig|445984.3.peg.34|BBUBOL26_K02	MF	0008168	methyltransferase activity	5.179764677667336	0.635162079352	1
fig|445984.3.peg.34|BBUBOL26_K02	BP	0032259	methylation	4.956199539143176	0.627951841653	1
fig|445984.3.peg.34|BBUBOL26_K02	MF	0016741	transferase activity, transferring one-carbon groups	5.022795681733384	0.630116352186	2
fig|445984.3.peg.34|BBUBOL26_K02	BP	0008152	metabolic process	0.5107514326246008	0.408469903556	2
fig|445984.3.peg.34|BBUBOL26_K02	MF	0016740	transferase activity	2.294075910940211	0.524622927848	3
fig|445984.3.peg.34|BBUBOL26_K02	MF	0003676	nucleic acid binding	2.144097943405647	0.517312564786	4
fig|445984.3.peg.34|BBUBOL26_K02	MF	1901363	heterocyclic compound binding	1.2353057482993717	0.466081537059	5
fig|445984.3.peg.34|BBUBOL26_K02	MF	0097159	organic cyclic compound binding	1.2349845935663872	0.466060557713	6
fig|445984.3.peg.34|BBUBOL26_K02	MF	0005488	binding	0.8579028210816873	0.439188659347	7
fig|445984.3.peg.34|BBUBOL26_K02	MF	0003824	catalytic activity	0.6230730662318162	0.419313587232	8
fig|445984.3.peg.39|BBUBOL26_K06	CC	0016021	integral component of membrane	0.8082037508401031	0.435235022148	1
fig|445984.3.peg.39|BBUBOL26_K06	CC	0031224	intrinsic component of membrane	0.8063389331479022	0.435084339478	2
fig|445984.3.peg.39|BBUBOL26_K06	CC	0044425	membrane part	0.7809527880298117	0.433015466208	3
fig|445984.3.peg.39|BBUBOL26_K06	CC	0016020	membrane	0.678063310476556	0.424264358809	4
fig|445984.3.peg.43|BBUBOL26_K10	CC	0016021	integral component of membrane	0.8090691581626624	0.435304890507	1
fig|445984.3.peg.43|BBUBOL26_K10	CC	0031224	intrinsic component of membrane	0.8072023436634876	0.435154127185	2
fig|445984.3.peg.43|BBUBOL26_K10	CC	0044425	membrane part	0.7817890156031577	0.433084146558	3
fig|445984.3.peg.43|BBUBOL26_K10	CC	0016020	membrane	0.6787893661938615	0.424328355163	4
