qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|272944.4.peg.1|RC0001	MF	0043531	ADP binding	9.309818113070623	0.747734160839	1
fig|272944.4.peg.1|RC0001	BP	0006470	protein dephosphorylation	7.49676371218743	0.70226077424	1
fig|272944.4.peg.1|RC0001	MF	0016776	phosphotransferase activity, phosphate group as acceptor	7.628914487650417	0.705749509786	2
fig|272944.4.peg.1|RC0001	BP	0016311	dephosphorylation	6.093145794613262	0.663116010404	2
fig|272944.4.peg.1|RC0001	MF	0004674	protein serine/threonine kinase activity	7.2983305654445765	0.696963935692	3
fig|272944.4.peg.1|RC0001	BP	0006468	protein phosphorylation	5.422913627891986	0.64282942039	3
fig|272944.4.peg.1|RC0001	MF	0004672	protein kinase activity	5.3869466700395385	0.641706249382	4
fig|272944.4.peg.1|RC0001	BP	0006464	cellular protein modification process	4.142865782801163	0.600240530238	4
fig|272944.4.peg.1|RC0001	MF	0016773	phosphotransferase activity, alcohol group as acceptor	4.773447835774266	0.621936176467	5
fig|272944.4.peg.1|RC0001	BP	0036211	protein modification process	4.142865782801163	0.600240530238	5
fig|272944.4.peg.1|RC0001	MF	0016301	kinase activity	4.2915382895328165	0.605496731066	6
fig|272944.4.peg.1|RC0001	BP	0043412	macromolecule modification	3.6691877134206217	0.582832398921	6
fig|272944.4.peg.1|RC0001	MF	0140096	catalytic activity, acting on a protein	3.6321385650052838	0.581424633258	7
fig|272944.4.peg.1|RC0001	BP	0016310	phosphorylation	3.5854382375243437	0.5796398803	7
fig|272944.4.peg.1|RC0001	MF	0016772	transferase activity, transferring phosphorus-containing groups	3.602164238886289	0.580280428795	8
fig|272944.4.peg.1|RC0001	BP	0006796	phosphate-containing compound metabolic process	2.839790038697984	0.549386344076	8
fig|272944.4.peg.1|RC0001	MF	0005524	ATP binding	2.965595440262168	0.554747530064	9
fig|272944.4.peg.1|RC0001	BP	0006793	phosphorus metabolic process	2.8102892730465414	0.548112080956	9
fig|272944.4.peg.1|RC0001	MF	0032559	adenyl ribonucleotide binding	2.9544325798113977	0.55427648178	10
fig|272944.4.peg.1|RC0001	BP	0044267	cellular protein metabolic process	2.7961568371087635	0.547499271916	10
fig|272944.4.peg.1|RC0001	MF	0030554	adenyl nucleotide binding	2.949839242234448	0.554082394602	11
fig|272944.4.peg.1|RC0001	BP	0019538	protein metabolic process	2.421551435917974	0.530650582618	11
fig|272944.4.peg.1|RC0001	MF	0035639	purine ribonucleoside triphosphate binding	2.808960691036072	0.548054536854	12
fig|272944.4.peg.1|RC0001	BP	0044260	cellular macromolecule metabolic process	2.0020821128325594	0.510150668697	12
fig|272944.4.peg.1|RC0001	MF	0032555	purine ribonucleotide binding	2.792299156775462	0.547331726726	13
fig|272944.4.peg.1|RC0001	BP	1901564	organonitrogen compound metabolic process	1.6867000933451073	0.493275622857	13
fig|272944.4.peg.1|RC0001	MF	0017076	purine nucleotide binding	2.7871449979651604	0.547107692695	14
fig|272944.4.peg.1|RC0001	BP	0043170	macromolecule metabolic process	1.6045902993279548	0.488628359598	14
fig|272944.4.peg.1|RC0001	MF	0032553	ribonucleotide binding	2.744373937897744	0.545240527786	15
fig|272944.4.peg.1|RC0001	BP	0006807	nitrogen compound metabolic process	1.1885718089365667	0.462999421953	15
fig|272944.4.peg.1|RC0001	MF	0097367	carbohydrate derivative binding	2.6986631267152217	0.543228871726	16
fig|272944.4.peg.1|RC0001	BP	0044238	primary metabolic process	1.079082808423212	0.455532178309	16
fig|272944.4.peg.1|RC0001	MF	0043168	anion binding	2.448875402668726	0.531921781679	17
fig|272944.4.peg.1|RC0001	BP	0044237	cellular metabolic process	0.9325084663486126	0.444914525982	17
fig|272944.4.peg.1|RC0001	MF	0000166	nucleotide binding	2.4465935636200906	0.531815895449	18
fig|272944.4.peg.1|RC0001	BP	0071704	organic substance metabolic process	0.9305125409461834	0.444764389198	18
fig|272944.4.peg.1|RC0001	MF	1901265	nucleoside phosphate binding	2.446593495059971	0.531815892267	19
fig|272944.4.peg.1|RC0001	BP	0008152	metabolic process	0.5015935403578842	0.407535386298	19
fig|272944.4.peg.1|RC0001	MF	0036094	small molecule binding	2.287820684946357	0.524322892736	20
fig|272944.4.peg.1|RC0001	BP	0009987	cellular process	0.4427263373935126	0.40131271697	20
fig|272944.4.peg.1|RC0001	MF	0016740	transferase activity	2.2393572498233825	0.521984280316	21
fig|272944.4.peg.1|RC0001	MF	0043167	ion binding	1.6182953220373506	0.489412167997	22
fig|272944.4.peg.1|RC0001	MF	1901363	heterocyclic compound binding	1.2976547280916775	0.470104070502	23
fig|272944.4.peg.1|RC0001	MF	0097159	organic cyclic compound binding	1.297294777591421	0.470081128572	24
fig|272944.4.peg.1|RC0001	MF	0005488	binding	0.9007476716071023	0.442506020153	25
fig|272944.4.peg.1|RC0001	MF	0003824	catalytic activity	0.6216207779044065	0.419179935908	26
fig|272944.4.peg.2|RC0002	BP	0006662	glycerol ether metabolic process	10.375118212888971	0.772395448221	1
fig|272944.4.peg.2|RC0002	MF	0015035	protein disulfide oxidoreductase activity	9.101856921607148	0.742758002498	1
fig|272944.4.peg.2|RC0002	CC	0009536	plastid	0.09116886086907204	0.348541951832	1
