species_id	genus	species	gram_profile	pathogen	total_cds	biofilm	antibiotic_degradation	quorum_sensing	siderophores	secretion_system	secretome	is_victor_vf
Acidaminococcus_intestini_54097	Acidaminococcus	Acidaminococcus intestini	n	0	2393	2	7	1	2	2	10	0
Actinomyces_odontolyticus_57475	Actinomyces	Actinomyces odontolyticus	p	0	2022	5	2	1	3	0	42	0
Actinomyces_viscosus_57672	Actinomyces	Actinomyces viscosus	p	0	2591	4	5	1	8	0	54	1
Akkermansia_muciniphila_55290	Akkermansia	Akkermansia muciniphila	n	0	2498	4	4	0	0	3	22	0
Anaerostipes_hadrus_55206		butyrate-producing bacterium SSC/2	p	0	3007	4	1	2	1	0	39	0
Bacteroides_ovatus_58035	Bacteroides	Bacteroides ovatus	n	0	6590	12	7	0	10	2	86	1
Bacteroides_thetaiotaomicron_56941	Bacteroides	Bacteroides sp. 1_1_6	n	0	5209	9	6	0	8	1	62	2
Bacteroides_uniformis_57318	Bacteroides	Bacteroides uniformis	n	0	4110	4	5	1	3	0	28	1
Bacteroides_vulgatus_57955	Bacteroides	Bacteroides vulgatus	n	0	4303	7	4	1	3	0	35	1
Bifidobacterium_longum_57796	Bifidobacterium	Bifidobacterium longum subsp. infantis	p	0	2058	2	1	1	0	0	21	0
Campylobacter_concisus_59746	Campylobacter	Campylobacter concisus	n	0	2064	1	4	1	2	4	25	2
Campylobacter_showae_58485	Campylobacter	Campylobacter showae	n	0	2518	1	8	1	11	2	34	1
Capnocytophaga_gingivalis_61780	Capnocytophaga	Capnocytophaga gingivalis	n	0	2425	4	1	1	4	0	12	0
Clostridiales_bacterium_56470		Clostridiales bacterium VE202-03	p	0	4857	4	4	0	0	1	70	1
Clostridium_leptum_61499	Ruminiclostridium	[Clostridium] leptum	p	0	3105	1	2	1	1	0	43	0
Coprococcus_comes_61587	Coprococcus	Coprococcus comes	p	0	3218	2	2	1	1	0	41	0
Corynebacterium_matruchotii_57066	Corynebacterium	Corynebacterium matruchotii	OM+	0	2559	5	0	0	8	0	34	1
