Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1001745.3","Streptococcus pneumoniae 07AR0125","Streptococcus pneumoniae 07AR0125",1001745,"WGS","07AR0125","serotype 6C",,,"MLST.Streptococcus_pneumoniae.1292",,,,"2011-04-11T00:00:00Z","21551297","PRJNA64979","SAMN02472135","GCA_000203715.2",,"AFBY00000000","-","Yale University","assembly","Solexa paired-end sequencing",">30x","Velvet v. 0.7",,,346,2024028,39.6,2008,,,"blood sample from a patient with meningitis.","blood sample from a patient with meningitis.",,"United States","USA: Massachusetts",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,"-",,,"Host","Meningitis","Project description not provided.",,98.6,97.9,96.4,0.3,,"Good","2014-12-08T22:13:32.681Z","2015-03-16T03:17:09.594Z"
"1054460.4","Streptococcus pseudopneumoniae IS7493","Streptococcus pseudopneumoniae IS7493",1054460,"Complete","IS7493",,,,,,,,"2011-07-29T00:00:00Z","21994930","PRJNA69547","SAMN02603728","GCA_000221985.1",,"CP002925.1,CP002926.1","NC_015875.1,NC_015876.1",,,"Genome Sequencer FLX",,,1,,1,2190731,0.395,2242,2230,,"sputum of a patient with human immunodeficiency virus (HIV) who had documented pneumonia","Isolate IS7493 was obtained from the sputum of a patient with human immunodeficiency virus (HIV) who had documented pneumonia",,"Canada","Canada: Ontario",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,"Host","Pneumonia","-",,99.9,99.6,99.3,0.2,,"Good","2014-12-08T22:13:35.502Z","2015-03-16T03:17:09.594Z"
"1131627.3","Streptococcus pneumoniae GA60132","Streptococcus pneumoniae GA60132",1131627,"WGS","GA60132","06C",,,"MLST.Streptococcus_pneumoniae.1390","genetic element:Tn6002;clonal complex:CC1390",,,"2012-07-18T00:00:00Z",,"PRJNA80865","SAMN00792353","GCA_000279895.1","SRR413945,SRR413946","ALCV00000000","-","Institute for Genome Sciences","WGS","454 GS FLX Titanium","40x","Celera assembler v. 6.1",,,15,2181559,39.5,2285,2255,,"blood",,"2010","United States","GA",,,,,,"Human, Homo sapiens",,,"pneumonia",,,,"Resistant;Susceptible","AMR Panel",,,,,,,,,,"Pneumonia","Pneumococcal Multidrug Resistance And Vaccine Escape;Comparative genomic analyses of Streptococcus pneumoniae: emergence of multidrug resistant and vaccine replacement serotypes","repository id:2010220987",99.8,98.8,99.8,0.2,,"Good","2014-12-08T22:13:34.541Z","2015-03-16T03:17:09.594Z"
"1131628.3","Streptococcus pneumoniae GA58981","Streptococcus pneumoniae GA58981",1131628,"WGS","GA58981","22F",,,"MLST.Streptococcus_pneumoniae.433","genetic element:Tn6002;clonal complex:CC433",,,"2012-07-18T00:00:00Z",,"PRJNA80867","SAMN00792355","GCA_000279935.1","SRR413965,SRR413966","ALCX00000000","-","Institute for Genome Sciences","WGS","454 GS FLX Titanium","47x","Celera assembler v. 6.1",,,20,2241102,39.4,2342,2296,,"blood",,"2010","United States","GA",,,,,,"Human, Homo sapiens",,,"pneumonia",,,,"Resistant;Susceptible;Intermediate","AMR Panel",,,,,,,,,,"Pneumonia","Pneumococcal Multidrug Resistance And Vaccine Escape;Comparative genomic analyses of Streptococcus pneumoniae: emergence of multidrug resistant and vaccine replacement serotypes","repository id:2010218285",99.6,98.2,99.5,4.7,,"Good","2014-12-08T22:13:34.523Z","2015-03-16T03:17:09.594Z"
"1131629.3","Streptococcus pneumoniae GA62681","Streptococcus pneumoniae GA62681",1131629,"WGS","GA62681","15C",,,,"genetic element:Mega_I_III;clonal complex:ST199",,,"2012-07-18T00:00:00Z",,"PRJNA80869","SAMN00792349","GCA_000279915.1","SRR413938,SRR413939","ALCW00000000","-","Institute for Genome Sciences","WGS","454 GS FLX Titanium","39x","Celera assembler v. 6.1",,,14,2140079,39.7,2204,2185,,"blood",,"2011","United States","GA",,,,,,"Human, Homo sapiens",,,"bacteremia",,,,"Resistant;Susceptible","AMR Panel",,,,,,,,,,"Bacteremia","Pneumococcal Multidrug Resistance And Vaccine Escape;Comparative genomic analyses of Streptococcus pneumoniae: emergence of multidrug resistant and vaccine replacement serotypes","repository id:2011211342",99.1,98.4,99.5,,,"Good","2014-12-08T22:13:34.598Z","2015-03-16T03:17:09.594Z"
"1131630.3","Streptococcus pneumoniae GA62331","Streptococcus pneumoniae GA62331",1131630,"WGS","GA62331","23A",,,,"genetic element:Mega_2_II;clonal complex:CC156",,,"2012-07-18T00:00:00Z",,"PRJNA80871","SAMN00792351","GCA_000279875.1","SRR413942,SRR413943","ALCU00000000","-","Institute for Genome Sciences","WGS","454 GS FLX Titanium","37x","Celera assembler v. 6.1",,,11,2189095,39.7,2333,2266,,"blood",,"2011","United States","GA",,,,,,"Human, Homo sapiens",,,"pneumonia",,,,"Resistant;Susceptible;Intermediate","AMR Panel",,,,,,,,,,"Pneumonia","Pneumococcal Multidrug Resistance And Vaccine Escape;Comparative genomic analyses of Streptococcus pneumoniae: emergence of multidrug resistant and vaccine replacement serotypes","repository id:2011207507",99.6,98.8,100,0.6,,"Good","2014-12-08T22:13:34.589Z","2015-03-16T03:17:09.594Z"
"1159081.3","Streptococcus pneumoniae PCS8106","Streptococcus pneumoniae PCS8106",1159081,"WGS","PCS8106",,,,"MLST.Streptococcus_pneumoniae.227",," ",,"2013-01-29T00:00:00Z",,"PRJNA89165","SAMN02299518","GCA_000334535.1",,"AKQV00000000","-","Washington University","WGS","454","16.7x","Newbler v. 2.0.01.14",,,45,2136167,39.5,2318,2415,,"blood sample","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Invasive pneumococcal disease","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.;many frameshifted proteins",,99.4,98.5,100,,,"Good","2014-12-08T22:13:34.834Z","2015-03-16T03:17:09.594Z"
"1159082.3","Streptococcus pneumoniae PCS8203","Streptococcus pneumoniae PCS8203",1159082,"WGS","PCS8203",,,,,," ",,"2013-01-29T00:00:00Z",,"PRJNA89167","SAMN02299519","GCA_000334555.1",,"AKQW00000000","-","Washington University","WGS","454","16.7x","Newbler v. 2.0.01.14",,,38,2141348,39.6,2296,2388,,"blood sample","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Invasive pneumococcal disease","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.;many frameshifted proteins",,99.4,98.3,100,0.3,,"Good","2014-12-08T22:13:34.856Z","2015-03-16T03:17:09.594Z"
"1159084.3","Streptococcus pneumoniae PCS125219","Streptococcus pneumoniae PCS125219",1159084,"WGS","PCS125219",,,,"MLST.Streptococcus_pneumoniae.618",," ",,"2013-01-29T00:00:00Z",,"PRJNA89171","SAMN02299520","GCA_000334575.1",,"AKQX00000000","-","Washington University","WGS","454","16.7x","Newbler v. 2.0.01.14",,,51,2054290,39.7,2193,2303,,"blood sample","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Invasive pneumococcal disease","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,99.8,99.3,100,,,"Good","2014-12-08T22:13:34.813Z","2015-03-16T03:17:09.594Z"
"1159085.3","Streptococcus pneumoniae PCS70012","Streptococcus pneumoniae PCS70012",1159085,"WGS","PCS70012",,,,"MLST.Streptococcus_pneumoniae.618",," ",,"2013-01-29T00:00:00Z",,"PRJNA89173","SAMN02299521","GCA_000334595.1",,"AKQY00000000","-","Washington University","WGS","454","16.7x","Newbler v. 2.0.01.14",,,48,2088433,40.1,2206,2289,,"blood sample","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Invasive pneumococcal disease","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,99.8,99.3,100,,,"Good","2014-12-08T22:13:34.824Z","2015-03-16T03:17:09.594Z"
"1159086.3","Streptococcus pneumoniae PCS81218","Streptococcus pneumoniae PCS81218",1159086,"WGS","PCS81218",,,,"MLST.Streptococcus_pneumoniae.618",," ",,"2013-01-29T00:00:00Z",,"PRJNA89175","SAMN02299522","GCA_000334615.1",,"AKQZ00000000","-","Washington University","WGS","454","16.7x","Newbler v. 2.0.01.14",,,171,2044356,39.7,2164,2350,,"blood sample","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Invasive pneumococcal disease","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,99.6,99,99.4,0.6,,"Good","2014-12-08T22:13:34.844Z","2015-03-16T03:17:09.594Z"
"1159087.3","Streptococcus pneumoniae PNI0002","Streptococcus pneumoniae PNI0002",1159087,"WGS","PNI0002",,,,"MLST.Streptococcus_pneumoniae.618",," ",,"2013-01-29T00:00:00Z",,"PRJNA89177","SAMN02299523","GCA_000334635.1",,"AKRA00000000","-","Washington University","WGS","454","16.7x","Newbler v. 2.0.01.14",,,32,2102252,39.6,2258,2352,,"blood sample","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Invasive pneumococcal disease","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,99.8,99.2,100,0.3,,"Good","2014-12-08T22:13:34.876Z","2015-03-16T03:17:09.594Z"
"1159088.3","Streptococcus pneumoniae PNI0006","Streptococcus pneumoniae PNI0006",1159088,"WGS","PNI0006",,,,"MLST.Streptococcus_pneumoniae.618",," ",,"2013-01-29T00:00:00Z",,"PRJNA89179","SAMN02299524","GCA_000334655.1",,"AKRB00000000","-","Washington University","WGS","454","16.7x","Newbler v. 2.0.01.14",,,5,2050382,39.8,2193,2285,,"blood sample","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Invasive pneumococcal disease","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,99.8,99.3,100,,,"Good","2014-12-08T22:13:34.885Z","2015-03-16T03:17:09.594Z"
"1159089.3","Streptococcus pneumoniae PNI0007","Streptococcus pneumoniae PNI0007",1159089,"WGS","PNI0007",,,,,," ",,"2013-01-29T00:00:00Z",,"PRJNA89181","SAMN02299525","GCA_000334675.1",,"AKRC00000000","-","Washington University","WGS","454","16.7x","Newbler v. 2.0.01.14",,,162,2071185,39.7,2218,2381,,"blood sample","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Invasive pneumococcal disease","Streptococcus pneumoniae is a member of the Firmicutes division of the domain bacteria and has been isolated from a blood sample taken from a clinical pediatric case of invasive pneumococcal disease.",,99.3,98.5,99.6,1.1,,"Good","2014-12-08T22:13:34.896Z","2015-03-16T03:17:09.594Z"
