Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"198214.7","Shigella flexneri 2a str. 301","Shigella flexneri 2a str. 301",198214,"Complete","301",,,,,,,,"2002-10-18T00:00:00Z","12384590","PRJNA310","SAMN02603599","GCA_000006925.2",,"AE005674,AF386526","NC_004337,NC_004851","Microbial Genome Center of ChMPH","complete",,,,1,1,2,4828821,50.7,5527,4440,,"patient","isolated in 1984 from a patient in Beijing, China","1984","China","China: Beijing",,,,,,"Human, Homo sapiens",,,,,,,,,"-","Rod",,,"Mesophilic","37",,"Facultative","Host-associated","Dysentery","  Shigella flexneri 2a str. 301. This strain was isolated in 1984 from a patient in Beijing, China. It is similar to pathogenic Escherichia coli except for the more numerous insertion sequences and contains a virulence plasmid (pCP301).",,99.6,97.5,100,,,"Good","2014-12-08T22:12:54.946Z","2015-03-16T03:17:09.594Z"
"216599.7","Shigella sonnei 53G","Shigella sonnei 53G",216599,"WGS","53G",,,,,,,,"2011-02-10T00:00:00Z",,"PRJNA48265","SAMN00792435","GCA_000188795.2",,"ADUU00000000","-","Institute for Genome Sciences","assembly","454","16x","Celera Assembler v. 6.0",,,150,5185984,50.74,5802,5761,,,,"1964","Japan",,,,,,,"Human, Homo sapiens",,,,,,,,,,"Rod-shaped","motile","Nonsporulating","Mesophile","-",,"Facultative","Host","Dysenteria;Food poisoning","Shigella sonnei  53G .This strain will be used for comparative genome analysis.;many frameshifted proteins",,99.6,95.8,99.3,6.5,,"Good","2014-12-08T22:12:55.327Z","2015-03-16T03:17:09.594Z"
"344609.11","Shigella boydii CDC 3083-94","Shigella boydii CDC 3083-94",344609,"Complete","BS512","serovar 18",,,,,,,"2008-05-05T00:00:00Z",,"PRJNA15637","SAMN02604039","GCA_000020185.1",,"CP001063,CP001059,CP001060,CP001062,CP001061,CP001058","NC_010658,NC_010657,NC_010659,NC_010660,NC_010672,NC_010656","TIGR","complete",,,,1,5,6,4874659,51,5696,4557,,"12-year-old boy","isolated from a 12-year-old boy in Arizona by Dr Nancy Stockbine",,"United States","USA: Arizona",,,,,,"Human, Homo sapiens",,"12",,,,,,,"-","Rod","Yes","No","Mesophilic","37","Non-halophilic","Facultative","Host-associated","Dysentery","Shigella boydii4 strain BS512. This strain (strain BS512; serotype 18) was originally isolated from a 12-year-old boy in Arizona by Dr Nancy Stockbine. It is a member of Group 1 as determined by limited sequence analysis and can invade HeLa cells. Pathogenicity and virulence have been verified during in vitro experimentation, and multiple plasmids are present in this strain.gDNA for sequencing was isolated from a stock culture provided by Dr Anthony Maurelli from Uniformed Services University of Health Sciences. Two libraries were constructed - a small insert library (4-5 kb) and a large insert library (10-12 kb) from which 20,656 and 47,348 reads were sequenced, respectively.",,98.8,96.5,100,,,"Good","2014-12-08T22:12:54.508Z","2015-03-16T03:17:09.594Z"
"754091.3","Shigella flexneri CCH060","Shigella flexneri CCH060",754091,"WGS","CCH060",,,,,,,,"2012-06-14T00:00:00Z",,"PRJNA48257","SAMN00016949","GCA_000267985.1","SRR059780","AKMW00000000","-","Institute for Genome Sciences","WGS","454","17x","Celera Assembler v. 6.0",,,80,4771765,51.2,5208,5141,,"stool",,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","Shigella flexneri  CCH060.This strain will be used for comparative genome analysis.;many frameshifted proteins",,99,97.5,100,0.4,,"Good","2014-12-08T22:12:55.007Z","2015-03-16T03:17:09.594Z"
"754092.3","Shigella flexneri J1713","Shigella flexneri J1713",754092,"WGS","J1713",,,,,,,,"2011-06-10T00:00:00Z",,"PRJNA48259","SAMN00017129","GCA_000217895.2","SRR060542","AFOW00000000","-","Institute for Genome Sciences","assembly","454","27x","Celera Assembler v. 6.0",,,52,4729738,50.97,5092,5019,,,,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,"Rod-shaped","motile","Nonsporulating","Mesophile","-",,"Facultative","Host","Dysenteria;Food poisoning","Shigella flexneri  J1713 .This strain will be used for comparative genome analysis.;many frameshifted proteins",,99.1,97.1,100,0.7,,"Good","2014-12-08T22:12:55.036Z","2015-03-16T03:17:09.594Z"
"766145.3","Shigella flexneri VA-6","Shigella flexneri VA-6",766145,"WGS","VA-6","3a",,,,,,,"2011-05-13T00:00:00Z",,"PRJNA49069","SAMN00792440","GCA_000213695.2",,"AFGW00000000","-","Institute for Genome Sciences","assembly","454","28x","Celera v. 6.0",,,70,4679117,50.85,5089,5064,,,,,"Bangladesh",,,,,,,"Human, Homo sapiens",,,,,,,,,,"Rod-shaped","motile","Nonsporulating","Mesophile","37C"," ","Facultative","Host","Dysenteria;Food poisoning;Shigellosis","-;many frameshifted proteins",,98.8,96.6,100,0.6,,"Good","2014-12-08T22:12:55.282Z","2015-03-16T03:17:09.594Z"
"766150.3","Shigella flexneri K-315","Shigella flexneri K-315",766150,"WGS","K-315",,,,,,,,"2012-06-14T00:00:00Z",,"PRJNA49079","SAMN00113465","GCA_000268165.1","SRR066117,SRR066118,SRR066119","AKMY00000000","-","Institute for Genome Sciences","WGS","454","24x","Celera Assembler v. 6.0",,,79,4564844,51.1,4987,4996,,"stool",,"1999","Bangladesh","Bangladesh",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","-;many frameshifted proteins",,99.2,95.7,100,3.4,,"Good","2014-12-08T22:13:55.943Z","2015-03-16T03:17:09.594Z"
"766151.3","Shigella flexneri K-404","Shigella flexneri K-404",766151,"WGS","K-404",,,,,,,,"2012-06-14T00:00:00Z",,"PRJNA49081","SAMN00017662","GCA_000268025.1","SRR061724,SRR061725","AKMZ00000000","-","Institute for Genome Sciences","WGS","454","24x","Celera Assembler v. 6.0",,,91,4836578,50.6,5397,5470,,"stool",,"1999","Bangladesh","Bangladesh",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","-;many frameshifted proteins",,99.3,94.2,100,4.8,,"Good","2014-12-08T22:12:55.094Z","2015-03-16T03:17:09.594Z"
"766152.3","Shigella flexneri K-671","Shigella flexneri K-671",766152,"WGS","K-671","1a",,,,,,,"2011-05-12T00:00:00Z",,"PRJNA49083","SAMN00792446","GCA_000213435.2",,"AFHA00000000","-","Institute for Genome Sciences","assembly","454","19x","Celera v. 6.0",,,85,4715291,50.83,5199,5142,,,,,"Bangladesh",,,,,,,"Human, Homo sapiens",,,,,,,,,,"Rod-shaped","motile","Nonsporulating","Mesophile","37C"," ","Facultative","Host","Dysenteria;Food poisoning;Shigellosis","Shigella flexneri K-671, whole genome shotgun sequencing project.;many frameshifted proteins",,99.6,96,100,2.5,,"Good","2014-12-08T22:12:55.105Z","2015-03-16T03:17:09.594Z"
"766153.3","Shigella flexneri K-1770","Shigella flexneri K-1770",766153,"WGS","K-1770",,,,,,,,"2012-06-14T00:00:00Z",,"PRJNA49087","SAMN00017000","GCA_000268245.1","SRR060016,SRR060017","AKMX00000000","-","Institute for Genome Sciences","WGS","454","17.5x","Celera Assembler v. 6.0",,,101,4814276,50.7,5252,5384,,"stool",,"1999","Bangladesh","Bangladesh",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Gastroenteritis","-;many frameshifted proteins",,98.6,94.8,100,1.1,,"Good","2014-12-08T22:12:55.044Z","2015-03-16T03:17:09.594Z"
