qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|216594.6.peg.2|MMAR_p03	MF	0004527	exonuclease activity	7.02994537011	0.689683921009	1
fig|216594.6.peg.2|MMAR_p03	BP	0090305	nucleic acid phosphodiester bond hydrolysis	4.92279866245	0.626860769046	1
fig|216594.6.peg.2|MMAR_p03	MF	0004386	helicase activity	2.52437324446	0.535397772178	4
fig|216594.6.peg.8|MMAR_p08	MF	0000150	recombinase activity	9.31036959182	0.747747282487	1
fig|216594.6.peg.8|MMAR_p08	BP	0015074	DNA integration	6.74937076406	0.681923082265	1
fig|216594.6.peg.8|MMAR_p08	BP	0006310	DNA recombination	5.46341948931	0.644089881449	2
fig|216594.6.peg.8|MMAR_p08	MF	0003677	DNA binding	3.14615338861	0.562247039855	3
fig|216594.6.peg.9|MMAR_p09	BP	0045454	cell redox homeostasis	8.40656396433	0.725693971836	1
fig|216594.6.peg.9|MMAR_p09	MF	0050660	flavin adenine dinucleotide binding	6.01878270877	0.660922173089	1
fig|216594.6.peg.9|MMAR_p09	MF	0016491	oxidoreductase activity	2.77308239039	0.54649538242	2
fig|216594.6.peg.9|MMAR_p09	BP	0098869	cellular oxidant detoxification	0.134407942051	0.357932772036	9
fig|216594.6.peg.9|MMAR_p09	MF	0016209	antioxidant activity	0.140386853555	0.359103875312	18
fig|216594.6.peg.10|MMAR_p10	MF	0018836	alkylmercury lyase activity	15.0059012727	0.850863638566	1
fig|216594.6.peg.10|MMAR_p10	BP	0018942	organometal metabolic process	14.7161431388	0.849138222843	1
fig|216594.6.peg.10|MMAR_p10	BP	0046689	response to mercury ion	11.5512560414	0.798193255446	4
fig|216594.6.peg.10|MMAR_p10	BP	0044248	cellular catabolic process	4.65756075659	0.618061675598	8
fig|216594.6.peg.10|MMAR_p10	BP	1901575	organic substance catabolic process	4.18620019632	0.601782187596	9
fig|216594.6.peg.11|MMAR_p11	MF	0015097	mercury ion transmembrane transporter activity	13.0650315144	0.82953386135	1
fig|216594.6.peg.11|MMAR_p11	BP	0015694	mercury ion transport	12.7577360945	0.823324970852	1
fig|216594.6.peg.11|MMAR_p11	CC	0016021	integral component of membrane	0.786570995413	0.433476192517	1
fig|216594.6.peg.12|MMAR_p12	MF	0016152	mercury (II) reductase activity	13.8562429364	0.84391526792	1
fig|216594.6.peg.12|MMAR_p12	BP	0050787	detoxification of mercury ion	12.1303774311	0.81041259881	1
fig|216594.6.peg.12|MMAR_p12	CC	0016021	integral component of membrane	0.0159269871327	0.32302455475	1
fig|216594.6.peg.12|MMAR_p12	MF	0045340	mercury ion binding	13.233988263	0.832916531271	3
fig|216594.6.peg.12|MMAR_p12	MF	0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	8.76501064936	0.73457564495	5
fig|216594.6.peg.12|MMAR_p12	BP	0045454	cell redox homeostasis	8.32466053107	0.723638123072	6
fig|216594.6.peg.12|MMAR_p12	MF	0050661	NADP binding	7.06602831554	0.690670669375	7
fig|216594.6.peg.12|MMAR_p12	MF	0050660	flavin adenine dinucleotide binding	5.93413147609	0.658408257291	9
fig|216594.6.peg.13|MMAR_p13	MF	0003700	DNA-binding transcription factor activity	4.50878502112	0.613016225573	1
fig|216594.6.peg.13|MMAR_p13	BP	0006355	regulation of transcription, DNA-templated	3.3663117566	0.571105865958	1
fig|216594.6.peg.13|MMAR_p13	MF	0003677	DNA binding	0.476686475874	0.40494968847	3
fig|216594.6.peg.13|MMAR_p13	MF	0008168	methyltransferase activity	0.0380358059623	0.333018022857	8
fig|216594.6.peg.14|MMAR_p14	CC	0016021	integral component of membrane	0.788547097569	0.433637853247	1
fig|216594.6.peg.22|MMAR_p22	MF	0008233	peptidase activity	4.55210461738	0.614493808415	1
fig|216594.6.peg.22|MMAR_p22	BP	0006508	proteolysis	4.15420235626	0.600644613813	1
fig|216594.6.peg.30	BP	0006355	regulation of transcription, DNA-templated	3.49069986245	0.575983181985	1
fig|216594.6.peg.31|MMAR_0001	MF	0003688	DNA replication origin binding	10.6876865286	0.779388237256	1
fig|216594.6.peg.31|MMAR_0001	BP	0006275	regulation of DNA replication	9.73712127263	0.757787317496	1
fig|216594.6.peg.31|MMAR_0001	CC	0005737	cytoplasm	1.8926143739	0.504455011325	1
fig|216594.6.peg.31|MMAR_0001	BP	0006270	DNA replication initiation	9.41915600682	0.750328144149	2
fig|216594.6.peg.31|MMAR_0001	CC	0005618	cell wall	0.0438455021408	0.33510388915	3
fig|216594.6.peg.31|MMAR_0001	MF	0005524	ATP binding	2.80315043913	0.547802720746	6
fig|216594.6.peg.31|MMAR_0001	CC	0005886	plasma membrane	0.0128626478504	0.321167656759	6
fig|216594.6.peg.31|MMAR_0001	MF	0005515	protein binding	0.0264000616123	0.328292235057	23
fig|216594.6.peg.31|MMAR_0001	MF	0016887	ATPase activity	0.0220858284748	0.326278609899	24
fig|216594.6.peg.31|MMAR_0001	BP	0006172	ADP biosynthetic process	0.0747063060007	0.344386723695	35
fig|216594.6.peg.31|MMAR_0001	BP	0016311	dephosphorylation	0.0321677782426	0.330742168792	45
fig|216594.6.peg.32|MMAR_0002	CC	0009360	DNA polymerase III complex	8.81632896045	0.735832248998	1
fig|216594.6.peg.32|MMAR_0002	MF	0008408	3'-5' exonuclease activity	7.95886384262	0.714330375764	1
fig|216594.6.peg.32|MMAR_0002	BP	0071897	DNA biosynthetic process	6.12767065445	0.664130000855	1
fig|216594.6.peg.32|MMAR_0002	MF	0003887	DNA-directed DNA polymerase activity	7.50527090866	0.702486282793	2
fig|216594.6.peg.32|MMAR_0002	BP	0006260	DNA replication	5.71163505517	0.651713876284	2
fig|216594.6.peg.32|MMAR_0002	BP	0090305	nucleic acid phosphodiester bond hydrolysis	4.71804295883	0.620089740516	3
fig|216594.6.peg.32|MMAR_0002	CC	0005737	cytoplasm	1.89940797898	0.504813203955	8
fig|216594.6.peg.32|MMAR_0002	MF	0003677	DNA binding	3.03268119477	0.557559919593	10
fig|216594.6.peg.32|MMAR_0002	CC	0005618	cell wall	0.0407558747782	0.334013098406	10
fig|216594.6.peg.32|MMAR_0002	CC	0005576	extracellular region	0.0274961790601	0.328777023133	12
fig|216594.6.peg.32|MMAR_0002	MF	0042802	identical protein binding	0.0426182687907	0.334675367648	18
fig|216594.6.peg.32|MMAR_0002	BP	0022616	DNA strand elongation	0.056407692829	0.339185441047	30
fig|216594.6.peg.32|MMAR_0002	BP	0046677	response to antibiotic	0.0407668339203	0.334017039247	31
fig|216594.6.peg.33|MMAR_0003	MF	0003697	single-stranded DNA binding	8.37661323695	0.724943348477	1
fig|216594.6.peg.33|MMAR_0003	BP	0009432	SOS response	7.67761728261	0.707027618085	1
fig|216594.6.peg.33|MMAR_0003	CC	0005737	cytoplasm	1.88972172087	0.504302301164	1
fig|216594.6.peg.33|MMAR_0003	MF	0005524	ATP binding	2.79886613182	0.547616871814	3
fig|216594.6.peg.33|MMAR_0003	BP	0006260	DNA replication	5.68250788925	0.65082792596	5
fig|216594.6.peg.33|MMAR_0003	BP	0006281	DNA repair	5.23722952623	0.636990113592	7
fig|216594.6.peg.35|MMAR_0005	MF	0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	8.77450299017	0.734808355559	1
fig|216594.6.peg.35|MMAR_0005	BP	0006265	DNA topological change	7.81616983159	0.710641647538	1
fig|216594.6.peg.35|MMAR_0005	CC	0005694	chromosome	6.20009362027	0.666247813988	1
fig|216594.6.peg.35|MMAR_0005	BP	0006261	DNA-dependent DNA replication	7.05606419548	0.690398436185	2
fig|216594.6.peg.35|MMAR_0005	CC	0005737	cytoplasm	1.85894794313	0.502670386278	6
fig|216594.6.peg.35|MMAR_0005	MF	0003677	DNA binding	2.99971187762	0.556181700138	11
fig|216594.6.peg.35|MMAR_0005	MF	0005524	ATP binding	2.78262904794	0.546911229143	12
fig|216594.6.peg.35|MMAR_0005	MF	0046872	metal ion binding	2.36069172344	0.527793159987	20
fig|216594.6.peg.36|MMAR_0006	MF	0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	8.75224052609	0.734262378591	1
fig|216594.6.peg.36|MMAR_0006	BP	0006265	DNA topological change	7.79633882803	0.710126347645	1
fig|216594.6.peg.36|MMAR_0006	CC	0005694	chromosome	6.18436288752	0.665788867361	1
fig|216594.6.peg.36|MMAR_0006	BP	0006261	DNA-dependent DNA replication	7.1131678283	0.691955990077	2
fig|216594.6.peg.36|MMAR_0006	CC	0005737	cytoplasm	1.87399212043	0.503469843877	6
fig|216594.6.peg.36|MMAR_0006	MF	0003677	DNA binding	2.99210107869	0.555862470776	11
fig|216594.6.peg.36|MMAR_0006	MF	0005524	ATP binding	2.7755690265	0.546603767661	12
fig|216594.6.peg.36|MMAR_0006	BP	0046677	response to antibiotic	0.0504670100926	0.337318982088	29
fig|216594.6.peg.36|MMAR_0006	BP	0016539	intein-mediated protein splicing	0.0116843816662	0.320395295029	32
fig|216594.6.peg.37|MMAR_0007	CC	0016021	integral component of membrane	0.749890088028	0.430437674233	1
fig|216594.6.peg.39|MMAR_0008	MF	0008168	methyltransferase activity	5.12820670562	0.633513301286	1
fig|216594.6.peg.39|MMAR_0008	BP	0032259	methylation	4.88215767577	0.625528186986	1
fig|216594.6.peg.39|MMAR_0008	BP	0008213	protein alkylation	0.150718405382	0.361070224138	3
fig|216594.6.peg.39|MMAR_0008	BP	0008610	lipid biosynthetic process	0.12826515198	0.356702108898	5
fig|216594.6.peg.39|MMAR_0008	MF	0140096	catalytic activity, acting on a protein	0.064236794641	0.341500909104	13
fig|216594.6.peg.40|MMAR_0009	BP	0006355	regulation of transcription, DNA-templated	3.43090320338	0.573649566784	1
fig|216594.6.peg.40|MMAR_0009	MF	0003677	DNA binding	3.14774268328	0.562312082211	1
fig|216594.6.peg.41|MMAR_0010	BP	0008360	regulation of cell shape	6.62700441139	0.678487906553	1
fig|216594.6.peg.41|MMAR_0010	CC	0005887	integral component of plasma membrane	5.92592530448	0.658163605243	1
fig|216594.6.peg.41|MMAR_0010	MF	0005515	protein binding	0.0340597970449	0.331497090579	1
fig|216594.6.peg.41|MMAR_0010	BP	0042546	cell wall biogenesis	6.36756947345	0.671098310465	4
fig|216594.6.peg.41|MMAR_0010	BP	0051301	cell division	5.90909306636	0.657661252097	7
fig|216594.6.peg.41|MMAR_0010	BP	0007049	cell cycle	5.85131022977	0.655931273702	8
fig|216594.6.peg.42|MMAR_0011	MF	0003755	peptidyl-prolyl cis-trans isomerase activity	7.86065757233	0.711795268977	1
fig|216594.6.peg.42|MMAR_0011	BP	0000413	protein peptidyl-prolyl isomerization	7.56760535379	0.7041347586	1
fig|216594.6.peg.42|MMAR_0011	CC	0005737	cytoplasm	0.00971573191769	0.319012133477	1
fig|216594.6.peg.42|MMAR_0011	BP	0006457	protein folding	6.40727530908	0.672238898121	3
fig|216594.6.peg.43|MMAR_0012	CC	0016021	integral component of membrane	0.789175215328	0.433689195795	1
fig|216594.6.peg.44|MMAR_0013	BP	0007049	cell cycle	5.92840374335	0.658237513225	1
fig|216594.6.peg.44|MMAR_0013	CC	0005887	integral component of plasma membrane	5.90799685788	0.65762851128	1
fig|216594.6.peg.44|MMAR_0013	MF	0005515	protein binding	0.0309829255551	0.330258056632	1
fig|216594.6.peg.44|MMAR_0013	BP	0051301	cell division	5.89121554443	0.657126918626	2
fig|216594.6.peg.44|MMAR_0013	BP	0008360	regulation of cell shape	0.0411924381935	0.334169676315	4
fig|216594.6.peg.45|MMAR_0014	CC	0016020	membrane	0.628597352155	0.419820559065	1
fig|216594.6.peg.46|MMAR_0015	BP	0006541	glutamine metabolic process	6.49784304358	0.674827389964	1
fig|216594.6.peg.46|MMAR_0015	MF	0004049	anthranilate synthase activity	1.10681432973	0.45745801382	1
fig|216594.6.peg.46|MMAR_0015	CC	0005886	plasma membrane	0.0129261858419	0.321208279533	1
fig|216594.6.peg.46|MMAR_0015	MF	0046820	4-amino-4-deoxychorismate synthase activity	0.513528321904	0.408751612923	4
fig|216594.6.peg.46|MMAR_0015	BP	0000162	tryptophan biosynthetic process	0.0896726747269	0.34818071513	16
