qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|1313.12055.peg.6|ERS020534_00006	MF	0003677	DNA binding	3.14712283786	0.562286716807	1
fig|1313.12055.peg.7|ERS020534_00007	BP	0015074	DNA integration	6.55073704094	0.676330799401	1
fig|1313.12055.peg.7|ERS020534_00007	MF	0003677	DNA binding	3.0621060476	0.558783656078	1
fig|1313.12055.peg.7|ERS020534_00007	BP	0006310	DNA recombination	5.30263126296	0.63905847084	2
fig|1313.12055.peg.9|ERS020534_00008	MF	0003735	structural constituent of ribosome	4.61787509714	0.616723789779	1
fig|1313.12055.peg.9|ERS020534_00008	CC	0005840	ribosome	3.90464033626	0.591617563762	1
fig|1313.12055.peg.9|ERS020534_00008	BP	0006412	translation	3.76051048189	0.586272358214	1
fig|1313.12055.peg.9|ERS020534_00008	MF	0003723	RNA binding	0.018911412886	0.324667725818	3
fig|1313.12055.peg.9|ERS020534_00008	CC	0005829	cytosol	0.034336799638	0.331605838033	10
fig|1313.12055.peg.9|ERS020534_00008	CC	1990904	ribonucleoprotein complex	0.0297992253476	0.32976508049	12
fig|1313.12055.peg.10|ERS020534_00009	MF	0003735	structural constituent of ribosome	4.61863219137	0.616749366665	1
fig|1313.12055.peg.10|ERS020534_00009	CC	0005840	ribosome	3.90465274767	0.591618019764	1
fig|1313.12055.peg.10|ERS020534_00009	BP	0006412	translation	3.76052243516	0.586272805721	1
fig|1313.12055.peg.10|ERS020534_00009	MF	0003729	mRNA binding	0.0288928019431	0.329380925815	3
fig|1313.12055.peg.10|ERS020534_00009	CC	0005829	cytosol	0.0330910081003	0.331113236216	10
fig|1313.12055.peg.10|ERS020534_00009	CC	1990904	ribonucleoprotein complex	0.0287180639359	0.329306179929	12
fig|1313.12055.peg.10|ERS020534_00009	BP	0017148	negative regulation of translation	0.0481994338716	0.336577744467	26
fig|1313.12055.peg.11|ERS020534_00011	MF	0016787	hydrolase activity	2.17721618721	0.518948304459	1
fig|1313.12055.peg.12|ERS020534_00012	MF	0004150	dihydroneopterin aldolase activity	11.5617406335	0.798417166246	1
fig|1313.12055.peg.12|ERS020534_00012	BP	0046656	folic acid biosynthetic process	9.57165949351	0.753921192697	1
fig|1313.12055.peg.12|ERS020534_00012	CC	0005840	ribosome	0.0203636113694	0.325420203499	1
fig|1313.12055.peg.12|ERS020534_00012	MF	0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	11.2678594989	0.792102023518	2
fig|1313.12055.peg.12|ERS020534_00012	BP	0046654	tetrahydrofolate biosynthetic process	8.95056580787	0.739102045287	3
fig|1313.12055.peg.12|ERS020534_00012	MF	0016301	kinase activity	4.19248179783	0.602004997339	7
fig|1313.12055.peg.12|ERS020534_00012	MF	0005524	ATP binding	2.87940080163	0.551086936092	9
fig|1313.12055.peg.12|ERS020534_00012	BP	0016310	phosphorylation	3.39727075236	0.572328091132	22
fig|1313.12055.peg.13|ERS020534_00013	MF	0003934	GTP cyclohydrolase I activity	11.2866050837	0.792507284124	1
fig|1313.12055.peg.13|ERS020534_00013	BP	0035998	7,8-dihydroneopterin 3'-triphosphate biosynthetic process	10.8711873689	0.783445943217	1
fig|1313.12055.peg.13|ERS020534_00013	CC	0005737	cytoplasm	0.00954794518396	0.318888012906	1
fig|1313.12055.peg.13|ERS020534_00013	BP	0046654	tetrahydrofolate biosynthetic process	8.98441178328	0.739922601669	3
fig|1313.12055.peg.13|ERS020534_00013	BP	0006730	one-carbon metabolic process	7.95583042716	0.71425230573	6
fig|1313.12055.peg.13|ERS020534_00013	MF	0005525	GTP binding	5.77309375808	0.65357586134	6
fig|1313.12055.peg.13|ERS020534_00013	MF	0008270	zinc ion binding	5.04758089104	0.630918254898	13
fig|1313.12055.peg.13|ERS020534_00013	BP	0006729	tetrahydrobiopterin biosynthetic process	0.0560112662118	0.339064047579	35
fig|1313.12055.peg.14|ERS020534_00014	MF	0004326	tetrahydrofolylpolyglutamate synthase activity	8.10466611854	0.718065455697	1
fig|1313.12055.peg.14|ERS020534_00014	BP	0046901	tetrahydrofolylpolyglutamate biosynthetic process	7.87098819165	0.712062687153	1
fig|1313.12055.peg.14|ERS020534_00014	CC	0005737	cytoplasm	1.4686789344	0.480666521592	1
fig|1313.12055.peg.14|ERS020534_00014	MF	0008841	dihydrofolate synthase activity	7.04712151122	0.690153946284	2
fig|1313.12055.peg.14|ERS020534_00014	BP	0006761	dihydrofolate biosynthetic process	6.87640431668	0.685456493398	3
fig|1313.12055.peg.14|ERS020534_00014	MF	0005524	ATP binding	2.19380911727	0.519763166004	6
fig|1313.12055.peg.14|ERS020534_00014	BP	0009252	peptidoglycan biosynthetic process	5.0013090198	0.629419568423	10
fig|1313.12055.peg.14|ERS020534_00014	MF	0046872	metal ion binding	1.86115609976	0.502787931226	14
fig|1313.12055.peg.14|ERS020534_00014	BP	0046656	folic acid biosynthetic process	0.0610274502991	0.340569822633	58
fig|1313.12055.peg.14|ERS020534_00014	BP	0046654	tetrahydrofolate biosynthetic process	0.0570674510892	0.339386529864	60
fig|1313.12055.peg.15|ERS020534_00015	MF	0004156	dihydropteroate synthase activity	11.2945188565	0.79267827086	1
fig|1313.12055.peg.15|ERS020534_00015	BP	0046656	folic acid biosynthetic process	9.46831162688	0.751489427764	1
fig|1313.12055.peg.15|ERS020534_00015	CC	0005829	cytosol	0.0330178935341	0.331084040064	1
fig|1313.12055.peg.15|ERS020534_00015	BP	0046654	tetrahydrofolate biosynthetic process	8.8539240623	0.736750500709	3
fig|1313.12055.peg.15|ERS020534_00015	MF	0046872	metal ion binding	2.29520742428	0.524677157756	3
fig|1313.12055.peg.15|ERS020534_00015	MF	0005515	protein binding	0.0247470309396	0.327541686522	9
fig|1313.12055.peg.15|ERS020534_00015	BP	0046677	response to antibiotic	0.0415263808952	0.334288888953	44
fig|1313.12055.peg.16|ERS020534_00016	BP	0071586	CAAX-box protein processing	8.68221370962	0.732540459667	1
fig|1313.12055.peg.16|ERS020534_00016	MF	0004222	metalloendopeptidase activity	6.7046101177	0.680670162773	1
fig|1313.12055.peg.16|ERS020534_00016	CC	0016021	integral component of membrane	0.643681914059	0.421193654511	1
fig|1313.12055.peg.17|ERS020534_00017	MF	0015205	nucleobase transmembrane transporter activity	10.3787806225	0.772477989024	1
fig|1313.12055.peg.17|ERS020534_00017	BP	0015851	nucleobase transport	9.6028816179	0.754653261201	1
fig|1313.12055.peg.17|ERS020534_00017	CC	0005886	plasma membrane	2.2369425265	0.521867098714	1
fig|1313.12055.peg.17|ERS020534_00017	CC	0016021	integral component of membrane	0.720522898537	0.427951016591	3
fig|1313.12055.peg.17|ERS020534_00017	BP	0055085	transmembrane transport	2.51809078893	0.535110522387	6
fig|1313.12055.peg.18|ERS020534_00018	MF	0033883	pyridoxal phosphatase activity	16.0816605124	0.857128032841	1
fig|1313.12055.peg.18|ERS020534_00018	BP	0016311	dephosphorylation	6.27494065696	0.668423555559	1
fig|1313.12055.peg.19	MF	0016787	hydrolase activity	2.15812068245	0.51800669158	1
fig|1313.12055.peg.20|ERS020534_00019	MF	0004022	alcohol dehydrogenase (NAD+) activity	6.74810851694	0.68188780705	1
fig|1313.12055.peg.20|ERS020534_00019	BP	0046187	acetaldehyde catabolic process	0.134967983752	0.358043560063	1
fig|1313.12055.peg.20|ERS020534_00019	MF	0008270	zinc ion binding	4.50861239773	0.613010323418	3
fig|1313.12055.peg.21|ERS020534_00020	MF	0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	9.04594306235	0.741410406816	1
