Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1242965.3","Campylobacter concisus UNSW2","Campylobacter concisus UNSW2",1242965,"WGS","UNSW2",,,,,,,,"2013-09-13T00:00:00Z","23984967","PRJNA177552","SAMN02471192","GCA_000466725.1",,"ANNJ00000000","-","The University of New South Wales","WGS","Illumina HiSeq","200.0x","Velvet v. Feb-2012",,,98,2013661,39.2,2068,2015,,"patients with intestinal diseases","isolated from patients with intestinal diseases",,,,,,,,,"Human, Homo sapiens","Male","3","Crohn???s disease",,,,,,"Negative","Spirilla","Motile",,,"37C",,"Microaerophilic","Host Associated","Crohn's disease","Comparative genomics of 8 C. concisus strains isolated from patients with intestinal diseases.   Isolated from Intestinal biopsy of patient with Crohn's disease Patient was 3 years old and male.Isolation details can be found in Kaakoush et al, PLoS One, 2011.",,96.6,95.8,100,0.5,,"Good","2014-12-08T22:10:46.276Z","2015-03-16T03:17:09.594Z"
"1242966.3","Campylobacter concisus UNSW3","Campylobacter concisus UNSW3",1242966,"WGS","UNSW3",,,,,,,,"2013-09-13T00:00:00Z","23984967","PRJNA177553","SAMN02471187","GCA_000466645.1",,"ANNE00000000","-","The University of New South Wales","WGS","Illumina HiSeq","200.0x","Velvet v. Feb-2012",,,61,1907025,39.6,2002,1949,,"Intestinal biopsy of patient with Crohn's disease","Isolated from Intestinal biopsy of patient with Crohn's disease",,,,,,,,,"Human, Homo sapiens","Male","12","Crohn's disease",,,,,,"Negative","Spirilla","Motile",,,,,,"Host Associated","Crohn's disease","Campylobacter concisus UNSW3.   Isolated from Intestinal biopsy of patient with Crohn's disease. Patient was 12 years old and male.  Isolation details can be found in Kaakoush et al, PLoS One, 2011.",,97,96.2,100,,,"Good","2014-12-08T22:10:46.286Z","2015-03-16T03:17:09.594Z"
"1242968.3","Campylobacter concisus UNSWCS","Campylobacter concisus UNSWCS",1242968,"WGS","UNSWCS",,,,,,,,"2013-09-13T00:00:00Z","23984967","PRJNA177555","SAMN02471190","GCA_000466685.1",,"ANNG00000000","-","The University of New South Wales","WGS","Illumina HiSeq","200.0x","Velvet v. Feb-2012",,,177,2108730,39.2,2217,2152,,"faecal sample of patient with acute gastroenteritis","Isolated from faecal sample of patient with acute gastroenteritis",,,,,,,,,"Human, Homo sapiens",,,"acute gastroenteritis",,,,,,"Negative","Spirilla","Motile",,,"37C",,,"Host Associated","Acute gastroenteritis","Campylobacter concisus UNSWCS.  Isolated from faecal sample of patient with acute gastroenteritis. Details can be found in Kaakoush et al, PLoS One, 2011.",,97.1,96.5,100,,,"Good","2014-12-08T22:10:46.305Z","2015-03-16T03:17:09.594Z"
"1295394.3","Campylobacter jejuni subsp. jejuni ICDCCJ07002","Campylobacter jejuni subsp. jejuni ICDCCJ07002",1295394,"WGS","ICDCCJ07002",,,,"MLST.Campylobacter_jejuni.2993",,,,"2013-04-06T00:00:00Z","23704181","PRJNA189791","SAMN02471150","GCA_000355825.1",,"APNP00000000","-","National Institute for Communicable Disease Control and Prevention, and State Key Laboratory for Infectious Disease Prevention and Control, Chinese Center for Disease Control and Prevention","WGS","Illumina HiSeq","103.0x","SOAPdenovo v. 1.06",,,14,1694682,30.5,1751,,,"stool from diarrheal patient",,"2007","China","China",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Guillain-Barre syndrome","Campylobacter jejuni strain ICDCCJ07002 is one isolate associted with the Guillain-Barr¿¿¿¿¿ syndrome outbreak occured in China, 2007.",,99.9,99.7,100,,,"Good","2014-12-08T22:10:47.492Z","2015-03-16T03:17:09.594Z"
"1310162.3","Campylobacter jejuni BJ-CJD101","Campylobacter jejuni BJ-CJD101",1310162,"WGS","BJ-CJD101",,,,"MLST.Campylobacter_jejuni.3652",,,,"2013-07-25T00:00:00Z",,"PRJNA194378","SAMN02470629","GCA_000440015.1",,"ARWV00000000","-","National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Beijing, China.","WGS","Illumina HiSeq","103.0x","SOAPdenovo v. 1.06",,,22,1610177,30.4,1659,,,"stool specimen of one diarrheal patient","isolated from one diarrheal patient in China","2003","China","China: Beijing",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Diarrhea","Campylobacter jejuni remains a major cause of bacterial diarrhea worldwide, besides the enteritis, infection with C. jejuni was reported to precede different form of auto-immune disorders as GBS, MFS and PCB. This Campylobacter jejuni strain is isolated from one diarrheal patient in China.",,99.9,99.9,100,,,"Good","2014-12-08T22:10:46.468Z","2015-03-16T03:17:09.594Z"
"1310163.3","Campylobacter jejuni subsp. jejuni HN-CJD07035","Campylobacter jejuni subsp. jejuni HN-CJD07035",1310163,"WGS","HN-CJD07035",,,,"MLST.Campylobacter_jejuni.362",,,,"2013-07-17T00:00:00Z",,"PRJNA194379","SAMN02470630","GCA_000438865.1",,"ARYE00000000","-","National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Beijing, China","WGS","Illumina HiSeq","103.0x","SOAPdenovo v. 1.06",,,13,1652971,30.4,1690,,,"one diarrheal patient","isolated from one diarrheal patient in China",,"China","China",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,"Diarrhea","Campylobacter jejuni remains a major cause of bacterial diarrhea worldwide. This C. jejuni strain is isolated from one diarrheal patient in China.",,99.9,99.7,100,,,"Good","2014-12-08T22:10:47.457Z","2015-03-16T03:17:09.594Z"
"1349827.3","Campylobacter jejuni subsp. jejuni M129",,1349827,"Complete","M129",,,,,,,,"2016-11-03T00:00:00Z",,"PRJNA209349","SAMN02990965","GCF_001865595.1",,"CP007749,CP007750","NZ_CP007749.1,NZ_CP007750.1","University of Arizona",,"454","59x","Newbler v. 2.6; Geneious v. 5.6",1,1,2,1801315,30.26,1888,1881,,"Clinical","isolated from a human feces from a clinical case at University Medical Center (UMC) at the University of Arizona, and is motile and highly invasive in vitro","1990","United States","USA:Tucson",,,,,,"Human, Homo sapiens",,,,,,,,,"Negative","CurvedShaped","Yes",,"Thermophilic","42C",,"Microaerophilic","HostAssociated","Human Gastroenteritis","This strain was originally isolated from a human feces from a clinical case at University Medical Center (UMC) at the University of Arizona, and is motile and highly invasive in vitro.","collected_by:Dr. Lynn Joens",99.5,99,100,0.6,,"Good","2016-11-19T08:42:58.917Z","2016-11-19T08:42:58.917Z"
"1380768.3","Campylobacter jejuni subsp. jejuni 00-2538","Campylobacter jejuni subsp. jejuni 00-2538",1380768,"Complete","00-2538",,,,,,,,"2013-09-12T00:00:00Z",,"PRJNA213842","SAMN02603725","GCA_000466065.2",,"CP006707.1","NC_022351.1","Public Health Agency of Canada","complete","Illumina MiSeq",,"Velvet optimizer velvet v. 1.1208",1,,1,1664792,30.5,1768,1713,,"stool sample",,"2000","Canada","Canada",,,,,,"Human, Homo sapiens",,,,,,,,,"Negative","Curved-shaped","Motile","Nonsporulating","Thermophilic","42 C","NonHalophilic","Microaerophilic","Multiple","Diarrhea","We are investigating the effect of the presence of the C. jejuni CJIE1 prophage on protein expression. To do so, we are comparing protein expression in natural variants of the organism with and without the prophage. It is necessary to detect and deal with any differences in gene content.",,100,99.9,100,,,"Good","2014-12-08T22:10:46.608Z","2015-03-16T03:17:09.594Z"
"1381117.3","Campylobacter jejuni X","Campylobacter jejuni X",1381117,"WGS","X",,,,,,,,"2013-09-13T00:00:00Z","23562723","PRJNA213994","SAMN02298816","GCA_000466925.2",,"AVFM00000000","-","Kingston Uniiversity","WGS","IonTorrent","14.75x","CLC Genomics Workbench v. 6.0.4",,,126,1691624,30.5,1997,1627,,"patient with gastroenteritis",,"2001","United Kingdom","United Kingdom: London",,,,,,"Human, Homo sapiens",,,"gastroenteritis",,,,,,"Negative","Rod-shaped","Motile",,,,,,,"Gastroenteritis","Campylobacter jejuni;many frameshifted proteins",,99.8,95.4,100,12.6,,"Good","2014-12-08T22:10:46.526Z","2015-03-16T03:17:09.594Z"
"1383068.3","Campylobacter jejuni subsp. jejuni 00-2544","Campylobacter jejuni subsp. jejuni 00-2544",1383068,"Complete","00-2544",,,,,,,,"2013-09-12T00:00:00Z",,"PRJNA214465","SAMN02603726","GCA_000466075.2",,"CP006709.1,CP006710.1","NC_022353.1,NC_022354.1","Public Health Agency of Canada","complete","Illumina MiSeq",,"Velvet optimizer velvet v. 1.1208",1,1,2,1710056,30.3726,1830,1763,,"stool sample",,"2000","Canada","Canada",,,,,,"Human, Homo sapiens",,,,,,,,,"Negative","Curved-shaped","Motile","Nonsporulating","Thermophilic","42 C","NonHalophilic","Microaerophilic","Multiple","Diarrhea","We are investigating the effect of the presence of the C. jejuni CJIE1 prophage on protein expression. To do so, we are comparing protein expression in natural variants of the organism with and without the prophage. It is necessary to detect and deal with any differences in gene content.",,99.9,99.8,100,,,"Good","2014-12-08T22:10:46.619Z","2015-03-16T03:17:09.594Z"
