qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|1134506.3.peg.1|O91_00002	MF	0043772	acyl-phosphate glycerol-3-phosphate acyltransferase activity	5.00501264709043	0.62953977872	1
fig|1134506.3.peg.1|O91_00002	BP	0008654	phospholipid biosynthetic process	2.8474474493197444	0.549716016766	1
fig|1134506.3.peg.1|O91_00002	CC	0005886	plasma membrane	1.3090281470758434	0.470827339068	1
fig|1134506.3.peg.1|O91_00002	BP	0006644	phospholipid metabolic process	2.7300006953453058	0.544609803593	2
fig|1134506.3.peg.1|O91_00002	MF	0016747	transferase activity, transferring acyl groups other than amino-acyl groups	2.6203300173272814	0.539741533709	2
fig|1134506.3.peg.1|O91_00002	CC	0071944	cell periphery	1.2439712204692204	0.466646580699	2
fig|1134506.3.peg.1|O91_00002	MF	0016746	transferase activity, transferring acyl groups	2.399569524272557	0.529622698417	3
fig|1134506.3.peg.1|O91_00002	BP	0008610	lipid biosynthetic process	2.3639209891838853	0.527945695976	3
fig|1134506.3.peg.1|O91_00002	CC	0044464	cell part	0.39424282074340333	0.395869277498	3
fig|1134506.3.peg.1|O91_00002	BP	0044255	cellular lipid metabolic process	2.248136444581171	0.522409785234	4
fig|1134506.3.peg.1|O91_00002	MF	0016740	transferase activity	0.9732492271001989	0.447944728995	4
fig|1134506.3.peg.1|O91_00002	CC	0005623	cell	0.37872952282897393	0.394057538456	4
fig|1134506.3.peg.1|O91_00002	BP	0006629	lipid metabolic process	2.1104890491587094	0.515639624165	5
fig|1134506.3.peg.1|O91_00002	CC	0016021	integral component of membrane	0.343070227504698	0.389746830213	5
fig|1134506.3.peg.1|O91_00002	MF	0003824	catalytic activity	0.2643353592813479	0.379352481226	5
fig|1134506.3.peg.1|O91_00002	BP	0090407	organophosphate biosynthetic process	1.885931303507727	0.504102018819	6
fig|1134506.3.peg.1|O91_00002	CC	0031224	intrinsic component of membrane	0.3422786406935095	0.389648656687	6
fig|1134506.3.peg.1|O91_00002	MF	0004930	G protein-coupled receptor activity	0.07915370958796204	0.345550958684	6
fig|1134506.3.peg.1|O91_00002	BP	0019637	organophosphate metabolic process	1.7004492560967794	0.494042651519	7
fig|1134506.3.peg.1|O91_00002	CC	0044425	membrane part	0.33150260733301395	0.388300734031	7
fig|1134506.3.peg.1|O91_00002	MF	0004888	transmembrane signaling receptor activity	0.06890353213990257	0.34281424831	7
fig|1134506.3.peg.1|O91_00002	BP	0006796	phosphate-containing compound metabolic process	1.1917707468182257	0.46321230339	8
fig|1134506.3.peg.1|O91_00002	CC	0016020	membrane	0.28782758548939663	0.382599168789	8
fig|1134506.3.peg.1|O91_00002	MF	0038023	signaling receptor activity	0.06639148601484748	0.342113023873	8
fig|1134506.3.peg.1|O91_00002	BP	0006793	phosphorus metabolic process	1.180348789922321	0.462450881937	9
