Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1196327.3","Coxiella burnetii cb109","Coxiella burnetii cb109",1196327,"WGS","cb109",,,,,," ",,"2012-09-28T00:00:00Z","23209205","PRJNA167845","SAMN02472052","GCA_000300315.1",,"AKYP00000000","-","URMITE","WGS","454","18.0x","Newbler v. 2.5.3",,,257,1954636,42.5,2509,,,"cardiac valve",,,"Germany","Germany",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Genome sequence of Coxiella burnetii cb109;many frameshifted proteins",,98.4,90.8,94.5,14.6,,"Good","2014-12-08T22:11:04.699Z","2015-03-16T03:17:09.594Z"
"360115.5","Coxiella burnetii RSA 331","Coxiella burnetii RSA 331",360115,"Complete","RSA 331",,,,,,,,"2007-12-05T00:00:00Z",,"PRJNA16791","SAMN02604053","GCA_000018745.1",,"CP000890,CP000889","NC_010117,NC_010115","TIGR","complete",,,,1,1,2,2053744,42.7,2194,1975,,"the blood of an infected patient","isolated from the blood of an infected patient in northern Italy in 1945","1945","Italy","northern Italy",,,,,,"Human, Homo sapiens",,,,,,,,,"-","Coccobacillus",,,"Mesophilic","-",,"Facultative","Multiple","Q fever"," Coxiella burnetii  strain RSA 331. This strain (RSA 331; Hentzerling) is associated with acute Q fever and was isolated from the blood of an infected patient in northern Italy in 1945.",,99.9,99.3,100,,,"Good","2014-12-08T22:11:04.674Z","2015-03-16T03:17:09.594Z"
"434924.5","Coxiella burnetii CbuK_Q154","Coxiella burnetii CbuK_Q154",434924,"Complete","CbuK_Q154",,,,,,,,"2008-11-06T00:00:00Z","19047403","PRJNA19139",,"GCA_000019885.1",,"CP001020,CP001021","NC_011528,NC_011526","Rocky Mountain Laboratories|Integrated Genomics, Inc.","complete",,,,1,1,2,2102380,42.6,2147,1947,,"patient with endocarditis and contains the plasmid QpRS","isolated from a patient with endocarditis and contains the plasmid QpRS",,,,,,,,,"Human, Homo sapiens",,,"endocarditis",,,,,,"-","Coccobacillus",,,"Mesophilic","-",,"Facultative","Multiple","Q fever","Coxiella burnetii K Q154. Coxiella burnetii K Q154 was isolated from a patient with endocarditis and contains the plasmid QpRS. This strain is being sequenced for comparative genome analysis.",,99.9,99.1,100,,,"Good","2014-12-08T22:11:04.643Z","2015-03-16T03:17:09.594Z"
"777.114","Coxiella burnetii strain RSA439",,777,"Complete","RSA439",,,,,,,,"2017-04-25T00:00:00Z",,"PRJNA352565","SAMN05982273",,,"CP018005,CP018006",,"Bundeswehr",,"PacBio; Illumina HiSeq","33x","HGAP v. 3",1,1,2,2006564,42.65,2316,2091,,"the Nine Mile phase I strain (clone 7, RSA493) and the workhorse","derived from the Nine Mile phase I strain (clone 7, RSA493) and the workhorse in studies investigating the antigenicity and virulence of C. burnetii as well as the pathogen-host interactions causing the Q fever disease",,,,,,,,,"Human, Homo sapiens",,,"Q fever",,,,,,,,,,,,,,,,"The attenuated Coxiella burnetii strain Nine Mile phase II (clone 4, RSA439) is derived from the Nine Mile phase I strain (clone 7, RSA493) and the workhorse in studies investigating the antigenicity and virulence of C. burnetii as well as the pathogen-host interactions causing the Q fever disease. The aim of this project is to provide highly curated reference genome sequences for both strains.",,99.6,99.1,100,,,"Good","2017-05-29T04:01:54.739Z","2017-05-29T04:01:54.739Z"
"777.179","Coxiella burnetii strain Leningrad-2",,777,"WGS","Leningrad-2",,,,,,,,"2017-10-18T00:00:00Z",,"PRJNA413735","SAMN07764456","GCA_002591355.1",,"PDLP01000000",,"Saint Petersburg National Research University of Information Technologies, Mechanics and Optics",,"Illumina MiSeq","35.0x","SPAdes v. 3.6.2",,2,93,2085158,42.6,2457,2271,,"venous blood","isolated from a patient with acute Q-fever can make a difference to the analysis of mechanisms what can now be predicted and therapeutic strategies can be determined thanks to in silico genome analysis","1957","Russia","Russia: Saint Petersburg",,,,,"env_biome:Urban biom","Human, Homo sapiens",,,"acute Q-fever can make a difference to the analysis of mechanisms what can now be predicted and therapeutic strategies can be determined thanks to",,,,,,,,,,,,,,,,"Here we report the genome sequence of Coxiella burnetii strain Leningrad-2, phase I. Coxiella burnetii is a strictly intracellular bacterium and the etiological agent of Q fever.Getting new data on the genomes of C. burnetii strains can revolutionize many fields of study of this infection. The analysis of new genomic data have enabled description of the diversity of strains around the world and their link with pathogenicity. Host organism factors significantly influence on C.burnetii pathogenicity realization. Genetic features of pathogen also may affect on Q-fever disease form, signs and symptoms. Analysis of additional genomic information, characterizing the strain isolated from a patient with acute Q-fever can make a difference to the analysis of mechanisms what can now be predicted and therapeutic strategies can be determined thanks to in silico genome analysis.",,99.9,98.8,100,,,"Good","2017-11-24T16:44:13.099Z","2017-11-24T16:44:13.099Z"
"777.185","Coxiella burnetii strain Henzerling",,777,"Complete","Henzerling",,,,,,,,"2017-10-23T00:00:00Z","28848533","PRJNA312577","SAMN04500797","GCA_002634025.1",,"CP014559,CP014560",,"Central Veterinary Institute part of Wageningen UR",,"Illumina","239.3x","SPAdes v. 3.6.2",1,1,2,2000126,42.4,2353,2064,,,"isolated during the outbreak period (2007-2010) in Netherlands are compared in this project","1945","Italy","Italy",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,"C",,,,,"Several Coxiella burnetii strains along with strains isolated during the outbreak period (2007-2010) in Netherlands are compared in this project.","sample_type:Cell culture",99.7,98.8,100,,,"Good","2017-11-24T16:49:27.739Z","2017-11-24T16:49:27.739Z"
"777.186","Coxiella burnetii strain Heizberg",,777,"Complete","Heizberg",,,,,,,,"2017-10-23T00:00:00Z","28848533","PRJNA312578","SAMN04500798","GCA_002634045.1",,"CP014561,CP014562",,"Central Veterinary Institute part of Wageningen UR",,"Illumina","228.25x","SPAdes v. 3.6.2",1,1,2,1999884,42.4,2361,2062,,,"isolated during the outbreak period (2007-2010) in Netherlands are compared in this project",,"Greece","Greece",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,"C",,,,,"Several Coxiella burnetii strains along with strains isolated during the outbreak period (2007-2010) in Netherlands are compared in this project.","sample_type:cell culture",99.7,98.8,100,,,"Good","2017-11-24T16:49:33.814Z","2017-11-24T16:49:33.814Z"
"777.20","Coxiella burnetii strain AuQ01",,777,"WGS","AuQ01",,,,,,,,"2014-08-26T00:00:00Z","25278528","PRJNA257771","SAMN02978824","GCF_000756325.1","SRR1555607","JPVV01000000",,"Bundeswehr",,"Illumina HiSeq","140.0x","SPAdes v. 3.1",,1,67,2070902,42.52,2299,,,"EDTA blood sample",,"2005","Australia","Australia: Deepwater, New South Wales",,,,,,"Human, Homo sapiens","male","56","acute Q fever",,,,,,,,,,,,,,,,"Diversity and evolution of Coxiella burnetii",,99.6,98.7,100,,,"Good","2016-01-17T15:40:06.030Z","2016-01-17T15:40:06.030Z"
"777.21","Coxiella burnetii strain NL-Limburg",,777,"WGS","NL-Limburg",,,,,,,,"2015-03-31T00:00:00Z","25953164","PRJNA277924","SAMN03400050","GCF_000967075.1",,"JZWL01000000",,"Federal Insitute for Risk Assessment",,"PacBio","60.0x","HGAP v. 3.0",,,5,2214254,42.84,2688,2097,,"associated with the Q-fever outbreak in the Netherlands in 2009",,"2009","Netherlands","Netherlands",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Determination of the genome sequence of a human Coxiella burnetii isolate associated with the Q-fever outbreak in the Netherlands in 2009",,99.7,97.9,100,6.2,,"Good","2016-01-17T15:52:22.850Z","2016-01-17T15:52:22.850Z"
"777.221","Coxiella burnetii strain Cb3506",,777,"WGS","Cb3506",,,,,,,,"2018-01-24T00:00:00Z",,"PRJNA430350","SAMN08369797","GCA_002896795.1",,"PPFR01000000",,"University of Exeter",,"Illumina MiSeq","70x","SPAdes v. 3.7.1.",,,60,1982169,42.552277,2366,2143,,"heart valve","isolated in the United Kingdom are presented","10-Sep-2014","United Kingdom","United Kingdom",,,,,,"Human, Homo sapiens",,,"Q fever",,,,,,,,,,,,,,,,"Coxiella burnetii is the causative agent of the zoonotic disease Q-fever, which is endemic in most parts of the world. Six draft genome sequences of C. burnetii isolated in the United Kingdom are presented. These include one human heart valve isolate, and five isolates from ruminants including cattle, sheep and goat. These represent the first whole genome sequences from the UK and their availability will increase our understanding of global genetic diversity of this pathogen.","collected_by:DSTL",99.9,99,100,,,"Good","2018-05-25T19:42:53.749Z","2018-05-25T19:42:53.749Z"
"777.223","Coxiella burnetii strain Australia RSA297",,777,"WGS","Australia RSA297",,,,,,,,"2018-02-07T00:00:00Z",,"PRJNA394745","SAMN07349482","GCA_002924305.1",,"NOVK01000000",,"National Institutes of Health",,"Illumina MiSeq","75x","SPAdes v. 3.9.1",,1,34,2006475,42.537537,2365,2144,,"blood",,"1939","Australia","Australia",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Coxiella burnetii is an intracellular bacterium that causes the zoonosis Q fever. Full-length lipopolysaccharide (LPS), produced by phase I bacteria, is necessary for full virulence by C. burnetii in animal models of infection. Ex vivo or in vitro serial passage results in genetic mutations that direct synthesis of truncated forms of LPS, culminating in the deep-rough LPS of avirulent phase II bacteria. The genome sequences presented here provide a better understanding of the mutational pathways associated with C. burnetii LPS phase variation.",,99.8,99.1,100,,,"Good","2018-05-25T22:48:39.206Z","2018-05-25T22:48:39.206Z"
"777.226","Coxiella burnetii strain M44 RSA461",,777,"WGS","M44 RSA461",,,,,,,,"2018-02-07T00:00:00Z",,"PRJNA394745","SAMN07349484","GCA_002924385.1",,"NOVI01000000",,"National Institutes of Health",,"Illumina MiSeq","80x","SPAdes v. 3.9.1",,1,66,2006407,42.54695,2483,2169,,"blood",,"1945","Greece","Greece",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Coxiella burnetii is an intracellular bacterium that causes the zoonosis Q fever. Full-length lipopolysaccharide (LPS), produced by phase I bacteria, is necessary for full virulence by C. burnetii in animal models of infection. Ex vivo or in vitro serial passage results in genetic mutations that direct synthesis of truncated forms of LPS, culminating in the deep-rough LPS of avirulent phase II bacteria. The genome sequences presented here provide a better understanding of the mutational pathways associated with C. burnetii LPS phase variation.",,99.9,99.1,100,,,"Good","2018-05-25T22:49:20.295Z","2018-05-25T22:49:20.295Z"
"777.228","Coxiella burnetii strain Australia RSA425",,777,"WGS","Australia RSA425",,,,,,,,"2018-02-07T00:00:00Z",,"PRJNA394745","SAMN07349483","GCA_002924425.1",,"NOVJ01000000",,"National Institutes of Health",,"Illumina MiSeq","133x","SPAdes v. 3.9.1",,1,34,2006235,42.53729,2367,2145,,"blood",,"1939","Australia","Australia",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Coxiella burnetii is an intracellular bacterium that causes the zoonosis Q fever. Full-length lipopolysaccharide (LPS), produced by phase I bacteria, is necessary for full virulence by C. burnetii in animal models of infection. Ex vivo or in vitro serial passage results in genetic mutations that direct synthesis of truncated forms of LPS, culminating in the deep-rough LPS of avirulent phase II bacteria. The genome sequences presented here provide a better understanding of the mutational pathways associated with C. burnetii LPS phase variation.",,99.8,99.1,100,,,"Good","2018-05-25T22:48:55.228Z","2018-05-25T22:48:55.228Z"
"777.26","Coxiella burnetii strain 3345937",,777,"Complete","3345937",,,,,,,,"2016-02-25T00:00:00Z",,"PRJNA310186","SAMN04448129","GCF_001572765.1",,"CP014354,CP014355",,"Central Veterinary Institute part of Wageningen UR",,"Illumina","285.7","Spades v. 3.6.2",,1,2,2013572,42.25,2468,2110,,,,"2010","Netherlands","Netherlands",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,"C",,,,,"The aim of the sequencing project is to see the similarities in genomes of veterinary and Human strains to find the source of infection of Q-fever in the Netherlands","sample_type:cell-culture",99.6,98.7,100,,,"Good","2016-03-18T07:09:30.533Z","2016-03-18T07:09:30.533Z"
