qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|272634.6.peg.1|MPN001	CC	0009360	DNA polymerase III complex	9.19628275627	0.745024422672	1
fig|272634.6.peg.1|MPN001	MF	0008408	3'-5' exonuclease activity	8.30186380791	0.72306410785	1
fig|272634.6.peg.1|MPN001	BP	0071897	DNA biosynthetic process	6.35832104347	0.670832130374	1
fig|272634.6.peg.1|MPN001	MF	0003887	DNA-directed DNA polymerase activity	7.78777526511	0.709903624645	2
fig|272634.6.peg.1|MPN001	BP	0006260	DNA replication	5.92662553388	0.658184487914	2
fig|272634.6.peg.1|MPN001	BP	0090305	nucleic acid phosphodiester bond hydrolysis	4.92137456534	0.626814167363	3
fig|272634.6.peg.1|MPN001	CC	0005737	cytoplasm	1.9709032035	0.508544624839	8
fig|272634.6.peg.1|MPN001	MF	0003677	DNA binding	3.146833723	0.562274884753	10
fig|272634.6.peg.2|MPN002	MF	0031072	heat shock protein binding	7.01947281078	0.689397057499	1
fig|272634.6.peg.2|MPN002	BP	0009408	response to heat	5.44731897405	0.643589427133	1
fig|272634.6.peg.2|MPN002	CC	0005737	cytoplasm	0.868054753114	0.43998205011	1
fig|272634.6.peg.2|MPN002	MF	0051082	unfolded protein binding	6.18818366414	0.665900392744	2
fig|272634.6.peg.2|MPN002	BP	0006457	protein folding	5.31367739018	0.639406547537	3
fig|272634.6.peg.2|MPN002	CC	0016021	integral component of membrane	0.111531218011	0.353191412957	3
fig|272634.6.peg.2|MPN002	MF	0008270	zinc ion binding	2.0638276167	0.513294727153	4
fig|272634.6.peg.2|MPN002	BP	0006260	DNA replication	3.12088557811	0.561210731703	5
fig|272634.6.peg.2|MPN002	MF	0005524	ATP binding	1.71855289905	0.495047890749	6
fig|272634.6.peg.3|MPN003	MF	0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	8.58896614468	0.730236739644	1
fig|272634.6.peg.3|MPN003	BP	0006265	DNA topological change	7.65089693853	0.706326899237	1
fig|272634.6.peg.3|MPN003	CC	0005694	chromosome	6.04140110975	0.661590881437	1
fig|272634.6.peg.3|MPN003	BP	0006261	DNA-dependent DNA replication	6.98047059797	0.688326824969	2
fig|272634.6.peg.3|MPN003	CC	0005737	cytoplasm	1.83903251171	0.501607074544	6
fig|272634.6.peg.3|MPN003	MF	0003677	DNA binding	2.92293371299	0.552942479017	11
fig|272634.6.peg.3|MPN003	MF	0005524	ATP binding	2.72379036314	0.544336769252	12
fig|272634.6.peg.3|MPN003	MF	0046872	metal ion binding	2.3002693945	0.524919598708	20
fig|272634.6.peg.4|MPN004	MF	0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	6.25635942681	0.667884630801	1
fig|272634.6.peg.4|MPN004	BP	0006265	DNA topological change	5.57305272586	0.647478198754	1
