Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1639.988","Listeria monocytogenes strain L2074",,1639,"Complete","L2074","1/2a",,,"MLST.Listeria_monocytogenes.378",,,,"2015-06-03T00:00:00Z",,"PRJNA243260","SAMN02713647","GCF_001027065.1",,"CP007689","NZ_CP007689.1","Cornell University",,"PacBio",,"HGAP and Quiver v. October 2013",1,,1,2897190,38.02,2856,2813,,"Human clinical case",,"2010","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,"Positive","Bacilli","Yes",,,,,,"HostAssociated","Listeriosis","Listeria monocytogenes L2074, serotype 1/2a, form human clinical case",,99.9,99.3,100,,,"Good","2016-01-17T16:07:04.553Z","2016-01-17T16:07:04.553Z"
"1639.989","Listeria monocytogenes strain L1846",,1639,"Complete","L1846","1/2b",,,"MLST.Listeria_monocytogenes.7",,,,"2015-06-03T00:00:00Z",,"PRJNA243081","SAMN02712416","GCF_001027085.1",,"CP007688","NZ_CP007688.1","Cornell University",,"PacBio",,"HGAP and Quiver v. October 2013",1,,1,2947477,37.98,2942,2894,,"human clinical case",,"2009","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,"Positive","Bacilli","Yes",,,,,,,"Listeriosis","serotype 1/2b isolate from sporadic clinical isolate","biomaterial_provider:Cheryl L. Tarr (CDC)",99.9,99.5,100,,,"Good","2016-01-17T16:07:04.871Z","2016-01-17T16:07:04.871Z"
"1639.990","Listeria monocytogenes strain L2625",,1639,"Complete","L2625","1/2a",,,"MLST.Listeria_monocytogenes.29",,,,"2015-06-03T00:00:00Z",,"PRJNA243264","SAMN02713648","GCF_001027125.1",,"CP007687","NZ_CP007687.1","Cornell University",,"PacBio",,"HGAP and Quiver v. October 2013",1,,1,2896586,38.05,2862,2817,,"human clinical isolate",,"2011","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,"Positive","Bacilli","Yes",,,,,,"HostAssociated","Listeriosis","Listeria monocytogenes L2625 Genome sequencing, serotype 1/2a strain from a human clinical case","biomaterial_provider:Cheryl Tarr, CDC",99.9,99.5,100,,,"Good","2016-01-17T16:07:05.562Z","2016-01-17T16:07:05.562Z"
"1639.991","Listeria monocytogenes strain L2624",,1639,"Complete","L2624","1/2b",,,"MLST.Listeria_monocytogenes.5",,,,"2015-06-03T00:00:00Z",,"PRJNA243265","SAMN02713668","GCF_001027165.1",,"CP007686","NZ_CP007686.1","Cornell University",,"PacBio",,"HGAP and Quiver v. October 2013",1,,1,2932501,38.04,2848,2804,,"human clinical isolate",,"2011","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,"Positive","Bacilli","Yes",,,,,,"HostAssociated","Listeriosis","Listeria monocytogenes L2624, a serotype 1/2b strain from a human clinical isolate",,99.9,99.4,100,,,"Good","2016-01-17T16:07:05.948Z","2016-01-17T16:07:05.948Z"
"1639.992","Listeria monocytogenes strain L2676",,1639,"Complete","L2676","1/2a",,,"MLST.Listeria_monocytogenes.7",,,,"2015-06-03T00:00:00Z",,"PRJNA243258","SAMN02713644","GCF_001027205.1",,"CP007685","NZ_CP007685.1","Cornell University",,"PacBio",,"HGAP and Quiver v. October 2013",1,,1,2947293,37.98,2941,2884,,"human clinical case",,"2011","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,"Positive","Bacilli","Yes",,,,,,"HostAssociated","Listeriosis","Listeria monocytogenes L2676 from human clinical case","biomaterial_provider:Cheryl Tarr, CDC",99.9,99.5,100,,,"Good","2016-01-17T16:07:06.703Z","2016-01-17T16:07:06.703Z"
"1639.993","Listeria monocytogenes strain L2626",,1639,"Complete","L2626","1/2a",,,"MLST.Listeria_monocytogenes.561",,,,"2015-06-03T00:00:00Z",,"PRJNA243256","SAMN02713641","GCF_001027245.1",,"CP007684","NZ_CP007684.1","Cornell University",,"PacBio",,"HGAP and Quiver v. October 2013",1,,1,2907486,38,2874,2825,,"human host",,"2011","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,"Positive","Bacilli","Yes",,,,,,"HostAssociated","Listeriosis","Listeria monocytogenes L2626 obtained from human clinical isolate",,99.9,99.5,100,,,"Good","2016-01-17T16:07:07.473Z","2016-01-17T16:07:07.473Z"
"265669.9","Listeria monocytogenes serotype 4b str. F2365","Listeria monocytogenes serotype 4b str. F2365",265669,"Complete","4b F2365","serovar 4b",,,"MLST.Listeria_monocytogenes.1",,,,"2004-04-30T00:00:00Z","15115801","PRJNA85","SAMN02603980","GCA_000008285.1",,"AE017262","NC_002973","TIGR","complete",,,,1,,1,2905187,38,2867,2821,,,"isolated in 1985 in California, USA, during an outbreak of listeriosis among patients with AIDS","1985","United States","California USA",,,,,,"Human, Homo sapiens",,,,,,,,,"+","Rod","Yes",,"Mesophilic","30-37",,"Facultative","Multiple","Listeriosis"," Listeria monocytogenes strain 4b F2365. This strain was isolated in 1985 in California, USA, during an outbreak of listeriosis among patients with AIDS. The strain is of serotype 4b and was isolated from a cheese product that caused the outbreak.",,99.9,99.4,100,,,"Good","2014-12-08T22:12:00.657Z","2015-03-16T03:17:09.594Z"
"393117.11","Listeria monocytogenes FSL J1-194","Listeria monocytogenes FSL J1-194",393117,"WGS","FSL J1-194","serovar 1",,,"MLST.Listeria_monocytogenes.88",,,,"2006-10-13T00:00:00Z",,"PRJNA17299","SAMN02415199","GCA_000168395.1",,"AARJ00000000","NZ_AARJ00000000","Broad Institute","assembly",,,,,,30,2989818,37.8,3008,2994,,"sporadic human listeriosis case, is a representative of ribotype DUP-1042B","isolated from a sporadic human listeriosis case, is a representative of ribotype DUP-1042B",,,,,,,,,"Human, Homo sapiens",,,,,,,,,"+","Rod","Yes",,"Mesophilic","30-37",,"Facultative","Multiple","Listeriosis","Listeria monocytogenes FSL J1-194. This serotype 1/2b strain, isolated from a sporadic human listeriosis case, is a representative of ribotype DUP-1042B. This ribotype has been linked to two human listeriosis outbreaks and is also responsible for a number of sporadic human listeriosis outbreaks. This strain is being sequenced for comparative genome analysis.",,99.9,99.4,100,0.6,,"Good","2014-12-08T22:12:00.257Z","2015-03-16T03:17:09.594Z"
"393128.7","Listeria monocytogenes F6900","Listeria monocytogenes F6900",393128,"WGS","F6900","serovar 1",,,"MLST.Listeria_monocytogenes.11",,,,"2006-10-16T00:00:00Z",,"PRJNA17321","SAMN00771317","GCA_000168615.1","SRR397560,SRR397561,SRR397562","AARU00000000","NZ_AARU00000000","Broad Institute","assembly",,,,,,23,2968620,37.8,3008,3005,,"single case of human listeriosis","isolated from a single case of human listeriosis in 1989 linked to consumption of processed meat","1989",,,,,,,,"Human, Homo sapiens",,,,,,,,,"+","Rod","Yes",,"Mesophilic","-",,"Facultative","Multiple","Listeriosis","Listeria monocytogenes F6900.This serotype 1/2a strain was isolated from a single case of human listeriosis in 1989 linked to consumption of processed meat. This strain is being sequenced for comparative genome analysis.",,100,99.6,100,,,"Good","2014-12-08T22:12:00.202Z","2015-03-16T03:17:09.594Z"
"393131.7","Listeria monocytogenes J2818","Listeria monocytogenes J2818",393131,"WGS","J2818","serovar 1",,,"MLST.Listeria_monocytogenes.11",,,,"2006-10-16T00:00:00Z",,"PRJNA17327","SAMN00769972","GCA_000168655.1","SRR396654,SRR396655,SRR396656","AARX00000000","NZ_AARX00000000","Broad Institute","assembly",,,,,,24,2973040,37.7,3019,2977,,"food associated with a case","isolated from food associated with a case in a human listeriosis outbreak in 2000 linked to consumption of sliced turkey","2000",,,,,,,,"Human, Homo sapiens",,,,,,,,,"+","Rod","Yes",,"Mesophilic","30-37",,"Facultative","Multiple","Listeriosis","Listeria monocytogenes J2818. This serotype 1/2a strain was isolated from food associated with a case in a human listeriosis outbreak in 2000 linked to consumption of sliced turkey. This is one of the few lineage II strains associated with human listeriosis. This strain is being sequenced for comparative genome analysis.",,100,99.6,100,0.6,,"Good","2014-12-08T22:12:00.395Z","2015-03-16T03:17:09.594Z"
