qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|1249651.3.peg.1|ECHHL_0001	MF	0004853	uroporphyrinogen decarboxylase activity	4.840950079750379	0.624171351093	1
fig|1249651.3.peg.1|ECHHL_0001	BP	0006782	protoporphyrinogen IX biosynthetic process	4.001193501948089	0.595143320889	1
fig|1249651.3.peg.1|ECHHL_0001	CC	0005737	cytoplasm	0.7025173356482447	0.426401278088	1
fig|1249651.3.peg.1|ECHHL_0001	BP	0046501	protoporphyrinogen IX metabolic process	4.000946668758359	0.595134362043	2
fig|1249651.3.peg.1|ECHHL_0001	MF	0016831	carboxy-lyase activity	3.0214005659767778	0.55708920141	2
fig|1249651.3.peg.1|ECHHL_0001	CC	0044424	intracellular part	0.5887030963622703	0.416107589188	2
fig|1249651.3.peg.1|ECHHL_0001	BP	0006783	heme biosynthetic process	3.5924655527595615	0.579909183981	3
fig|1249651.3.peg.1|ECHHL_0001	MF	0016830	carbon-carbon lyase activity	2.7506005913396216	0.545513251901	3
fig|1249651.3.peg.1|ECHHL_0001	CC	0005622	intracellular	0.5887021812662275	0.416107502601	3
fig|1249651.3.peg.1|ECHHL_0001	BP	0042168	heme metabolic process	3.5465149874867383	0.578143444503	4
fig|1249651.3.peg.1|ECHHL_0001	MF	0016829	lyase activity	2.0375037310964026	0.511960156959	4
fig|1249651.3.peg.1|ECHHL_0001	CC	0044464	cell part	0.4007220863972568	0.396615394665	4
fig|1249651.3.peg.1|ECHHL_0001	BP	0006779	porphyrin-containing compound biosynthetic process	3.3396549705360807	0.570048976501	5
fig|1249651.3.peg.1|ECHHL_0001	CC	0005623	cell	0.38495383196094224	0.394788828594	5
fig|1249651.3.peg.1|ECHHL_0001	MF	0003824	catalytic activity	0.2708815585051245	0.380271203069	5
fig|1249651.3.peg.1|ECHHL_0001	BP	0006778	porphyrin-containing compound metabolic process	3.3072950973973074	0.568760286356	6
fig|1249651.3.peg.1|ECHHL_0001	CC	0016021	integral component of membrane	0.002795068726787464	0.312376493065	6
fig|1249651.3.peg.1|ECHHL_0001	BP	0046148	pigment biosynthetic process	3.297562672320004	0.568371473093	7
fig|1249651.3.peg.1|ECHHL_0001	CC	0031224	intrinsic component of membrane	0.0027886194946387484	0.31236763173	7
fig|1249651.3.peg.1|ECHHL_0001	BP	0042440	pigment metabolic process	3.2645773168220247	0.567049412337	8
fig|1249651.3.peg.1|ECHHL_0001	CC	0044425	membrane part	0.0027008247767356126	0.312245965598	8
fig|1249651.3.peg.1|ECHHL_0001	BP	0033014	tetrapyrrole biosynthetic process	2.973960562102589	0.555099939076	9
fig|1249651.3.peg.1|ECHHL_0001	CC	0016020	membrane	0.0023449947515400207	0.311731331179	9
fig|1249651.3.peg.1|ECHHL_0001	BP	0033013	tetrapyrrole metabolic process	2.9546976708976653	0.554287678349	10
fig|1249651.3.peg.1|ECHHL_0001	BP	0051188	cofactor biosynthetic process	2.1162012799504653	0.515924894918	11
fig|1249651.3.peg.1|ECHHL_0001	BP	0051186	cofactor metabolic process	2.0159058083489163	0.510858732033	12
fig|1249651.3.peg.1|ECHHL_0001	BP	0019438	aromatic compound biosynthetic process	1.4686287855138909	0.480663517327	13
fig|1249651.3.peg.1|ECHHL_0001	BP	0018130	heterocycle biosynthetic process	1.441586049517646	0.479035929588	14
fig|1249651.3.peg.1|ECHHL_0001	BP	1901362	organic cyclic compound biosynthetic process	1.4138392544928249	0.477350020435	15
fig|1249651.3.peg.1|ECHHL_0001	BP	0044271	cellular nitrogen compound biosynthetic process	1.0708372360688845	0.454954797865	16
fig|1249651.3.peg.1|ECHHL_0001	BP	1901566	organonitrogen compound biosynthetic process	1.0707291374039123	0.454947213728	17
fig|1249651.3.peg.1|ECHHL_0001	BP	0006725	cellular aromatic compound metabolic process	0.9455735335160913	0.445893359015	18
fig|1249651.3.peg.1|ECHHL_0001	BP	0046483	heterocycle metabolic process	0.9426048881602014	0.445671545218	19
fig|1249651.3.peg.1|ECHHL_0001	BP	1901360	organic cyclic compound metabolic process	0.9252636568540747	0.444368789241	20
fig|1249651.3.peg.1|ECHHL_0001	BP	0044249	cellular biosynthetic process	0.8497319049305804	0.438546672506	21
fig|1249651.3.peg.1|ECHHL_0001	BP	1901576	organic substance biosynthetic process	0.83850305707919	0.437659367825	22
fig|1249651.3.peg.1|ECHHL_0001	BP	0009058	biosynthetic process	0.8071834703081366	0.435152602089	23
fig|1249651.3.peg.1|ECHHL_0001	BP	0034641	cellular nitrogen compound metabolic process	0.7634059680634383	0.431565750149	24
fig|1249651.3.peg.1|ECHHL_0001	BP	1901564	organonitrogen compound metabolic process	0.7326135658531652	0.428980815549	25
fig|1249651.3.peg.1|ECHHL_0001	BP	0006807	nitrogen compound metabolic process	0.5169077260500076	0.4090934206	26
fig|1249651.3.peg.1|ECHHL_0001	BP	0071704	organic substance metabolic process	0.4078181140033817	0.397425646993	27
fig|1249651.3.peg.1|ECHHL_0001	BP	0044237	cellular metabolic process	0.40768970597816573	0.397411047771	28
fig|1249651.3.peg.1|ECHHL_0001	BP	0009987	cellular process	0.29498843198028213	0.383562240083	29
fig|1249651.3.peg.1|ECHHL_0001	BP	0008152	metabolic process	0.22204963041461698	0.373121350761	30
fig|1249651.3.peg.2|ECHHL_0002	BP	0019646	aerobic electron transport chain	2.810187965125843	0.548107693544	1
fig|1249651.3.peg.2|ECHHL_0002	MF	0016676	oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	1.6617905934210901	0.491877983622	1
fig|1249651.3.peg.2|ECHHL_0002	CC	0005886	plasma membrane	0.8114797501756601	0.435499312048	1
fig|1249651.3.peg.2|ECHHL_0002	BP	0022904	respiratory electron transport chain	1.924617233351613	0.506136794344	2
fig|1249651.3.peg.2|ECHHL_0002	MF	0004129	cytochrome-c oxidase activity	1.6617905934210901	0.491877983622	2
fig|1249651.3.peg.2|ECHHL_0002	CC	0071944	cell periphery	0.7711503052604624	0.432207618329	2
fig|1249651.3.peg.2|ECHHL_0002	MF	0016675	oxidoreductase activity, acting on a heme group of donors	1.660899695313479	0.491827803151	3
fig|1249651.3.peg.2|ECHHL_0002	BP	0009060	aerobic respiration	1.5277724656151557	0.484171691371	3
fig|1249651.3.peg.2|ECHHL_0002	CC	0044464	cell part	0.2696435654508806	0.380098316136	3
fig|1249651.3.peg.2|ECHHL_0002	MF	0015002	heme-copper terminal oxidase activity	1.6599106567757702	0.491772079085	4
fig|1249651.3.peg.2|ECHHL_0002	BP	1902600	proton transmembrane transport	1.4454325210211165	0.479268358124	4
fig|1249651.3.peg.2|ECHHL_0002	CC	0005623	cell	0.25903319858697504	0.378599981645	4
fig|1249651.3.peg.2|ECHHL_0002	MF	0015078	proton transmembrane transporter activity	1.513688629984408	0.483342542339	5
fig|1249651.3.peg.2|ECHHL_0002	BP	0045333	cellular respiration	1.3962862294880127	0.476274935313	5
fig|1249651.3.peg.2|ECHHL_0002	CC	0016021	integral component of membrane	0.23464391607683924	0.375034963343	5
fig|1249651.3.peg.2|ECHHL_0002	MF	0015077	monovalent inorganic cation transmembrane transporter activity	1.457924931140599	0.480021104378	6
fig|1249651.3.peg.2|ECHHL_0002	BP	0015980	energy derivation by oxidation of organic compounds	1.3752271064416812	0.474976152453	6
fig|1249651.3.peg.2|ECHHL_0002	CC	0031224	intrinsic component of membrane	0.2341025078915734	0.374953772411	6
