qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|1105096.3.peg.1|MA1_00005	MF	0043531	ADP binding	9.27112367476829	0.746812509753	1
fig|1105096.3.peg.1|MA1_00005	BP	0006470	protein dephosphorylation	7.624520162455742	0.705633989038	1
fig|1105096.3.peg.1|MA1_00005	MF	0004674	protein serine/threonine kinase activity	7.638264524990121	0.705995198714	2
fig|1105096.3.peg.1|MA1_00005	BP	0016311	dephosphorylation	6.379925159552186	0.67145361939	2
fig|1105096.3.peg.1|MA1_00005	MF	0016776	phosphotransferase activity, phosphate group as acceptor	7.608945874891699	0.705224294192	3
fig|1105096.3.peg.1|MA1_00005	BP	0006468	protein phosphorylation	5.195082118922927	0.635650334819	3
fig|1105096.3.peg.1|MA1_00005	MF	0004672	protein kinase activity	5.422579103327232	0.642818991094	4
fig|1105096.3.peg.1|MA1_00005	BP	0006464	cellular protein modification process	4.218906569566324	0.602940466675	4
fig|1105096.3.peg.1|MA1_00005	MF	0016773	phosphotransferase activity, alcohol group as acceptor	4.79256160605574	0.622570678174	5
fig|1105096.3.peg.1|MA1_00005	BP	0036211	protein modification process	4.2189058718146155	0.602940442012	5
fig|1105096.3.peg.1|MA1_00005	MF	0016301	kinase activity	4.304663198654585	0.605956346661	6
fig|1105096.3.peg.1|MA1_00005	BP	0043412	macromolecule modification	3.7275078183880264	0.585034080046	6
fig|1105096.3.peg.1|MA1_00005	MF	0140096	catalytic activity, acting on a protein	3.6940066064174912	0.583771476585	7
fig|1105096.3.peg.1|MA1_00005	BP	0016310	phosphorylation	3.503123828749281	0.57646552358	7
fig|1105096.3.peg.1|MA1_00005	MF	0016772	transferase activity, transferring phosphorus-containing groups	3.6113834372752396	0.580632856803	8
fig|1105096.3.peg.1|MA1_00005	BP	0006796	phosphate-containing compound metabolic process	2.811159048844611	0.548149745683	8
fig|1105096.3.peg.1|MA1_00005	MF	0005524	ATP binding	2.938364288592983	0.55359686987	9
