Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"1249650.3","Ehrlichia chaffeensis str. West Paces",,1249650,"Complete","West Paces",,,,,,,,"2014-04-17T00:00:00Z","-","PRJNA178990","SAMN02367293","GCA_000632965.1",,"CP007480.1","NZ_CP007480.1","IGS",,"PacBio","17.01X","HGAP v. 1.4",1,,1,1170935,30.1,968,962,,"blood",,"2000","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Sequencing and Comparison of Genomes and Transcriptome Profiles of Human Ehrlichiosis Agents.",,99.5,98.8,100,,,"Good","2014-12-08T22:35:19.431Z","2015-03-16T03:17:09.594Z"
"1249651.3","Ehrlichia chaffeensis str. Heartland",,1249651,"Complete","Heartland",,,,,,,,"2014-04-17T00:00:00Z","-","PRJNA178991","SAMN02203185","GCA_000632815.1",,"CP007473.1","NZ_CP007473.1","IGS",,"PacBio","13.21X","HGAP v. 1.4",1,,1,1172721,30.1,975,970,,,,"1999","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Sequencing and Comparison of Genomes and Transcriptome Profiles of Human Ehrlichiosis Agents.",,99.4,98.7,100,,,"Good","2014-12-08T22:35:19.963Z","2015-03-16T03:17:09.594Z"
"1249652.3","Ehrlichia chaffeensis str. Jax",,1249652,"Complete","Jax",,,,,,,,"2014-04-17T00:00:00Z","-","PRJNA178992","SAMN02364462","GCA_000632865.1",,"CP007475.1","NZ_CP007475.1","IGS",,"PacBio","34X","HGAP v. 1.4",1,,1,1176890,30.1,992,989,,,,"1997","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Sequencing and Comparison of Genomes and Transcriptome Profiles of Human Ehrlichiosis Agents.",,99.6,99,100,,,"Good","2014-12-08T22:35:20.495Z","2015-03-16T03:17:09.594Z"
"1249653.3","Ehrlichia chaffeensis str. Liberty",,1249653,"Complete","Liberty",,,,,,,,"2014-04-17T00:00:00Z","-","PRJNA178993","SAMN02364461","GCA_000632885.1",,"CP007476.1","NZ_CP007476.1","IGS",,"PacBio","18.97X","HGAP v. 1.4",1,,1,1176202,30.1,991,989,,,,"1998","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Sequencing and Comparison of Genomes and Transcriptome Profiles of Human Ehrlichiosis Agents.",,99.6,99,100,,,"Good","2014-12-08T22:35:21.500Z","2015-03-16T03:17:09.594Z"
"1249654.3","Ehrlichia chaffeensis str. Osceola",,1249654,"Complete","Osceola",,,,,,,,"2014-04-17T00:00:00Z","-","PRJNA178994","SAMN02364994","GCA_000632905.1",,"CP007477.1","NZ_CP007477.1","IGS",,"PacBio","14.11X","HGAP v. 1.4",1,,1,1175197,30.1,987,988,,,,"1997","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Sequencing and Comparison of Genomes and Transcriptome Profiles of Human Ehrlichiosis Agents.",,99.5,98.8,100,,,"Good","2014-12-08T22:35:21.939Z","2015-03-16T03:17:09.594Z"
"1249655.3","Ehrlichia chaffeensis str. Saint Vincent",,1249655,"Complete","Saint Vincent",,,,,,,,"2014-04-17T00:00:00Z","-","PRJNA178995","SAMN02364995","GCA_000632925.1",,"CP007478.1","NZ_CP007478.1","IGS",,"PacBio","14.88X","HGAP v. 1.4",1,,1,1173884,30.1,980,973,,,,"1996","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Sequencing and Comparison of Genomes and Transcriptome Profiles of Human Ehrlichiosis Agents.",,99.5,98.8,100,,,"Good","2014-12-08T22:35:22.394Z","2015-03-16T03:17:09.594Z"
"1249656.3","Ehrlichia chaffeensis str. Wakulla",,1249656,"Complete","Wakulla",,,,,,,,"2014-04-17T00:00:00Z","-","PRJNA178996","SAMN02367298","GCA_000632945.1",,"CP007479.1","NZ_CP007479.1","IGS",,"PacBio","19.05X","HGAP v. 1.4",1,,1,1174357,30.1,984,980,,,,"1997","United States","United States",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Sequencing and Comparison of Genomes and Transcriptome Profiles of Human Ehrlichiosis Agents.",,99.6,99,100,,,"Good","2014-12-08T22:35:23.270Z","2015-03-16T03:17:09.594Z"
"1423420.3","Ehrlichia sp. Wisconsin_h strain Wisconsin_h",,1423420,"WGS","Wisconsin_h",,,,,,,,"2017-05-17T00:00:00Z",,"PRJNA242629","SAMN02699958","GCA_002148345.1",,"JHOH00000000",,"Centers for DIsease Control and Prevention",,"Illumina MiSeq","88.0x","CLC Genomics Workbench v. 6.5.Jan-2013",,,11,1056266,29.7,881,795,,"whole blood",,"2009","United States","USA: Wisconsin",,,,,,"Human, Homo sapiens",,,"ehrlichiosis",,,,,,,,,,,,,,,,"Draft genome of Ehrlichia muris-like agent","collected_by:Ulrike G. Munderloh",97.1,96.9,92.8,,,"Good","2017-05-30T00:16:57.279Z","2017-05-30T00:16:57.279Z"
"205920.11","Ehrlichia chaffeensis str. Arkansas","Ehrlichia chaffeensis str. Arkansas",205920,"Complete","Arkansas",,,,,,,,"2006-02-21T00:00:00Z","16482227","PRJNA325","SAMN02604010","GCA_000013145.1",,"CP000236","NC_007799","TIGR","complete",,,,1,,1,1176248,30.1,992,1105,,"patient","obtained from a patient on an army base in Arkansas in 1990","1990","United States","USA: Arkansas",,,,,,"Human, Homo sapiens",,,,,,,,,,"Rod",,,,"-",,,"Host-associated","Human monocytic ehrlichiosis","Ehrlichia chaffeensis strain Arkansas. This strain is the first isolate of Ehrlichia chaffeensis, which was obtained from a patient on an army base in Arkansas in 1990.",,99.4,98.7,100,,,"Good","2014-12-08T22:11:10.023Z","2015-03-16T03:17:09.594Z"
"332415.4","Ehrlichia chaffeensis str. Sapulpa","Ehrlichia chaffeensis str. Sapulpa",332415,"WGS","Sapulpa",,,,,,,,"2005-06-20T00:00:00Z",,"PRJNA13916","SAMN02441793","GCA_000167655.1",,"AAIF00000000","NZ_AAIF00000000","DOE Joint Genome Institute","assembly",,,,,,125,1005812,30,910,805,,"patient","isolated from a patient in Oklahoma, US, with severe ehrlichiosis",,"United States","Oklahoma US",,,,,,"Human, Homo sapiens",,,,,,,,,,"Rod",,,,"-",,,"Host-associated","Human monocytic ehrlichiosis","Ehrlichia chaffeensis strain Sapulpa. This strain was isolated from a patient in Oklahoma, US, with severe ehrlichiosis.",,94.2,91.7,93.4,2.4,,"Good","2014-12-08T22:11:10.033Z","2015-03-16T03:17:09.594Z"
