qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|392021.5.peg.1|A1G_00005	MF	0043531	ADP binding	9.309785000247444	0.747733372955	1
fig|392021.5.peg.1|A1G_00005	BP	0006470	protein dephosphorylation	7.496737047970344	0.702260067225	1
fig|392021.5.peg.1|A1G_00005	MF	0016776	phosphotransferase activity, phosphate group as acceptor	7.628887353404249	0.705748796566	2
fig|392021.5.peg.1|A1G_00005	BP	0016311	dephosphorylation	6.093124122733442	0.663115373003	2
fig|392021.5.peg.1|A1G_00005	MF	0004674	protein serine/threonine kinase activity	7.298331058107592	0.696963948931	3
fig|392021.5.peg.1|A1G_00005	BP	0006468	protein phosphorylation	5.422913993957754	0.642829431803	3
fig|392021.5.peg.1|A1G_00005	MF	0004672	protein kinase activity	5.38694703367741	0.641706260756	4
fig|392021.5.peg.1|A1G_00005	BP	0006464	cellular protein modification process	4.142866062459192	0.600240540213	4
fig|392021.5.peg.1|A1G_00005	MF	0016773	phosphotransferase activity, alcohol group as acceptor	4.773448157998804	0.621936187175	5
fig|392021.5.peg.1|A1G_00005	BP	0036211	protein modification process	4.142866062459192	0.600240540213	5
fig|392021.5.peg.1|A1G_00005	MF	0016301	kinase activity	4.2915385792267635	0.605496741218	6
fig|392021.5.peg.1|A1G_00005	BP	0043412	macromolecule modification	3.669187961103714	0.582832408308	6
fig|392021.5.peg.1|A1G_00005	MF	0140096	catalytic activity, acting on a protein	3.6321388101874286	0.581424642598	7
fig|392021.5.peg.1|A1G_00005	BP	0016310	phosphorylation	3.5854384795540515	0.579639889579	7
fig|392021.5.peg.1|A1G_00005	MF	0016772	transferase activity, transferring phosphorus-containing groups	3.6021644820450613	0.580280438097	8
fig|392021.5.peg.1|A1G_00005	BP	0006796	phosphate-containing compound metabolic process	2.8397902303938123	0.549386352335	8
fig|392021.5.peg.1|A1G_00005	MF	0005524	ATP binding	2.9655956404503043	0.554747538503	9
fig|392021.5.peg.1|A1G_00005	BP	0006793	phosphorus metabolic process	2.8102894627509643	0.548112089171	9
fig|392021.5.peg.1|A1G_00005	MF	0032559	adenyl ribonucleotide binding	2.954432779246001	0.554276490203	10
fig|392021.5.peg.1|A1G_00005	BP	0044267	cellular protein metabolic process	2.796157025859197	0.547499280111	10
fig|392021.5.peg.1|A1G_00005	MF	0030554	adenyl nucleotide binding	2.9498394413589852	0.554082403019	11
fig|392021.5.peg.1|A1G_00005	BP	0019538	protein metabolic process	2.4215515993812238	0.530650590244	11
fig|392021.5.peg.1|A1G_00005	MF	0035639	purine ribonucleoside triphosphate binding	2.808960880650811	0.548054545068	12
fig|392021.5.peg.1|A1G_00005	BP	0044260	cellular macromolecule metabolic process	2.0020822479801526	0.510150675632	12
fig|392021.5.peg.1|A1G_00005	MF	0032555	purine ribonucleotide binding	2.7922993452654885	0.547331734916	13
fig|392021.5.peg.1|A1G_00005	BP	1901564	organonitrogen compound metabolic process	1.6867002072033035	0.493275629222	13
fig|392021.5.peg.1|A1G_00005	MF	0017076	purine nucleotide binding	2.7871451861072627	0.547107700877	14
fig|392021.5.peg.1|A1G_00005	BP	0043170	macromolecule metabolic process	1.6045904076434507	0.488628365806	14
fig|392021.5.peg.1|A1G_00005	MF	0032553	ribonucleotide binding	2.7443741231526495	0.545240535905	15
fig|392021.5.peg.1|A1G_00005	BP	0006807	nitrogen compound metabolic process	1.1885718891693495	0.462999427296	15
fig|392021.5.peg.1|A1G_00005	MF	0097367	carbohydrate derivative binding	2.6986633088844867	0.543228879777	16
fig|392021.5.peg.1|A1G_00005	BP	0044238	primary metabolic process	1.0790828812651019	0.455532183399	16
fig|392021.5.peg.1|A1G_00005	MF	0043168	anion binding	2.44887556797644	0.531921789348	17
fig|392021.5.peg.1|A1G_00005	BP	0044237	cellular metabolic process	0.9325085292962181	0.444914530715	17
fig|392021.5.peg.1|A1G_00005	MF	0000166	nucleotide binding	2.4465937287737725	0.531815903114	18
fig|392021.5.peg.1|A1G_00005	BP	0071704	organic substance metabolic process	0.9305126037590568	0.444764393925	18
fig|392021.5.peg.1|A1G_00005	MF	1901265	nucleoside phosphate binding	2.4465936602136478	0.531815899932	19
fig|392021.5.peg.1|A1G_00005	BP	0008152	metabolic process	0.5015935742172146	0.407535389769	19
fig|392021.5.peg.1|A1G_00005	MF	0036094	small molecule binding	2.2878208393823103	0.524322900148	20
fig|392021.5.peg.1|A1G_00005	BP	0009987	cellular process	0.4427263672790995	0.401312720231	20
fig|392021.5.peg.1|A1G_00005	MF	0016740	transferase activity	2.239357400987883	0.521984287649	21
fig|392021.5.peg.1|A1G_00005	MF	0043167	ion binding	1.618295431277984	0.489412174232	22
fig|392021.5.peg.1|A1G_00005	MF	1901363	heterocyclic compound binding	1.2976548156879415	0.470104076084	23
fig|392021.5.peg.1|A1G_00005	MF	0097159	organic cyclic compound binding	1.297294865163387	0.470081134154	24
fig|392021.5.peg.1|A1G_00005	MF	0005488	binding	0.9007477324107422	0.442506024804	25
fig|392021.5.peg.1|A1G_00005	MF	0003824	catalytic activity	0.6216208198659983	0.419179939771	26
fig|392021.5.peg.2|A1G_00010	BP	0006662	glycerol ether metabolic process	10.375115360838143	0.772395383938	1
fig|392021.5.peg.2|A1G_00010	MF	0015035	protein disulfide oxidoreductase activity	9.10185441956736	0.742757942288	1
fig|392021.5.peg.2|A1G_00010	CC	0009536	plastid	0.08973423172480459	0.348195636526	1
fig|392021.5.peg.2|A1G_00010	BP	0018904	ether metabolic process	10.357645916511311	0.77200146925	2
fig|392021.5.peg.2|A1G_00010	MF	0015036	disulfide oxidoreductase activity	8.579123640147978	0.729992848365	2
fig|392021.5.peg.2|A1G_00010	CC	0005737	cytoplasm	0.05821157201969345	0.339732512062	2
fig|392021.5.peg.2|A1G_00010	BP	0045454	cell redox homeostasis	8.631010949501112	0.731277014253	3
fig|392021.5.peg.2|A1G_00010	MF	0016667	oxidoreductase activity, acting on a sulfur group of donors	7.568772573659822	0.704165561621	3
fig|392021.5.peg.2|A1G_00010	CC	0009507	chloroplast	0.0459910623067759	0.335838905027	3
fig|392021.5.peg.2|A1G_00010	BP	0019725	cellular homeostasis	7.677641099056578	0.707028242107	4
fig|392021.5.peg.2|A1G_00010	MF	0016491	oxidoreductase activity	2.8150173279399953	0.548316754197	4
fig|392021.5.peg.2|A1G_00010	CC	0043231	intracellular membrane-bounded organelle	0.0454349195178838	0.335650060187	4
fig|392021.5.peg.2|A1G_00010	BP	0042592	homeostatic process	7.165123024764889	0.693367692684	5
fig|392021.5.peg.2|A1G_00010	MF	0003824	catalytic activity	0.621605207256067	0.419178502125	5
fig|392021.5.peg.2|A1G_00010	CC	0043227	membrane-bounded organelle	0.04486816783443813	0.335456420097	5
fig|392021.5.peg.2|A1G_00010	BP	0065008	regulation of biological quality	5.521707867982798	0.645895527299	6
fig|392021.5.peg.2|A1G_00010	MF	0047134	protein-disulfide reductase activity	0.16991875537865941	0.364553186351	6
fig|392021.5.peg.2|A1G_00010	CC	0005622	intracellular anatomical structure	0.03868881612996438	0.333260074545	6
fig|392021.5.peg.2|A1G_00010	BP	0050794	regulation of cellular process	2.8098098132722367	0.548091315962	7
fig|392021.5.peg.2|A1G_00010	MF	0016671	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor	0.13105362308514876	0.357264329898	7
