qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|1290427.3.peg.1|H374_10	MF	0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	10.116211137108879	0.766523000783	1
fig|1290427.3.peg.1|H374_10	BP	0006450	regulation of translational fidelity	8.346797130998004	0.724194764907	1
fig|1290427.3.peg.1|H374_10	MF	0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	7.813351731088235	0.710568460318	2
fig|1290427.3.peg.1|H374_10	BP	0065008	regulation of biological quality	5.479725014951484	0.644595957139	2
fig|1290427.3.peg.1|H374_10	MF	0016879	ligase activity, forming carbon-nitrogen bonds	6.123069875723993	0.66399504187	3
fig|1290427.3.peg.1|H374_10	BP	0006412	translation	3.5903000104007563	0.579826223271	3
fig|1290427.3.peg.1|H374_10	MF	0140101	catalytic activity, acting on a tRNA	5.704691587964381	0.651502884845	4
fig|1290427.3.peg.1|H374_10	BP	0043043	peptide biosynthetic process	3.5725849923413757	0.579146629232	4
fig|1290427.3.peg.1|H374_10	MF	0016874	ligase activity	4.696648677353563	0.61937385009	5
fig|1290427.3.peg.1|H374_10	BP	0006518	peptide metabolic process	3.509533041879089	0.576714017108	5
fig|1290427.3.peg.1|H374_10	MF	0140098	catalytic activity, acting on RNA	4.692948822931868	0.619249881182	6
fig|1290427.3.peg.1|H374_10	BP	0043604	amide biosynthetic process	3.4765776911935657	0.575433866604	6
fig|1290427.3.peg.1|H374_10	BP	0043603	cellular amide metabolic process	3.362414676266688	0.570951616176	7
fig|1290427.3.peg.1|H374_10	MF	0005524	ATP binding	2.9207208054991285	0.552848490971	7
fig|1290427.3.peg.1|H374_10	MF	0032559	adenyl ribonucleotide binding	2.9097268586091354	0.552381020163	8
fig|1290427.3.peg.1|H374_10	BP	0010467	gene expression	2.846848842784655	0.549690261085	8
fig|1290427.3.peg.1|H374_10	MF	0030554	adenyl nucleotide binding	2.905203026246319	0.552188407022	9
fig|1290427.3.peg.1|H374_10	BP	0034645	cellular macromolecule biosynthetic process	2.8277436979728776	0.548866814891	9
fig|1290427.3.peg.1|H374_10	BP	0009059	macromolecule biosynthetic process	2.794054390182739	0.547407973644	10
fig|1290427.3.peg.1|H374_10	MF	0035639	purine ribonucleoside triphosphate binding	2.7664562133980715	0.546206329121	10
fig|1290427.3.peg.1|H374_10	BP	0044267	cellular protein metabolic process	2.774954071852075	0.546576968095	11
fig|1290427.3.peg.1|H374_10	MF	0032555	purine ribonucleotide binding	2.750046797229628	0.545489008528	11
fig|1290427.3.peg.1|H374_10	MF	0017076	purine nucleotide binding	2.7449706298375025	0.545266675971	12
fig|1290427.3.peg.1|H374_10	BP	0065007	biological regulation	2.57900697768344	0.537880846707	12
fig|1290427.3.peg.1|H374_10	MF	0032553	ribonucleotide binding	2.702846770555768	0.543413691642	13
fig|1290427.3.peg.1|H374_10	BP	0044271	cellular nitrogen compound biosynthetic process	2.4850321249912355	0.533593057327	13
fig|1290427.3.peg.1|H374_10	MF	0097367	carbohydrate derivative binding	2.6578276437239468	0.541417313532	14
fig|1290427.3.peg.1|H374_10	BP	1901566	organonitrogen compound biosynthetic process	2.461704985370201	0.532516208104	14
fig|1290427.3.peg.1|H374_10	MF	0043168	anion binding	2.4118196438882107	0.530196097582	15
fig|1290427.3.peg.1|H374_10	BP	0019538	protein metabolic process	2.4031892374992854	0.52979228068	15
fig|1290427.3.peg.1|H374_10	MF	0000166	nucleotide binding	2.409572333046797	0.530091015528	16
fig|1290427.3.peg.1|H374_10	BP	0044260	cellular macromolecule metabolic process	1.986900676476902	0.509370238281	16
fig|1290427.3.peg.1|H374_10	MF	1901265	nucleoside phosphate binding	2.4095722655241114	0.530091012369	17
fig|1290427.3.peg.1|H374_10	BP	0044249	cellular biosynthetic process	1.9549536797698985	0.507718143595	17
fig|1290427.3.peg.1|H374_10	MF	0036094	small molecule binding	2.2532019651282487	0.522654920015	18
fig|1290427.3.peg.1|H374_10	BP	1901576	organic substance biosynthetic process	1.9193508198998426	0.505861005441	18
fig|1290427.3.peg.1|H374_10	BP	0009058	biosynthetic process	1.8623671747397184	0.502852369756	19
fig|1290427.3.peg.1|H374_10	MF	0016740	transferase activity	1.675469250072898	0.492646761659	19
fig|1290427.3.peg.1|H374_10	BP	0034641	cellular nitrogen compound metabolic process	1.7811127271718883	0.498481502914	20
fig|1290427.3.peg.1|H374_10	MF	0043167	ion binding	1.5938076894596778	0.488009332193	20
fig|1290427.3.peg.1|H374_10	BP	1901564	organonitrogen compound metabolic process	1.6739101433455181	0.492559294443	21
fig|1290427.3.peg.1|H374_10	MF	1901363	heterocyclic compound binding	1.2780189473034194	0.468847874146	21
fig|1290427.3.peg.1|H374_10	BP	0043170	macromolecule metabolic process	1.5924229734475555	0.487929684402	22
fig|1290427.3.peg.1|H374_10	MF	0097159	organic cyclic compound binding	1.2776644434824411	0.468825106454	22
fig|1290427.3.peg.1|H374_10	BP	0006807	nitrogen compound metabolic process	1.1795590780621221	0.462398101527	23
fig|1290427.3.peg.1|H374_10	MF	0005488	binding	0.8871177872917104	0.441459423054	23
fig|1290427.3.peg.1|H374_10	BP	0044238	primary metabolic process	1.070900313372905	0.454959223154	24
fig|1290427.3.peg.1|H374_10	MF	0003824	catalytic activity	0.621571561895661	0.419175403919	24
fig|1290427.3.peg.1|H374_10	BP	0044237	cellular metabolic process	0.9254374187416021	0.444381903326	25
fig|1290427.3.peg.1|H374_10	BP	0071704	organic substance metabolic process	0.9234566280902768	0.444232336855	26
fig|1290427.3.peg.1|H374_10	BP	0008152	metabolic process	0.49779004480665606	0.407144753044	27
fig|1290427.3.peg.1|H374_10	BP	0009987	cellular process	0.4393692214835144	0.400945721314	28
fig|1290427.3.peg.2|H374_20	CC	0030956	glutamyl-tRNA(Gln) amidotransferase complex	4.001804406594251	0.595165492574	1
fig|1290427.3.peg.2|H374_20	MF	0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	3.7027601492975135	0.584101933311	1
fig|1290427.3.peg.2|H374_20	BP	0006412	translation	1.3141303223465224	0.471150779966	1
fig|1290427.3.peg.2|H374_20	MF	0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	2.85986196118347	0.550249555329	2
fig|1290427.3.peg.2|H374_20	CC	0140535	intracellular protein-containing complex	2.3446534265967527	0.527034032436	2
fig|1290427.3.peg.2|H374_20	BP	0043043	peptide biosynthetic process	1.3076462284475978	0.470739627018	2
fig|1290427.3.peg.2|H374_20	MF	0016879	ligase activity, forming carbon-nitrogen bonds	2.2411808946955616	0.522072736216	3
fig|1290427.3.peg.2|H374_20	BP	0006518	peptide metabolic process	1.2845678005319505	0.469267901856	3
fig|1290427.3.peg.2|H374_20	CC	0032991	protein-containing complex	1.2185237366495996	0.464981579356	3
fig|1290427.3.peg.2|H374_20	MF	0140101	catalytic activity, acting on a tRNA	2.0880450585360215	0.514515007783	4
fig|1290427.3.peg.2|H374_20	BP	0043604	amide biosynthetic process	1.2725054031016656	0.468493413524	4
fig|1290427.3.peg.2|H374_20	CC	0005739	mitochondrion	0.021021264356498877	0.325752129519	4
fig|1290427.3.peg.2|H374_20	MF	0016874	ligase activity	1.719078746188142	0.495077010085	5
fig|1290427.3.peg.2|H374_20	BP	0043603	cellular amide metabolic process	1.230719179340058	0.465781661547	5
fig|1290427.3.peg.2|H374_20	CC	0043231	intracellular membrane-bounded organelle	0.013432388595573205	0.321528416029	5
fig|1290427.3.peg.2|H374_20	MF	0140098	catalytic activity, acting on RNA	1.717724516494319	0.49500200916	6
fig|1290427.3.peg.2|H374_20	BP	0010467	gene expression	1.0420105218513007	0.452918586934	6
fig|1290427.3.peg.2|H374_20	CC	0043227	membrane-bounded organelle	0.013264834015747417	0.32142312848	6
fig|1290427.3.peg.2|H374_20	MF	0005524	ATP binding	1.077243477956073	0.455403574395	7
fig|1290427.3.peg.2|H374_20	BP	0034645	cellular macromolecule biosynthetic process	1.0350176103850595	0.452420403738	7
fig|1290427.3.peg.2|H374_20	CC	0043229	intracellular organelle	0.009688885934115288	0.318992346543	7
fig|1290427.3.peg.2|H374_20	MF	0032559	adenyl ribonucleotide binding	1.0731886030217954	0.45511967373	8
fig|1290427.3.peg.2|H374_20	BP	0009059	macromolecule biosynthetic process	1.022686568194258	0.451537807886	8
fig|1290427.3.peg.2|H374_20	CC	0043226	organelle	0.00941785762873838	0.318791027965	8
fig|1290427.3.peg.2|H374_20	MF	0030554	adenyl nucleotide binding	1.071520087188637	0.455002697444	9
fig|1290427.3.peg.2|H374_20	BP	0044267	cellular protein metabolic process	1.0156954233283464	0.451035051296	9
fig|1290427.3.peg.2|H374_20	CC	0005737	cytoplasm	0.009287764170609709	0.318693366411	9
fig|1290427.3.peg.2|H374_20	MF	0035639	purine ribonucleoside triphosphate binding	1.020346384126518	0.451369709314	10
fig|1290427.3.peg.2|H374_20	BP	0044271	cellular nitrogen compound biosynthetic process	0.9095774887880963	0.443179812894	10
fig|1290427.3.peg.2|H374_20	CC	0005622	intracellular anatomical structure	0.00617287229648471	0.316108019703	10
fig|1290427.3.peg.2|H374_20	MF	0032555	purine ribonucleotide binding	1.0142941327400652	0.450934071859	11
fig|1290427.3.peg.2|H374_20	BP	1901566	organonitrogen compound biosynthetic process	0.9010392325363045	0.442528321404	11
fig|1290427.3.peg.2|H374_20	CC	0110165	cellular anatomical entity	0.00010374940922933338	0.306178970231	11
fig|1290427.3.peg.2|H374_20	MF	0017076	purine nucleotide binding	1.0124219003083021	0.450799046612	12
fig|1290427.3.peg.2|H374_20	BP	0019538	protein metabolic process	0.8796211565011011	0.440880351106	12
fig|1290427.3.peg.2|H374_20	MF	0032553	ribonucleotide binding	0.9968854434884138	0.449673706859	13
fig|1290427.3.peg.2|H374_20	BP	0044260	cellular macromolecule metabolic process	0.7272502071930373	0.428525058887	13
fig|1290427.3.peg.2|H374_20	MF	0097367	carbohydrate derivative binding	0.980281131062677	0.448461282331	14
fig|1290427.3.peg.2|H374_20	BP	0044249	cellular biosynthetic process	0.7155568899329315	0.427525545115	14
fig|1290427.3.peg.2|H374_20	MF	0043168	anion binding	0.8895465038949231	0.441646502414	15
fig|1290427.3.peg.2|H374_20	BP	1901576	organic substance biosynthetic process	0.7025254447662441	0.426401980481	15
fig|1290427.3.peg.2|H374_20	MF	0000166	nucleotide binding	0.8887176328360066	0.441582684814	16
fig|1290427.3.peg.2|H374_20	BP	0009058	biosynthetic process	0.6816681526831808	0.42458176229	16
