qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|563032.4.peg.2|HMPREF0734_00003	MF	0016787	hydrolase activity	2.13723128454	0.516971836712	1
fig|563032.4.peg.4|HMPREF0734_00005	MF	0008168	methyltransferase activity	5.12903484176	0.633539849669	1
fig|563032.4.peg.4|HMPREF0734_00005	BP	0032259	methylation	4.88294607831	0.62555409065	1
fig|563032.4.peg.4|HMPREF0734_00005	MF	0003723	RNA binding	3.7468172878	0.585759244202	3
fig|563032.4.peg.5|HMPREF0734_00006	BP	0006741	NADP biosynthetic process	10.2469382947	0.769497385905	1
fig|563032.4.peg.5|HMPREF0734_00006	MF	0003951	NAD+ kinase activity	9.37838988846	0.749362758902	1
fig|563032.4.peg.5|HMPREF0734_00006	CC	0005737	cytoplasm	1.86684217727	0.50309029285	1
fig|563032.4.peg.5|HMPREF0734_00006	BP	0019674	NAD metabolic process	10.0832377968	0.765769740712	2
fig|563032.4.peg.5|HMPREF0734_00006	MF	0005524	ATP binding	2.6872695466	0.54272481245	5
fig|563032.4.peg.5|HMPREF0734_00006	MF	0046872	metal ion binding	2.34571820917	0.527084511225	13
fig|563032.4.peg.5|HMPREF0734_00006	BP	0016310	phosphorylation	3.29141452247	0.568125556911	18
fig|563032.4.peg.6|HMPREF0734_00007	BP	0006310	DNA recombination	5.41547083636	0.642597304313	1
fig|563032.4.peg.6|HMPREF0734_00007	MF	0005524	ATP binding	2.89285947783	0.551662086332	1
fig|563032.4.peg.6|HMPREF0734_00007	BP	0006281	DNA repair	5.41310958045	0.642523631218	2
fig|563032.4.peg.7|HMPREF0734_00008	MF	0003883	CTP synthase activity	11.1080680191	0.788633716918	1
fig|563032.4.peg.7|HMPREF0734_00008	BP	0044210	'de novo' CTP biosynthetic process	9.87564413146	0.760998805882	1
fig|563032.4.peg.7|HMPREF0734_00008	CC	0016021	integral component of membrane	0.004603225142	0.314551394815	1
fig|563032.4.peg.7|HMPREF0734_00008	MF	0005524	ATP binding	2.84612428197	0.549659082464	4
fig|563032.4.peg.7|HMPREF0734_00008	BP	0006541	glutamine metabolic process	7.09496180865	0.691460085338	11
fig|563032.4.peg.7|HMPREF0734_00008	MF	0046872	metal ion binding	2.29960824882	0.524887948567	15
fig|563032.4.peg.8|HMPREF0734_00009	MF	0016787	hydrolase activity	1.73699024785	0.496066232327	1
fig|563032.4.peg.8|HMPREF0734_00009	MF	0046872	metal ion binding	0.00583856420042	0.315794804306	7
fig|563032.4.peg.9|HMPREF0734_00010	MF	0009009	site-specific recombinase activity	8.81495282571	0.735798600117	1
fig|563032.4.peg.9|HMPREF0734_00010	BP	0007059	chromosome segregation	6.64585550838	0.679019165309	1
fig|563032.4.peg.9|HMPREF0734_00010	CC	0005737	cytoplasm	1.58148591974	0.487299372686	1
fig|563032.4.peg.9|HMPREF0734_00010	BP	0006313	transposition, DNA-mediated	6.14483179629	0.664632958417	2
