qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank
fig|827.3.peg.1	MF	0016836	hydro-lyase activity	2.2777386471936336	0.523838437998	1
fig|827.3.peg.1	MF	0016835	carbon-oxygen lyase activity	2.1712992180351605	0.518656977605	2
fig|827.3.peg.1	MF	0016829	lyase activity	1.6152429261972874	0.489237885603	3
fig|827.3.peg.1	MF	0004333	fumarate hydratase activity	0.8085777574868164	0.435265222032	4
fig|827.3.peg.1	MF	0008730	L(+)-tartrate dehydratase activity	0.21512130462486403	0.372045460651	5
fig|827.3.peg.1	MF	0003824	catalytic activity	0.21474293005454004	0.371986207978	6
fig|827.3.peg.1	MF	0005524	ATP binding	0.04601592761716617	0.335847321596	7
fig|827.3.peg.1	MF	0032559	adenyl ribonucleotide binding	0.045802785031551184	0.335775101753	8
fig|827.3.peg.1	MF	0030554	adenyl nucleotide binding	0.04572949780224187	0.335750230778	9
fig|827.3.peg.1	MF	0035639	purine ribonucleoside triphosphate binding	0.04362607218195497	0.335027713809	10
fig|827.3.peg.1	MF	0032555	purine ribonucleotide binding	0.04332670863662844	0.334923479801	11
fig|827.3.peg.1	MF	0017076	purine nucleotide binding	0.04325666285126704	0.334899038944	12
fig|827.3.peg.1	MF	0008144	drug binding	0.04302931529299038	0.334819574623	13
fig|827.3.peg.1	MF	0032553	ribonucleotide binding	0.04256945488446436	0.334658196209	14
fig|827.3.peg.1	MF	0097367	carbohydrate derivative binding	0.0418519083793991	0.334404636985	15
fig|827.3.peg.1	MF	0000166	nucleotide binding	0.038009781027899335	0.333008333293	16
fig|827.3.peg.1	MF	1901265	nucleoside phosphate binding	0.03800977967142632	0.333008332787	17
fig|827.3.peg.1	MF	0043168	anion binding	0.037591516622650686	0.332852148206	18
fig|827.3.peg.1	MF	0036094	small molecule binding	0.03540332584604994	0.332020500269	19
fig|827.3.peg.1	MF	0016787	hydrolase activity	0.027627772945301266	0.328834569441	20
fig|827.3.peg.1	MF	0043167	ion binding	0.025933747195213425	0.328082947408	21
fig|827.3.peg.1	MF	1901363	heterocyclic compound binding	0.019359136674455574	0.324902709048	22
fig|827.3.peg.1	MF	0097159	organic cyclic compound binding	0.019354103686972067	0.324900082727	23
fig|827.3.peg.1	MF	0005488	binding	0.013444653673461609	0.321536097267	24
fig|827.3.peg.2	MF	0016829	lyase activity	4.690003115897114	0.619151146114	1
fig|827.3.peg.2	MF	0004333	fumarate hydratase activity	3.94919870574978	0.593250020415	2
fig|827.3.peg.2	MF	0016836	hydro-lyase activity	2.6606481327596185	0.541542882538	3
fig|827.3.peg.2	MF	0016835	carbon-oxygen lyase activity	2.536315225298346	0.535942806045	4
fig|827.3.peg.2	MF	0008730	L(+)-tartrate dehydratase activity	1.794198405425473	0.499192048037	5
fig|827.3.peg.2	MF	0003824	catalytic activity	0.6235254120219281	0.419355183933	6
fig|827.3.peg.3	MF	0015556	C4-dicarboxylate transmembrane transporter activity	4.900020868419474	0.626114585807	1
fig|827.3.peg.3	BP	0015740	C4-dicarboxylate transport	4.236788981182714	0.603571864788	1
fig|827.3.peg.3	CC	0005886	plasma membrane	1.1897941378318455	0.463080798709	1
fig|827.3.peg.3	MF	0005310	dicarboxylic acid transmembrane transporter activity	4.386531683011762	0.608807584473	2
fig|827.3.peg.3	BP	0006835	dicarboxylic acid transport	3.9375977203710097	0.592825893044	2
fig|827.3.peg.3	CC	0071944	cell periphery	1.130662980052828	0.459094989669	2
fig|827.3.peg.3	MF	0046943	carboxylic acid transmembrane transporter activity	3.1052910626653283	0.560569059649	3
fig|827.3.peg.3	BP	0046942	carboxylic acid transport	2.6849531111307976	0.542622201234	3
fig|827.3.peg.3	CC	0044464	cell part	0.35833285789202773	0.391618041719	3
fig|827.3.peg.3	MF	0005342	organic acid transmembrane transporter activity	3.0993121842553553	0.560322617843	4
fig|827.3.peg.3	BP	0015849	organic acid transport	2.672726312492032	0.542079855412	4
fig|827.3.peg.3	CC	0005623	cell	0.3442326027078604	0.389890784315	4
fig|827.3.peg.3	MF	0008514	organic anion transmembrane transporter activity	3.046964421922401	0.558154675999	5
fig|827.3.peg.3	BP	0015711	organic anion transport	2.5983746094577613	0.538754770996	5
fig|827.3.peg.3	CC	0016021	integral component of membrane	0.31491535582931124	0.386182348049	5
fig|827.3.peg.3	MF	0008509	anion transmembrane transporter activity	2.638286420978269	0.540545496342	6
fig|827.3.peg.3	BP	0006820	anion transport	2.2808133628192304	0.523986295424	6
fig|827.3.peg.3	CC	0031224	intrinsic component of membrane	0.31418873246671764	0.386088289171	6
fig|827.3.peg.3	MF	0015318	inorganic molecular entity transmembrane transporter activity	1.729964632827254	0.495678830116	7
fig|827.3.peg.3	BP	0071702	organic substance transport	1.714429691984014	0.494819409249	7
fig|827.3.peg.3	CC	0044425	membrane part	0.30429705983504773	0.38479686064	7
fig|827.3.peg.3	MF	0015075	ion transmembrane transporter activity	1.7018696616653386	0.494121715101	8
fig|827.3.peg.3	BP	0006811	ion transport	1.4470571228934699	0.479366434109	8
fig|827.3.peg.3	CC	0016020	membrane	0.2642063322170491	0.379334259361	8
fig|827.3.peg.3	MF	0022857	transmembrane transporter activity	1.3681322402096174	0.474536352839	9
fig|827.3.peg.3	BP	0006810	transport	0.964956039344705	0.447333119491	9
fig|827.3.peg.3	MF	0005215	transporter activity	1.3612237238578466	0.474107007585	10
fig|827.3.peg.3	BP	0051234	establishment of localization	0.9618250699538952	0.447101532375	10
fig|827.3.peg.3	BP	0051179	localization	0.9456577712821508	0.445899648081	11
fig|827.3.peg.4	MF	0000150	recombinase activity	9.29176271234682	0.747304343556	1
fig|827.3.peg.4	BP	0006310	DNA recombination	5.787449920173346	0.654009373142	1
fig|827.3.peg.4	MF	0140097	catalytic activity, acting on DNA	5.132721029791992	0.633657995464	2
fig|827.3.peg.4	BP	0006259	DNA metabolic process	4.149261436220436	0.600468566332	2
fig|827.3.peg.4	BP	0006355	regulation of transcription, DNA-templated	3.5799960814367613	0.579431142364	3
fig|827.3.peg.4	MF	0003677	DNA binding	3.076413266983827	0.559376547731	3
fig|827.3.peg.4	BP	1903506	regulation of nucleic acid-templated transcription	3.5738527714936006	0.579195320426	4
fig|827.3.peg.4	MF	0003938	IMP dehydrogenase activity	2.6894848903155766	0.542822904236	4
fig|827.3.peg.4	BP	2001141	regulation of RNA biosynthetic process	3.534795001141854	0.577691253341	5
fig|827.3.peg.4	MF	0003676	nucleic acid binding	2.145644826304211	0.517389246787	5
fig|827.3.peg.4	BP	0051252	regulation of RNA metabolic process	3.5149044904198923	0.57692210044	6
fig|827.3.peg.4	MF	0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	1.4707298601152932	0.480789342295	6
fig|827.3.peg.4	BP	2000112	regulation of cellular macromolecule biosynthetic process	3.5139060096284216	0.576883432555	7
fig|827.3.peg.4	MF	0016614	oxidoreductase activity, acting on CH-OH group of donors	1.4146792379708157	0.477401299825	7
fig|827.3.peg.4	BP	0019219	regulation of nucleobase-containing compound metabolic process	3.50070619051644	0.576371729561	8
fig|827.3.peg.4	MF	1901363	heterocyclic compound binding	1.2361969731347013	0.4661397418	8
fig|827.3.peg.4	BP	0010556	regulation of macromolecule biosynthetic process	3.4700309386225294	0.575178836659	9
fig|827.3.peg.4	MF	0097159	organic cyclic compound binding	1.2358755867011242	0.466118754888	9
fig|827.3.peg.4	BP	0031326	regulation of cellular biosynthetic process	3.4662911403528422	0.575033044158	10
fig|827.3.peg.4	MF	0005488	binding	0.8585217644497561	0.439237164757	10
fig|827.3.peg.4	BP	0009889	regulation of biosynthetic process	3.464615132272707	0.574967681047	11
fig|827.3.peg.4	MF	0016491	oxidoreductase activity	0.6616561600380958	0.42280894669	11
fig|827.3.peg.4	BP	0051171	regulation of nitrogen compound metabolic process	3.39027498219228	0.572052394903	12
fig|827.3.peg.4	MF	0003824	catalytic activity	0.6235225891063072	0.419354924391	12
fig|827.3.peg.4	BP	0010468	regulation of gene expression	3.3856146930030424	0.571868579734	13
fig|827.3.peg.4	BP	0080090	regulation of primary metabolic process	3.3837835691556895	0.571796320341	14
fig|827.3.peg.4	BP	0031323	regulation of cellular metabolic process	3.3527954845996284	0.570570497261	15
fig|827.3.peg.4	BP	0060255	regulation of macromolecule metabolic process	3.302043371721566	0.568550549531	16
fig|827.3.peg.4	BP	0019222	regulation of metabolic process	3.264449934652273	0.567044293916	17
fig|827.3.peg.4	BP	0090304	nucleic acid metabolic process	2.8667043144586692	0.550543124227	18
fig|827.3.peg.4	BP	0050794	regulation of cellular process	2.6659948666684823	0.541780738175	19
fig|827.3.peg.4	BP	0050789	regulation of biological process	2.5922563566985573	0.538479050513	20
fig|827.3.peg.4	BP	0065007	biological regulation	2.4801122913546036	0.533366365352	21
fig|827.3.peg.4	BP	0006139	nucleobase-containing compound metabolic process	2.4083703377969354	0.530034791292	22
fig|827.3.peg.4	BP	0006725	cellular aromatic compound metabolic process	2.176547052748883	0.518915378941	23
fig|827.3.peg.4	BP	0046483	heterocycle metabolic process	2.1697137435762026	0.518578848053	24
fig|827.3.peg.4	BP	1901360	organic cyclic compound metabolic process	2.1297972224886927	0.516602336074	25
fig|827.3.peg.4	BP	0044260	cellular macromolecule metabolic process	2.0104669707233906	0.51058043997	26
fig|827.3.peg.4	BP	0034641	cellular nitrogen compound metabolic process	1.757228762168086	0.497177854004	27
fig|827.3.peg.4	BP	0043170	macromolecule metabolic process	1.5994856438331633	0.488335562483	28
fig|827.3.peg.4	BP	0006807	nitrogen compound metabolic process	1.1898323586677724	0.463083342593	29
fig|827.3.peg.4	BP	0044238	primary metabolic process	1.0770895718504814	0.455392808478	30
fig|827.3.peg.4	BP	0071704	organic substance metabolic process	0.9387269023816887	0.445381259704	31
fig|827.3.peg.4	BP	0044237	cellular metabolic process	0.9384313292729597	0.445359110094	32
fig|827.3.peg.4	BP	0009987	cellular process	0.6790124506068053	0.424348011503	33
fig|827.3.peg.4	BP	0055114	oxidation-reduction process	0.5884231929869921	0.416081101246	34
fig|827.3.peg.4	BP	0008152	metabolic process	0.5111199198287297	0.408507329773	35
fig|827.3.peg.5	MF	0003886	DNA (cytosine-5-)-methyltransferase activity	11.884146349958838	0.80525362636	1
fig|827.3.peg.5	BP	0090116	C-5 methylation of cytosine	11.664279917996183	0.800601683887	1
fig|827.3.peg.5	BP	0032776	DNA methylation on cytosine	11.061149570916626	0.787610611656	2
fig|827.3.peg.5	MF	0009008	DNA-methyltransferase activity	10.019729038202263	0.764315435012	2
fig|827.3.peg.5	BP	0006306	DNA methylation	8.762614950167853	0.734516892989	3
fig|827.3.peg.5	MF	0008757	S-adenosylmethionine-dependent methyltransferase activity	6.78265698486313	0.682852123514	3
fig|827.3.peg.5	BP	0006305	DNA alkylation	8.762614950167853	0.734516892989	4
fig|827.3.peg.5	MF	0008168	methyltransferase activity	5.181378876845774	0.635213567219	4
fig|827.3.peg.5	BP	0044728	DNA methylation or demethylation	8.710215849482354	0.733229846292	5
fig|827.3.peg.5	MF	0140097	catalytic activity, acting on DNA	5.1306190273136085	0.633590629507	5
fig|827.3.peg.5	BP	0006304	DNA modification	7.942785383013844	0.713916399893	6
fig|827.3.peg.5	MF	0016741	transferase activity, transferring one-carbon groups	5.024360963781403	0.630167053899	6
